Id,GroupId,Voice
11,1,Resident_04_Common_Interaction_1
12,1,Resident_04_Common_Interaction_2
13,1,Resident_04_Common_Interaction_3
14,1,Resident_04_Common_QuestStart_1
15,1,Resident_04_Common_QuestStart_2
16,1,Resident_04_Common_QuestStart_3
21,2,Resident_04_Common_QuestFinish_1
22,2,Resident_04_Common_QuestFinish_2
23,2,Resident_04_Common_QuestFinish_3
31,3,ArmorMerchant_Russell_Interaction_1
32,3,ArmorMerchant_Russell_Interaction_2
33,3,ArmorMerchant_Russell_Interaction_3
34,3,ArmorMerchant_Russell_QuestStart_1
35,3,ArmorMerchant_Russell_QuestStart_2
36,3,ArmorMerchant_Russell_QuestStart_3
41,4,ArmorMerchant_Russell_QuestFinish_1
42,4,ArmorMerchant_Russell_QuestFinish_2
43,4,ArmorMerchant_Russell_QuestFinish_3
51,5,CatTheCat_Common_Interaction_1
52,5,CatTheCat_Common_Interaction_2
53,5,CatTheCat_Common_Interaction_3
54,5,CatTheCat_Common_QuestStart_1
55,5,CatTheCat_Common_QuestStart_2
56,5,CatTheCat_Common_QuestStart_3
61,6,CatTheCat_Common_QuestFinish_1
62,6,CatTheCat_Common_QuestFinish_2
63,6,CatTheCat_Common_QuestFinish_3
71,7,CatTheCat_Broker_Interaction_1
72,7,CatTheCat_Broker_Interaction_2
73,7,CatTheCat_Broker_Interaction_3
74,7,CatTheCat_Broker_QuestStart_1
75,7,CatTheCat_Broker_QuestStart_2
76,7,CatTheCat_Broker_QuestStart_3
81,8,CatTheCat_Broker_QuestFinish_1
82,8,CatTheCat_Broker_QuestFinish_2
83,8,CatTheCat_Broker_QuestFinish_3
91,9,CatTheCat_Pan_Interaction_1
92,9,CatTheCat_Pan_Interaction_2
93,9,CatTheCat_Pan_Interaction_3
94,9,CatTheCat_Pan_QuestStart_1
95,9,CatTheCat_Pan_QuestStart_2
96,9,CatTheCat_Pan_QuestStart_3
101,10,CatTheCat_Pan_QuestFinish_1
102,10,CatTheCat_Pan_QuestFinish_2
103,10,CatTheCat_Pan_QuestFinish_3
111,11,CityGuard_Guards_Interaction_1
112,11,CityGuard_Guards_Interaction_2
113,11,CityGuard_Guards_Interaction_3
114,11,CityGuard_Guards_QuestStart_1
115,11,CityGuard_Guards_QuestStart_2
116,11,CityGuard_Guards_QuestStart_3
121,12,CityGuard_Guards_QuestFinish_1
122,12,CityGuard_Guards_QuestFinish_2
123,12,CityGuard_Guards_QuestFinish_3
131,13,CityGuard_Soldier_Interaction_1
132,13,CityGuard_Soldier_Interaction_2
133,13,CityGuard_Soldier_Interaction_3
134,13,CityGuard_Soldier_QuestStart_1
135,13,CityGuard_Soldier_QuestStart_2
136,13,CityGuard_Soldier_QuestStart_3
141,14,CityGuard_Soldier_QuestFinish_1
142,14,CityGuard_Soldier_QuestFinish_2
143,14,CityGuard_Soldier_QuestFinish_3
151,15,DarkAssociation_DarkAssociation_Interaction_1
152,15,DarkAssociation_DarkAssociation_Interaction_2
153,15,DarkAssociation_DarkAssociation_Interaction_3
154,15,DarkAssociation_DarkAssociation_QuestStart_1
155,15,DarkAssociation_DarkAssociation_QuestStart_2
156,15,DarkAssociation_DarkAssociation_QuestStart_3
161,16,DarkAssociation_DarkAssociation_QuestFinish_1
162,16,DarkAssociation_DarkAssociation_QuestFinish_2
163,16,DarkAssociation_DarkAssociation_QuestFinish_3
171,17,ItemMerchant_Common_Interaction_1
172,17,ItemMerchant_Common_Interaction_2
173,17,ItemMerchant_Common_Interaction_3
174,17,ItemMerchant_Common_QuestStart_1
175,17,ItemMerchant_Common_QuestStart_2
176,17,ItemMerchant_Common_QuestStart_3
181,18,ItemMerchant_Common_QuestFinish_1
182,18,ItemMerchant_Common_QuestFinish_2
183,18,ItemMerchant_Common_QuestFinish_3
191,19,ItemMerchant_Merchant_Interaction_1
192,19,ItemMerchant_Merchant_Interaction_2
193,19,ItemMerchant_Merchant_Interaction_3
194,19,ItemMerchant_Merchant_QuestStart_1
195,19,ItemMerchant_Merchant_QuestStart_2
196,19,ItemMerchant_Merchant_QuestStart_3
201,20,ItemMerchant_Merchant_QuestFinish_1
202,20,ItemMerchant_Merchant_QuestFinish_2
