ID,GroupID,SkillNameKey,SkillIcon,SkillDescKey
1,30011,1105000000001,Icon_Debuff_Boranta_02,1106000000001
2,30011,1105000000002,Icon_Skill_Active_12242,1106000000002
3,30011,1105000000003,Icon_Skill_Active_12212,1106000000003
4,30012,1105000000004,Icon_Skill_Passive_24221,1106000000004
5,30012,1105000000005,Icon_Skill_Active_11251,1106000000005
6,30012,1105000000006,Icon_Debuff_Ramog_01,1106000000006
7,30021,1105000000001,Icon_Debuff_Boranta_02,1106000000001
8,30021,1105000000002,Icon_Skill_Active_12242,1106000000002
9,30021,1105000000003,Icon_Skill_Active_12212,1106000000003
10,30022,1105000000004,Icon_Skill_Passive_24221,1106000000004
11,30022,1105000000005,Icon_Skill_Active_11251,1106000000005
12,30022,1105000000006,Icon_Debuff_Ramog_01,1106000000006
13,30031,1105000000001,Icon_Debuff_Boranta_02,1106000000001
14,30031,1105000000002,Icon_Skill_Active_12242,1106000000002
15,30031,1105000000003,Icon_Skill_Active_12212,1106000000003
16,30032,1105000000004,Icon_Skill_Passive_24221,1106000000004
17,30032,1105000000005,Icon_Skill_Active_11251,1106000000005
18,30032,1105000000006,Icon_Debuff_Ramog_01,1106000000006
19,30041,1105000000001,Icon_Debuff_Boranta_02,1106000000001
20,30041,1105000000002,Icon_Skill_Active_12242,1106000000002
21,30041,1105000000003,Icon_Skill_Active_12212,1106000000003
22,30042,1105000000004,Icon_Skill_Passive_24221,1106000000004
23,30042,1105000000005,Icon_Skill_Active_11251,1106000000005
24,30042,1105000000006,Icon_Debuff_Ramog_01,1106000000006
25,30111,1105000000025,Icon_Debuff_Leonard_01,1106000000025
26,30111,1105000000026,Icon_Buff_MaxHP,1106000000026
27,30111,1105000000027,Icon_Debuff_KnockDown,1106000000027
28,30111,1105000000028,Icon_Debuff_Leonard_02,1106000000028
29,30121,1105000000025,Icon_Debuff_Leonard_01,1106000000025
30,30121,1105000000026,Icon_Buff_MaxHP,1106000000026
31,30121,1105000000027,Icon_Debuff_KnockDown,1106000000027
32,30121,1105000000028,Icon_Debuff_Leonard_02,1106000000028
33,30131,1105000000025,Icon_Debuff_Leonard_01,1106000000033
34,30131,1105000000026,Icon_Buff_MaxHP,1106000000034
35,30131,1105000000027,Icon_Debuff_KnockDown,1106000000027
36,30131,1105000000028,Icon_Debuff_Leonard_02,1106000000028
37,30131,1105000000037,Icon_Debuff_Stun,1106000000037
38,30141,1105000000025,Icon_Debuff_Leonard_01,1106000000038
39,30141,1105000000026,Icon_Buff_MaxHP,1106000000034
40,30141,1105000000027,Icon_Debuff_KnockDown,1106000000027
41,30141,1105000000028,Icon_Debuff_Leonard_02,1106000000028
42,30141,1105000000037,Icon_Debuff_Stun,1106000000037
43,30112,1105000000043,Icon_Debuff_Trisha_01,1106000000043
44,30112,1105000000044,Icon_Debuff_Trisha_02,1106000000044
45,30112,1105000000045,Icon_Skill_Active_13224,1106000000045
46,30112,1105000000046,Icon_Debuff_Taunt,1106000000046
47,30112,1105000000047,Icon_Skill_Passive_21221,1106000000047
48,30122,1105000000043,Icon_Debuff_Trisha_01,1106000000043
49,30122,1105000000044,Icon_Debuff_Trisha_02,1106000000044
50,30122,1105000000045,Icon_Skill_Active_13224,1106000000045
51,30122,1105000000046,Icon_Debuff_Taunt,1106000000046
52,30122,1105000000047,Icon_Skill_Passive_21221,1106000000047
53,30132,1105000000043,Icon_Debuff_Trisha_01,1106000000043
54,30132,1105000000044,Icon_Debuff_Trisha_02,1106000000054
55,30132,1105000000045,Icon_Skill_Active_13224,1106000000045
56,30132,1105000000046,Icon_Debuff_Taunt,1106000000046
57,30132,1105000000047,Icon_Skill_Passive_21221,1106000000047
