PetInfoId,Grade,UpgradeSummonStoneCount,UpgradeAdenaCost,MaxLevel
1,C,1,10000,20
1,B,5,30000,20
1,A,15,70000,20
1,S,30,120000,20
1,R,45,200000,20
1,SR,100,500000,20
2,C,1,10000,20
2,B,5,30000,20
2,A,15,70000,20
2,S,30,120000,20
2,R,45,200000,20
2,SR,100,500000,20
3,C,1,10000,20
3,B,5,30000,20
3,A,15,70000,20
3,S,30,120000,20
3,R,45,200000,20
3,SR,100,500000,20
4,C,1,10000,20
4,B,2,20000,20
4,A,3,30000,20
4,S,5,450000,20
4,R,15,700000,20
4,SR,30,950000,20
7,C,1,10000,20
7,B,2,20000,20
7,A,3,30000,20
7,S,5,450000,20
7,R,15,700000,20
7,SR,30,950000,20
8,C,0,0,20
8,B,0,0,20
8,A,0,0,20
8,S,0,0,20
8,R,0,0,20
8,SR,0,0,20
9,C,0,0,20
9,B,0,0,20
9,A,0,0,20
9,S,0,0,20
9,R,0,0,20
9,SR,0,0,20
100001,C,1,10000,20
100001,B,2,20000,20
100001,A,3,30000,20
100001,S,5,450000,20
100001,R,15,700000,20
100001,SR,30,950000,20
