Id,NameKey,MoveType,MoveSpeed,Distance,Angle,Count,HitCount,ExplosionCollisionUnitType,ExplosionCollisionUnitParam,Resource,SocketName,DirAlign
11131,0,Dynamic,1650,650,0,1,1,Circle,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
11125,0,,2000,800,0,1,3,Circle,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
11132,0,,1800,650,0,1,1,Circle,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
11133,0,Dynamic,1500,650,0,1,4,Circle,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
12131,0,Dynamic,1650,650,0,1,1,Circle,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
12125,0,,2000,800,0,1,3,Circle,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
12132,0,,1800,650,0,1,1,Circle,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
12133,0,Dynamic,1500,650,0,1,4,Circle,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
13131,0,Dynamic,1650,650,0,1,1,Circle,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
13125,0,,2000,800,0,1,3,Circle,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
13132,0,,1800,650,0,1,1,Circle,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
13133,0,Dynamic,1500,650,0,1,4,Circle,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
14131,0,Dynamic,1650,650,0,1,1,Circle,"""radius"": 200",BP_PROJ_EnergyBolt,Socket_Fire_2,1
14125,0,,2000,800,0,1,3,Circle,"""radius"": 200",BP_PROJ_DoubleShot,WeaponL,1
14132,0,,1800,650,0,1,1,Circle,"""radius"": 230",BP_PROJ_FlameBurst,Socket_Fire_2,1
14133,0,Dynamic,1500,650,0,1,4,Circle,"""radius"": 200",BP_PROJ_WindStrike,Socket_Fire_2,1
11252,0,Dynamic,500,700,0,1,1,Circle,"""radius"": 350",BP_PROJ_MoltenBowl01,Socket_Fire_2,1
12221,0,Dynamic,2000,700,0,1,4,Circle,"""radius"": 250",BP_PROJ_SonicBlaster,Socket_Fire_2,1
12222,0,Dynamic,1800,700,0,1,1,Circle,"""radius"": 270",BP_PROJ_SonicStorm,Socket_Fire_2,1
12242,0,Dynamic,1500,800,0,1,4,Obb,"""left"":200, ""right"":200, ""front"":110, ""back"":110",BP_PROJ_DoubleWideShot,Socket_Fire_2,1
12251,0,,1500,650,0,1,1,Circle,"""radius"": 230",BP_PROJ_IceSpear,Socket_Fire_2,1
13241,0,,900,700,0,1,4,Circle,"""radius"": 230",BP_PROJ_DeathStinger,Socket_Fire_2,1
30004,0,Dynamic,1000,800,0,1,4,Circle,"""radius"": 250",BP_PROJ_BloodArrow,WeaponL,1
30006,0,Dynamic,1000,800,0,1,1,Circle,"""radius"": 150",BP_PROJ_MissileBolt,Socket_Fire_2,1
31003,0,,400,600,0,1,-1,Circle,"""radius"": 250",BP_PROJ_HumanSkillTutorial_02,Socket_Fire_2,1
50001,0,,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_FlameBurst,Socket_Center,1
50002,0,,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_IceSpear,Socket_Center,1
50003,0,,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_Earth,Socket_Center,1
50004,0,,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_Windstrike,Socket_Center,1
50005,0,,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_Dark,Socket_Center,1
50006,0,,1600,800,0,1,3,Circle,"""radius"": 130",BP_PROJ_EnergyBolt,Socket_Center,1
50007,0,,2000,800,0,1,2,Circle,"""radius"": 130",BP_PROJ_DoubleShot,Socket_Center,1
60107,0,,1600,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_FlameBurst,Socket_Fire_2,1
60109,0,Dynamic,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_PowerShot,WeaponL,1
73022,0,Dynamic,1800,1000,0,1,-1,Circle,"""radius"": 130",BP_PROJ_Zaken,Socket_Center,1
77085,0,Dynamic,1800,1000,0,1,-1,Circle,"""radius"": 130",BP_PROJ_Zaken,Socket_Center,1
74061,0,,300,2000,0,3,20,Circle,"""radius"": 130",BP_PROJ_Drake,Socket_BossSkill_01,1
74101,0,,1600,2000,0,1,20,Circle,"""radius"": 150",BP_PROJ_Dullahan,Socket_Center,1
74111,0,,1600,2000,0,1,20,Circle,"""radius"": 150",BP_PROJ_DarkLord,Socket_Fire_2,1
74121,0,,300,2000,360,4,20,Obb,"""left"":100, ""right"":100, ""front"":200, ""back"":200",BP_PROJ_Sahara_03,Socket_Bottom,1
80001,0,Static,1600,800,0,1,1,Circle,"""radius"": 75",BP_PROJ_FlameBurst,Socket_Fire_2,1
1508031,0,,1500,800,0,1,-1,Circle,"""radius"": 300",BP_PROJ_WindStrike,Socket_Fire_2,1
1512031,0,Dynamic,2000,800,0,1,-1,Circle,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2,1
1513021,0,Dynamic,2000,800,0,1,-1,Circle,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2,1
1513071,0,,2500,900,0,1,-1,Circle,"""radius"": 250",BP_PROJ_DoubleShot,WeaponL,1
1514051,0,Dynamic,2500,900,0,1,1,Circle,"""radius"": 250",BP_PROJ_PowerShot,WeaponL,1
1518031,0,,2000,900,0,1,-1,Circle,"""radius"": 230",BP_PROJ_IceSpear,Socket_Fire_2,1
1519021,0,Dynamic,2000,800,0,1,-1,Circle,"""radius"": 250",BP_PROJ_EnergyBolt,Socket_Fire_2,1
720441,0,,700,2000,0,1,1,Circle,"""radius"": 600",BP_PROJ_CrumaCoreBoss_Skill04,Socket_Center,1
601261,0,Dynamic,1000,1000,0,1,10,Circle,"""radius"": 100",BP_PROJ_Windstrike,Socket_Center,1
601391,0,Dynamic,800,1000,0,1,1,Circle,"""radius"": 100",BP_PROJ_DragonPython,Socket_Center,1
601441,0,Dynamic,1500,1000,0,1,10,Circle,"""radius"": 50",BP_PROJ_DarkAssociationMHighSkill_01,Socket_Center,1
10050005,0,,2000,800,0,1,1,Circle,"""radius"": 130",BP_PROJ_Dark,Socket_Center,0
731271,0,Dynamic,600,3000,360,9,100,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731281,0,Dynamic,600,3000,360,9,100,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731291,0,Dynamic,600,3000,360,9,100,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731301,0,Dynamic,600,3000,360,9,100,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
731311,0,Dynamic,600,3000,360,9,100,Circle,"""radius"": 30",BP_PROJ_Zaken,Socket_Center,1
