Id,Difficulty,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3,RewardExp,RewardAdena
1,Easy,C,911179,1,,,,,0,0
2,Easy,B,911179,1,,,,,0,0
3,Easy,A,911179,2,,,,,0,0
4,Easy,S,911179,1,,,,,0,0
5,Easy,SS,911179,2,,,,,0,0
6,Easy,SSS,911179,3,,,,,0,0
7,Normal,C,911179,1,,,,,0,0
8,Normal,B,911179,1,,,,,0,0
9,Normal,A,911179,2,,,,,0,0
10,Normal,S,911179,1,,,,,0,0
11,Normal,SS,911179,2,,,,,0,0
12,Normal,SSS,911179,3,,,,,0,0
13,Hard,C,911179,1,,,,,0,0
14,Hard,B,911179,1,,,,,0,0
15,Hard,A,911179,2,,,,,0,0
16,Hard,S,911179,1,,,,,0,0
17,Hard,SS,911179,2,,,,,0,0
18,Hard,SSS,911179,3,,,,,0,0
19,Hell,C,911179,1,,,,,0,0
20,Hell,B,911179,1,,,,,0,0
21,Hell,A,911179,2,,,,,0,0
22,Hell,S,911179,1,,,,,0,0
23,Hell,SS,911179,2,,,,,0,0
24,Hell,SSS,911179,3,,,,,0,0
