Key,ValueKey
InvalidPacketVersion,351000000001
InvalidAssetVersion,351000000002
DatabaseQueryError,351000000003
LuaScriptError,351000000004
ExcelTableError,351000000005
InvalidParameter,351000000006
LogicError,351000000007
NoMainResultPacket,351000000008
AccountNotLoggedIn,351000000009
AlreadyConnectedUser,351000000010
NoKickoutTarget,351000000011
InvalidAuth,351000000012
InvalidCharacterId,351000000013
InvalidClassInfoId,351000000014
InvalidGender,351000000015
InvalidName,351000000016
InvalidNpcInfoId,351000000017
InvalidPlayerId,351000000018
InvalidRaceInfoId,351000000019
InvalidSkillInfoId,351000000020
InvalidSkillTarget,351000000021
InvalidState,351000000022
InvalidWorldId,351000000023
EmptyDeviceId,351000000024
AlreadyUsingName,351000000025
SkillCasting,351000000026
Unmovable,351000000027
NotDied,351000000028
NotEnoughMp,351000000029
NotEnoughAdena,351000000030
PlayerNotSelected,351000000031
NotEnoughDiamond,351000000032
NotEnoughLevel,351000000033
ClassTransferSameClassId,351000000034
ClassTransferNotEnoughRequiredClassInfoId,351000000035
ClassTransferNotEnoughRequiredLv,351000000036
InvalidSecurityCode,351000000037
InvalidUserId,351000000038
InvalidBuffEffectId,351000000039
InvalidMarketInfoId,351000000040
InvalidPacketHash,351000000041
InvalidSkillEffectId,351000000042
InvalidAchievementInfoId,351000000043
InvalidRuneLevel,351000000044
NotEnoughRunePiece,351000000045
InvalidRuneInfo,351000000046
RuneLevelUpFailed,351000000047
MaxRuneLevel,351000000048
NotEnoughPreRuneLevel,351000000049
NotEnoughAdenaStorage,351000000050
NotEnoughTopazStorage,351000000051
NotEnoughFreeDiamondStorage,351000000052
NotEnoughPayDiamondStorage,351000000052
NotEnoughTopaz,351000000053
NotEnoughGachaMileage,351000000054
Died,351000000055
InvalidNameLength,351000000056
InvalidNameSpace,351000000057
NotEnoughSkillPoint,351000000058
AlreadyMaxAdena,351000000059
AlreadyMaxGuildCoin,351000000060
NotEnoughPreRunePageRuneCount,351000000061
NotEnoughFriendshipPoint,351000000062
