ContentsType,TitleKey,Desc1Key,Desc2Key,Desc3Key,Desc4Key,Desc5Key
Field,1240000000001,1240000000101,1240000000201,1240000000301,1240000000401,1240000000501
Boss,1240000000002,1240000000102,1240000000202,1240000000302,0,0
PKGuild,1240000000003,1240000000103,1240000000203,1240000000303,0,0
PK,1240000000004,1240000000104,1240000000204,1240000000303,0,0
EliteDungeon,1240000000005,1240000000105,1240000000205,1240000000301,1240000000401,1240000000502
EliteDungeonPKGuild,1240000000006,1240000000106,1240000000206,0,0,0
EliteDungeonPK,1240000000007,1240000000107,1240000000207,1240000000303,0,0
CollectDungeonGuild,1240000000008,1240000000108,1240000000208,1240000000303,1240000000402,0
CollectDungeon,1240000000009,1240000000109,1240000000209,1240000000303,0,0
Dungeon,1240000000010,1240000000110,1240000000210,1240000000301,1240000000401,1240000000501
PartyDungeon,1240000000011,1240000000111,1240000000211,0,0,0
PartyDungeonHard,1240000000012,1240000000112,1240000000212,0,0,0
Default,1240000000013,1240000000113,1240000000213,1240000000301,1240000000401,1240000000501
