Id,ShopId,DyeingType,ColorHEX
1,2021000,Hair,
2,2021001,Hair,0x060607FF
3,2021002,Hair,0x120C07FF
4,2021003,Hair,0xDABA8DFF
5,2021004,Hair,0xAF702FFF
6,2021005,Hair,0x71491FFF
7,2021006,Hair,0x0E0919FF
8,2021007,Hair,0x58091DFF
9,2021008,Hair,0xC02B28FF
10,2021009,Hair,0xFF6882FF
11,2021010,Hair,0x321F0AFF
12,2021011,Hair,0x50397DFF
13,2021012,Hair,0x5C234CFF
14,2021013,Hair,0x00292DFF
15,2021014,Hair,0x155304FF
16,2021015,Hair,0x514E11FF
17,2021016,Hair,0x31100FFF
18,2021017,Hair,0x003064FF
19,2021018,Hair,0x2D3B46FF
20,2021019,Hair,0xCE3E07FF
21,2021020,Hair,0x640A04FF
22,2021021,Hair,0xFF0500FF
23,2021022,Hair,0x5079B9FF
24,2021023,Hair,0x62E9FFFF
25,2021024,Hair,0xFFB3FFFF
26,2021025,Hair,0xFFFFFFFF
27,2021026,Hair,0x5A5AFFFF
28,2021027,Hair,0xB9B9FFFF
29,2021028,Hair,0x00CDFFFF
30,2021029,Hair,0x6EE1FFFF
31,2021030,Hair,0xBEF5FFFF
