NetmarbleSItemId,CurrencyType,Cost
monthly_double_001,USD,0.99
monthly_double_003,USD,2.99
monthly_double_005,USD,4.99
monthly_double_010,USD,9.99
monthly_double_030,USD,29.99
monthly_double_050,USD,49.99
dia_double_003,USD,2.99
dia_double_005,USD,4.99
dia_double_010,USD,9.99
dia_basic_001,USD,0.99
dia_basic_003,USD,2.99
dia_basic_005,USD,4.99
dia_basic_010,USD,9.99
dia_basic_030,USD,29.99
dia_basic_050,USD,49.99
dia_basic_100,USD,99.99
pack_mountpet_02,USD,99.99
pack_chall_005,USD,4.99
pack_chall_001,USD,0.99
daily_diamond,USD,9.99
pack_collect_sr,USD,29.99
pack_scenario_01,USD,29.99
pack_levelup_01,USD,29.99
pack_scenario_02,USD,29.99
pack_starting,USD,29.99
pack_adv_01,USD,29.99
pack_adv_02,USD,99.99
pack_adv_03,USD,99.99
pack_skillpoint_01,USD,9.99
pack_soulcrystal_03,USD,29.99
pack_soulcrystal_01,USD,49.99
pack_soulcrystal_02,USD,99.99
pack_upgradestone_01,USD,99.99
pack_blessedscroll_01,USD,99.99
pack_adv_04,USD,99.99
pack_inventory_01,USD,49.99
daily_pack_equipment_01,USD,0.99
daily_pack_equipment_02,USD,0.99
daily_pack_equipment_03,USD,0.99
weekly_pack_blessedscroll_01,USD,9.99
monthly_pack_equipment_01,USD,9.99
monthly_pack_material_01,USD,9.99
pack_sandofoblivion_01,USD,9.99
pack_platformg_001,USD,9.99
pack_platforma_01,USD,9.99
pack_popup_equipment_01,USD,49.99
pack_popup_enhancement_01,USD,99.99
pack_popup_accessory_01,USD,99.99
pack_popup_soulcrystal_01,USD,49.99
pack_popup_skillpoint_01,USD,9.99
pack_mountpet_01,USD,99.99
pack_mountpet_03,USD,49.99
pack_adv_05,USD,99.99
name_change_050,USD,49.99
weekly_pack_guild_100,USD,99.99
weekly_pack_guild_010,USD,9.99
daily_adena,USD,9.99
pack_platformg_030,USD,29.99
pack_platforma_030,USD,29.99
monthly_pack_guild_030,USD,29.99
pack_lucky_010,USD,9.99
pack_lucky_050,USD,49.99
pack_chall_010,USD,9.99
pack_battle_030,USD,29.99
pack_battle_050,USD,49.99
pack_battle_100,USD,99.99
pack_upgradestone_02,USD,2.99
pack_upgradestone_03,USD,99.99
daily_bluediamond,USD,9.99
reddia_gpromo_010,USD,9.99
dia_gpromo_050,USD,49.99
dia_gpromo_010,USD,9.99
pack_event_001,USD,0.99
pack_event_003,USD,2.99
pack_event_100,USD,99.99
pack_lucky_030,USD,29.99
pack_gcape_050,USD,49.99
pack_acape_050,USD,49.99
gift_th_003,USD,0.99
gift_th_007,USD,0.99
gift_th_015,USD,0.99
gift_th_030,USD,0.99
gift_my_005,USD,0.99
gift_my_010,USD,0.99
gift_my_023,USD,0.99
pack_special_001,USD,0.99
pack_special_010,USD,9.99
pack_levelup_03,USD,49.99
pack_scenario_03,USD,29.99
pack_platinum_100,USD,99.99
pack_master_100,USD,99.99
pack_crystal_050,USD,49.99
pack_brecipe_100,USD,99.99
pack_rrecipe_100,USD,99.99
pack_special_003,USD,2.99
pack_special_005,USD,4.99
pack_special_100,USD,99.99
pack_special_101,USD,99.99
pack_blessedscroll_02,USD,99.99
costume_xmas_030,USD,29.99
pack_mountpet_06,USD,99.99
pack_autoquest_001,USD,9.99
pack_autosell_001,USD,9.99
daily_maphr,USD,49.99
pack_special_102,USD,9.99
pack_premium_010,USD,9.99
pack_premium_011,USD,9.99
pack_premium_030,USD,29.99
pack_premium_031,USD,29.99
pack_premium_050,USD,49.99
pack_premium_051,USD,49.99
pack_mountpet_05,USD,49.99
pack_redlb_100,USD,99.99
pack_bluelb_100,USD,99.99
pack_whitelb_100,USD,99.99
pack_redab_100,USD,99.99
pack_blueab_100,USD,99.99
pack_whiteab_100,USD,99.99
dc_reddia_030,USD,29.99
dc_blessedscroll_050,USD,29.99
dc_skillpoint_005,USD,4.99
pack_lb_100,USD,99.99
pack_ab_100,USD,99.99
