ShopId,ShopServerType,NewServer,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType,BuffInfoId,ProductItemTypeValue,InstantMail,ByMail,ItemNotBind,RateRevisionGrade,RateRevisionValue,FirstGachaId,GachaId,EventItemPeriodId
1001,All,All,Adena,20000,,,,Base,,,,0,0,,,,,
1002,All,All,Adena,42000,,,,Base,,,,0,0,,,,,
1003,All,All,Adena,88000,,,,Base,,,,0,0,,,,,
1004,All,All,Adena,184000,,,,Base,,,,0,0,,,,,
1005,All,All,Adena,384000,,,,Base,,,,0,0,,,,,
1006,All,All,Adena,800000,,,,Base,,,,0,0,,,,,
2001,All,All,PayDiamond,30,,,,Base,,,,0,0,,,,,
2001,All,All,FreeDiamond,30,,,,Bonus,,,,0,0,,,,,
2002,All,All,PayDiamond,90,,,,Base,,,,0,0,,,,,
2002,All,All,FreeDiamond,90,,,,Bonus,,,,0,0,,,,,
2002,All,All,Topaz,3,,,,Bonus,,,,0,0,,,,,
2003,All,All,PayDiamond,205,,,,Base,,,,0,0,,,,,
2003,All,All,FreeDiamond,205,,,,Bonus,,,,0,0,,,,,
2003,All,All,Topaz,5,,,,Bonus,,,,0,0,,,,,
2004,All,All,PayDiamond,430,,,,Base,,,,0,0,,,,,
2004,All,All,FreeDiamond,430,,,,Bonus,,,,0,0,,,,,
2004,All,All,Topaz,10,,,,Bonus,,,,0,0,,,,,
2005,All,All,PayDiamond,1350,,,,Base,,,,0,0,,,,,
2005,All,All,FreeDiamond,1350,,,,Bonus,,,,0,0,,,,,
2005,All,All,Topaz,30,,,,Bonus,,,,0,0,,,,,
2006,All,All,PayDiamond,2350,,,,Base,,,,0,0,,,,,
2006,All,All,FreeDiamond,2350,,,,Bonus,,,,0,0,,,,,
2006,All,All,Topaz,50,,,,Bonus,,,,0,0,,,,,
2201,"th_TH,id_ID",All,PayDiamond,30,,,,Base,,,,0,0,,,,,
2202,All,All,Topaz,3,,,,Bonus,,,,0,0,,,,,
2202,All,All,PayDiamond,90,,,,Base,,,,0,0,,,,,
2203,All,All,Topaz,5,,,,Bonus,,,,0,0,,,,,
2203,All,All,PayDiamond,205,,,,Base,,,,0,0,,,,,
2204,All,All,Topaz,10,,,,Bonus,,,,0,0,,,,,
2204,All,All,PayDiamond,430,,,,Base,,,,0,0,,,,,
2205,All,All,Topaz,30,,,,Bonus,,,,0,0,,,,,
2205,All,All,PayDiamond,1350,,,,Base,,,,0,0,,,,,
2206,All,All,Topaz,50,,,,Bonus,,,,0,0,,,,,
2206,All,All,PayDiamond,2350,,,,Base,,,,0,0,,,,,
2207,All,All,Topaz,100,,,,Bonus,,,,0,0,,,,,
2207,All,All,PayDiamond,4900,,,,Base,,,,0,0,,,,,
2900,All,All,PayDiamond,5000,,,,Base,,,,1,0,,,,,
2900,All,All,Topaz,100,,,,Bonus,,,,1,0,,,,,
2900,All,All,Item,10,SupriseBox,,911009,Bonus,,,,1,0,,,,,
3001,All,All,RandomSpecialEquip,1,,,900002,Base,,,,1,0,,,,3001,
3002,All,All,Item,1,,R,410011,Base,,,,0,0,,,,,
3003,All,All,Item,1,,R,410012,Base,,,,0,0,,,,,
3004,All,All,Item,1,,R,410013,Base,,,,0,0,,,,,
3005,All,All,Item,1,,R,400000,Base,,,,0,0,,,,,
3006,All,All,Item,1,,R,490026,Base,,,,0,0,,,,,
3007,All,All,Item,1,,S,490027,Base,,,,0,0,,,,,
3008,All,All,Item,1,,R,490037,Base,,,,0,0,,,,,
3009,All,All,Item,1,,SR,490038,Base,,,,0,0,,,,,
3011,All,All,RandomSpecialEquip,1,SupriseBox,,900022,Base,,,,1,0,,,,3011,
4001,All,All,Item,20,,Max,440001,Base,,,,0,0,,,,,
4002,All,All,Item,200,,Max,440001,Base,,,,0,0,,,,,
4003,All,All,Item,20,,Max,440002,Base,,,,0,0,,,,,
4004,All,All,Item,200,,Max,440002,Base,,,,0,0,,,,,
4005,All,All,Item,20,,Max,440011,Base,,,,0,0,,,,,
4006,All,All,Item,200,,Max,440011,Base,,,,0,0,,,,,
4007,All,All,Item,20,,Max,440012,Base,,,,0,0,,,,,
4008,All,All,Item,200,,Max,440012,Base,,,,0,0,,,,,
4009,All,All,Item,500,,Max,400001,Base,,,,0,0,,,,,
4010,All,All,Item,5000,,Max,400001,Base,,,,0,0,,,,,
4013,All,All,Item,1,Megaphone,Max,490000,Base,,,,0,0,,,,,
