Id,Type,Count,RewardGroupInfoId
101,ChargeTotal,1000,10010101
101,ChargeTotal,2000,10010102
101,ChargeTotal,4000,10010103
101,ChargeTotal,12000,10010104
101,ChargeTotal,20000,10010105
102,ChargeTotal,1000,10010201
102,ChargeTotal,2000,10010202
102,ChargeTotal,4000,10010203
102,ChargeTotal,12000,10010204
102,ChargeTotal,20000,10010205
103,ChargeTotal,1000,10010206
103,ChargeTotal,2000,10010206
103,ChargeTotal,4000,10010207
103,ChargeTotal,12000,10010208
103,ChargeTotal,20000,10010208
104,ChargeTotal,150,10010301
104,ChargeTotal,300,10010302
104,ChargeTotal,1000,10010303
104,ChargeTotal,2000,10010304
104,ChargeTotal,4000,10010305
104,ChargeTotal,8000,10010306
104,ChargeTotal,12000,10010307
104,ChargeTotal,20000,10010308
100001,ConsumeTotal,150,100001
100001,ConsumeTotal,300,100002
100001,ConsumeTotal,1000,100003
100001,ConsumeTotal,2000,100004
100001,ConsumeTotal,4000,100005
100001,ConsumeTotal,8000,100006
100001,ConsumeTotal,12000,100007
100001,ConsumeTotal,20000,100008
105,ChargeTotal,150,10010501
105,ChargeTotal,300,10010502
105,ChargeTotal,1000,10010503
105,ChargeTotal,2000,10010504
105,ChargeTotal,4000,10010505
105,ChargeTotal,8000,10010506
105,ChargeTotal,12000,10010507
105,ChargeTotal,20000,10010508
106,ChargeTotal,150,10010601
106,ChargeTotal,300,10010602
106,ChargeTotal,1000,10010603
106,ChargeTotal,2000,10010604
106,ChargeTotal,4000,10010605
106,ChargeTotal,8000,10010606
106,ChargeTotal,12000,10010607
106,ChargeTotal,20000,10010608
