SkillParamId,SkillInfold,AddEffectDescriptionKey,AddEffectDescriptionDisplayHide,AddEffectActiveSkillDisplayLevel,AddEffectGrowthLimitSkillRealLevel,SkillEffectId
1121101,11211,293900010001,1,47,73,11211101
1121102,11211,293900010002,0,30,100,11211102
1121201,11212,293900010001,1,47,73,11212101
1121202,11212,293900010002,0,30,100,11212102
1121301,11213,293900010001,1,47,73,11213101
1122101,11221,293900010001,1,47,73,11221101
1122201,11222,293900010001,1,47,73,11222101
1122202,11222,293900010002,0,30,100,11222102
1122301,11223,293900010001,1,47,73,11223101
1122302,11223,293900010003,0,40,100,11223102
1123101,11231,293900010001,1,47,73,11231101
1123201,11232,293900010001,1,47,73,11232101
1123202,11232,293900010002,0,30,100,11232102
1123301,11233,293900010001,1,47,73,11233101
1123302,11233,293900010004,0,40,100,11233102
1124101,11241,293900010001,1,47,73,11241101
1124102,11241,293900010002,0,30,100,11241102
1124201,11242,293900010001,1,47,73,11242101
1124202,11242,293900010002,0,30,100,11242102
1124301,11243,293900010001,1,47,73,11243101
1124401,11244,293900010001,1,47,73,11244101
1125101,11251,293900010001,1,47,73,11251101
1125201,11252,293900010001,1,47,73,11252101
1125202,11252,293900010002,0,40,100,11252102
1125301,11253,293900010001,1,47,73,11253101
1126101,11261,293900010001,1,47,73,11261101
1126102,11261,293900010002,0,30,100,11261102
1126103,11261,293900010005,0,40,100,11261103
1126201,11262,293900010001,1,47,73,11262101
1126202,11262,293900010006,0,30,100,11262102
1126203,11262,293900010006,0,40,100,11262103
1126204,11262,293900010006,0,50,100,11262104
1221101,12211,293900010001,1,47,73,12211101
1221102,12211,293900010007,0,30,100,12211102
1221201,12212,293900010001,1,47,73,12212101
1221301,12213,293900010001,1,47,73,12213101
1221302,12213,293900010004,0,30,100,12213102
1222101,12221,293900010001,1,47,73,12221101
1222102,12221,293900010002,0,30,100,12221102
1222103,12221,293900010002,0,40,100,12221103
1222201,12222,293900010001,1,47,73,12222101
1222202,12222,293900010002,0,30,100,12222102
1222203,12222,293900010002,0,40,100,12222103
1222301,12223,293900010001,1,47,73,12223101
1222302,12223,293900010008,0,30,100,12223102
1222303,12223,293900010008,0,40,100,12223103
1222401,12224,293900010001,1,47,73,12224101
1222402,12224,293900010009,0,30,100,12224102
1222403,12224,293900010010,0,40,100,12224103
1223101,12231,293900010001,1,47,73,12231101
1223102,12231,293900010002,0,30,100,12231102
1223201,12232,293900010001,1,47,73,12232101
1223301,12233,293900010001,1,47,73,12233101
1224101,12241,293900010001,1,47,73,12241101
1224102,12241,293900010002,0,30,100,12241102
1224201,12242,293900010001,1,47,73,12242101
1224301,12243,293900010001,1,47,73,12243101
