Lv,AdenaTier0,AdenaTier1,AdenaTier2,AdenaTier3,SPTier0,SPTier1,SPTier2,SPTier3,GuildAdenaTier0,GuildAdenaTier1,GuildAdenaTier2,GuildAdenaTier3,GuildAdenaTier4,GuildAdenaTier5,ItemInfoIdTier3,ItemCountTier3
1,0,1000,7000,55000,0,5,110,350,1000,4000,6000,8000,10000,12000,490096,1
2,0,2000,8000,56000,0,10,115,355,1600,6400,9600,12800,16000,19200,490096,5
3,0,3000,9000,57000,0,20,120,360,2500,10200,15300,20400,25600,30700,490096,6
4,0,4000,10000,58000,0,30,125,365,4000,16300,24500,32700,40900,49100,490096,7
5,0,5000,11000,59000,0,40,130,370,6500,26200,39300,52400,65500,78600,490096,8
6,0,6000,12000,60000,0,50,135,375,10400,41900,62900,83800,104800,125800,490096,10
7,0,7000,13000,61000,0,110,140,380,16700,67100,100600,134200,167700,201300,490096,12
8,0,8000,14000,62000,0,115,145,385,26800,107300,161000,214700,268400,322100,490096,14
9,0,9000,15000,63000,0,120,150,390,42900,171700,257600,343500,429400,515300,490096,16
10,0,10000,16000,64000,0,125,155,395,68700,274800,412300,549700,687100,824600,490096,18
11,0,11000,17000,65000,0,130,160,400,0,0,0,0,0,0,490096,20
12,0,12000,18000,66000,0,135,165,405,0,0,0,0,0,0,490096,22
13,0,13000,19000,67000,0,140,170,410,0,0,0,0,0,0,490096,24
14,0,14000,20000,68000,0,145,175,415,0,0,0,0,0,0,490096,26
15,0,15000,21000,69000,0,150,180,420,0,0,0,0,0,0,490096,28
16,0,16000,22000,70000,0,155,185,425,0,0,0,0,0,0,490096,30
17,0,17000,23000,71000,0,160,190,430,0,0,0,0,0,0,490096,32
18,0,18000,24000,72000,0,165,195,435,0,0,0,0,0,0,490096,34
19,0,19000,25000,73000,0,170,200,440,0,0,0,0,0,0,490096,36
20,0,20000,26000,74000,0,175,205,445,0,0,0,0,0,0,490096,38
21,0,21000,27000,75000,0,180,210,450,0,0,0,0,0,0,490096,40
22,0,22000,28000,76000,0,185,215,455,0,0,0,0,0,0,490096,42
23,0,23000,29000,77000,0,190,220,460,0,0,0,0,0,0,490096,44
24,0,24000,30000,78000,0,195,225,465,0,0,0,0,0,0,490096,46
25,0,25000,31000,79000,0,200,230,470,0,0,0,0,0,0,490096,48
26,0,26000,32000,80000,0,205,235,475,0,0,0,0,0,0,490096,50
27,0,27000,33000,81000,0,210,240,480,0,0,0,0,0,0,490096,52
28,0,28000,34000,82000,0,215,245,485,0,0,0,0,0,0,490096,54
29,0,29000,35000,83000,0,220,250,490,0,0,0,0,0,0,490096,56
30,0,30000,36000,84000,0,225,255,495,0,0,0,0,0,0,490096,58
31,0,31000,37000,85000,0,230,260,500,0,0,0,0,0,0,490096,60
32,0,32000,38000,86000,0,235,265,505,0,0,0,0,0,0,490096,62
33,0,33000,39000,87000,0,240,270,510,0,0,0,0,0,0,490096,64
34,0,34000,40000,88000,0,245,275,515,0,0,0,0,0,0,490096,66
35,0,35000,41000,89000,0,250,280,520,0,0,0,0,0,0,490096,68
36,0,36000,42000,90000,0,255,285,525,0,0,0,0,0,0,490096,70
37,0,37000,43000,91000,0,260,290,530,0,0,0,0,0,0,490096,72
38,0,38000,44000,92000,0,265,295,535,0,0,0,0,0,0,490096,74
39,0,39000,45000,93000,0,270,300,540,0,0,0,0,0,0,490096,76
40,0,40000,46000,94000,0,275,305,545,0,0,0,0,0,0,490096,78
41,0,41000,47000,95000,0,280,310,550,0,0,0,0,0,0,490096,80
42,0,42000,48000,96000,0,285,315,555,0,0,0,0,0,0,490096,82
43,0,43000,49000,97000,0,290,320,560,0,0,0,0,0,0,490096,84
44,0,44000,50000,98000,0,295,325,565,0,0,0,0,0,0,490096,86
45,0,45000,51000,99000,0,300,330,570,0,0,0,0,0,0,490096,88
46,0,46000,52000,100000,0,305,335,575,0,0,0,0,0,0,490096,90
47,0,47000,53000,0,0,310,340,0,0,0,0,0,0,0,490096,1
48,0,48000,54000,0,0,315,345,0,0,0,0,0,0,0,490096,1
49,0,49000,55000,0,0,320,350,0,0,0,0,0,0,0,490096,1
50,0,50000,56000,0,0,325,355,0,0,0,0,0,0,0,490096,1
51,0,51000,57000,0,0,330,360,0,0,0,0,0,0,0,490096,1
52,0,52000,58000,0,0,335,365,0,0,0,0,0,0,0,490096,1
53,0,53000,59000,0,0,340,370,0,0,0,0,0,0,0,490096,1
54,0,54000,60000,0,0,345,375,0,0,0,0,0,0,0,490096,1
55,0,55000,61000,0,0,350,380,0,0,0,0,0,0,0,490096,1
56,0,56000,62000,0,0,355,385,0,0,0,0,0,0,0,490096,1
57,0,57000,63000,0,0,360,390,0,0,0,0,0,0,0,490096,1
58,0,58000,64000,0,0,365,395,0,0,0,0,0,0,0,490096,1
59,0,59000,65000,0,0,370,400,0,0,0,0,0,0,0,490096,1
60,0,60000,66000,0,0,375,405,0,0,0,0,0,0,0,490096,1
61,0,61000,67000,0,0,380,410,0,0,0,0,0,0,0,490096,1
62,0,62000,68000,0,0,385,415,0,0,0,0,0,0,0,490096,1
