id,NameKey,AnimationPath,HumanDialogKey,ElfDialogKey,DarkElfDialogKey,DwarfDialogKey,UseControlActionKey,IconPath,UseCustom
1,261000000001,SocialAction_Letsgo,262000000001,263000000001,264000000001,265000000001,0,Icon_social_01,1
2,261000000002,SocialAction_Victory,262000000002,263000000002,264000000002,265000000002,0,Icon_social_02,1
3,261000000003,SocialAction_Hello,262000000003,263000000003,264000000003,265000000003,0,Icon_social_03,1
4,261000000004,SocialAction_Laugh,262000000004,263000000004,264000000004,265000000004,0,Icon_social_04,1
5,261000000005,SocialAction_Sad,262000000005,263000000005,264000000005,265000000005,0,Icon_social_05,1
6,261000000006,SocialAction_HighFive,262000000006,263000000006,264000000006,265000000006,0,Icon_social_06,1
7,261000000007,SocialAction_Clap,262000000007,263000000007,264000000007,265000000007,0,Icon_social_07,1
8,261000000008,SocialAction_Frastration,262000000008,263000000008,264000000008,265000000008,0,Icon_social_08,1
9,261000000009,SocialAction_Angry,262000000009,263000000009,264000000009,265000000009,0,Icon_social_09,1
1001,261000001001,SummonMonster,0,0,0,0,0,,0
1002,0,TownTeleport,0,0,0,0,0,,0
10001,261000010001,SocialAction_PVPVictory,0,0,0,0,0,,0
10002,261000010002,SocialAction_PVPFrastration,0,0,0,0,0,,0
10003,261000010003,SocialAction_PVPVictory,0,0,0,0,0,,0
10004,261000010004,SocialAction_PVPFrastration,0,0,0,0,0,,0
10005,261000010005,SocialAction_PVPVictory,0,0,0,0,0,,0
10006,261000010006,SocialAction_PVPFrastration,0,0,0,0,0,,0
10007,261000010007,SocialAction_PVPVictory,0,0,0,0,0,,0
10008,261000010008,SocialAction_PVPFrastration,0,0,0,0,0,,0
100001,261000100001,SocialAction_Hello,0,0,0,0,1,,0
100002,261000100002,SocialAction_Laugh,0,0,0,0,1,,0
100003,261000100003,SocialAction_Victory,0,0,0,0,1,,0
100004,261000100004,SocialAction_Clap,0,0,0,0,1,,0
