ID,BattlefieldType,MovelocationPosX,MovelocationPosY
1,Fortress,-2445,-695
2,Fortress,-285,-3190
3,Fortress,-285,1490
4,Fortress,2160,-525
5,Fortress,4685,-3190
6,Fortress,4685,1490
7,Fortress,6240,-695
101,Castle,-7080,-6810
102,Castle,-8875,365
103,Castle,-6780,7305
104,Castle,-3670,-4150
105,Castle,-4525,15
106,Castle,-3625,4335
107,Castle,-1045,175
108,Castle,845,-3345
109,Castle,845,175
110,Castle,845,3670
111,Castle,3085,-3345
112,Castle,4470,175
113,Castle,3085,3580
114,Castle,6370,175
115,Castle,7285,175
