Id,Difficulty,ClearRankScore,ClearRank,RankRewardItemID1,RankRewardItemCount1,RankRewardItemID2,RankRewardItemCount2,RankRewardItemID3,RankRewardItemCount3
1,Easy,0,C,911006,1,,,,
2,Easy,40,B,911006,2,,,,
3,Easy,55,A,911006,3,,,,
4,Easy,65,S,911006,4,,,,
5,Easy,75,SS,911006,5,,,,
6,Easy,85,SSS,911006,6,,,,
7,Normal,0,C,911006,4,,,,
8,Normal,40,B,911006,5,,,,
9,Normal,55,A,911006,6,,,,
10,Normal,65,S,911006,7,,,,
11,Normal,75,SS,911006,8,,,,
12,Normal,85,SSS,911006,9,,,,
13,Hard,0,C,911006,7,,,,
14,Hard,40,B,911006,8,,,,
15,Hard,55,A,911006,9,,,,
16,Hard,65,S,911006,10,,,,
17,Hard,75,SS,911006,11,,,,
18,Hard,85,SSS,911006,12,,,,
19,Hell,0,C,911006,10,,,,
20,Hell,40,B,911006,11,,,,
21,Hell,55,A,911006,12,,,,
22,Hell,65,S,911006,13,,,,
23,Hell,75,SS,911006,14,,,,
24,Hell,85,SSS,911006,15,,,,
25,Difficulty5,0,C,911006,10,,,,
26,Difficulty5,40,B,911006,11,,,,
27,Difficulty5,55,A,911006,12,,,,
28,Difficulty5,65,S,911006,13,,,,
29,Difficulty5,75,SS,911006,14,,,,
30,Difficulty5,85,SSS,911006,15,,,,
