Id,ValueKey,ButtonString1Key,ButtonString2Key,Order,StayTime,ReNotice,SwipeDelete,Option,Vibration,SoundName
1,1091000000001,0,0,3,3,,,,,UI_Common_Chat_1
2,1091000000002,0,0,,3,,,,,UI_Common_Chat_1
3,1091000000003,0,0,,3,,,1,,UI_Common_Chat_1
4,1091000000004,0,0,,3,,,1,,UI_Common_Chat_1
5,1091000000005,0,0,,3,,,1,,UI_Common_Chat_1
6,1091000000006,0,0,,3,,,1,,UI_Common_Chat_1
7,1091000000007,0,0,,3,,,1,,UI_Common_Chat_1
8,1091000000008,0,0,,3,,,1,,UI_Common_Chat_1
9,1091000000009,0,0,,3,,,1,,UI_Common_Chat_1
10,1091000000010,0,0,,3,,,1,,UI_Common_Chat_1
11,1091000000011,0,0,,3,,,1,,UI_Common_Chat_1
12,1091000000012,0,0,,3,,,1,,UI_Common_Chat_1
13,1091000000013,1092000000013,1093000000013,10,10,,1,1,1,UI_Common_PartyInvited_2
14,1091000000014,0,0,,3,3,,,,UI_Common_Chat_1
15,1091000000015,1092000000013,1093000000015,10,10,,1,1,1,UI_Common_PartyInvited_2
16,1091000000016,0,0,10,3,,,1,,UI_Common_Chat_1
17,1091000000017,1092000000013,1093000000017,10,10,,1,1,1,UI_Common_PartyInvited_2
18,1091000000018,0,0,10,10,,1,1,1,UI_Common_PartyInvited
19,1091000000019,1092000000019,1093000000019,10,10,,1,1,1,UI_Common_PartyInvited_2
20,1091000000020,1092000000020,1093000000020,10,10,,1,1,1,UI_Common_PartyInvited_2
21,1091000000021,1092000000019,1093000000019,10,10,,1,1,1,UI_Common_PartyInvited_2
22,1091000000022,1092000000020,1093000000020,10,10,,1,1,1,UI_Common_PartyInvited_2
23,1091000000023,0,0,10,3,,,1,,UI_Common_Chat_1
24,1091000000024,0,0,,3,,,1,,UI_Common_PartyInvited
25,1091000000025,0,0,5,3,,,1,,UI_Common_PartyInvited
26,1091000000026,0,0,,3,,,1,,UI_Common_Chat_1
27,1091000000027,0,0,,3,,,1,,UI_Common_Chat_1
28,1091000000028,0,0,5,3,,,1,,UI_Common_Chat_1
29,1091000000029,1092000000013,1093000000015,10,10,,1,1,1,UI_Common_PartyInvited_2
30,1091000000030,0,0,10,10,,1,1,1,UI_Common_PartyInvited
31,1091000000031,1092000000031,0,3,3,,,1,,UI_Common_Chat_1
32,1091000000032,1092000000031,0,,3,,,,,UI_Common_Chat_1
33,1091000000033,0,0,,3,,,1,,UI_Common_Chat_1
34,1091000000034,0,0,,3,,,1,,UI_Common_Chat_1
35,1091000000035,0,0,1,3,1800,,1,,UI_Common_Chat_1
36,1091000000036,0,0,,3,3,,1,,UI_Common_Chat_1
37,1091000000037,0,0,,3,,,1,,UI_Common_Chat_1
38,1091000000038,0,0,,3,,,,,UI_Common_Chat_1
39,1091000000039,0,0,,3,,,,,UI_Common_Chat_1
40,1091000000040,1092000000013,1093000000017,10,5,,,1,,UI_Common_PartyInvited_2
41,1091000000041,0,0,,3,,,,,UI_Common_Chat_1
42,1091000000042,1092000000042,0,10,5,5,,1,,UI_Common_PartyInvited_2
43,1091000000043,1092000000042,0,,3,,,,,UI_Common_Chat_1
44,1091000000044,0,0,,3,,,,,UI_Common_Chat_1
45,1091000000045,0,0,,3,,,1,,UI_Common_Chat_1
46,1091000000046,0,0,,3,,,,,UI_Common_Chat_1
47,1091000000047,0,0,,3,,,1,,UI_Common_Chat_1
48,1091000000048,0,0,,3,,,1,,UI_Common_Chat_1
49,1091000000049,0,0,,3,,,,,UI_Common_Chat_1
50,1091000000050,0,0,,3,,,,,UI_Common_Chat_1
51,1091000000051,0,0,,3,,,,,UI_Common_Chat_1
52,1091000000052,1092000000052,0,10,3,,,1,,UI_Common_Chat_1
53,1091000000053,1092000000020,1093000000019,5,5,,,1,,UI_Common_Chat_1
54,1091000000054,1092000000020,1093000000020,5,5,,,1,,UI_Common_Chat_1
55,1091000000055,1092000000020,1093000000019,5,5,,,1,,UI_Common_PartyInvited
56,1091000000056,1092000000020,1093000000020,5,5,,,1,,UI_Common_PartyInvited
57,1091000000057,0,0,,3,,,1,,UI_Common_Chat_1
58,1091000000058,0,0,,3,,,1,,UI_Common_Chat_1
59,1091000000059,0,0,,3,,,1,,UI_Common_Chat_1
60,1091000000060,0,0,,3,,,,,UI_Common_Chat_1
61,1091000000061,0,0,,3,,,,,UI_Common_Chat_1
62,1091000000062,0,0,,3,,,,,UI_Common_Chat_1
63,1091000000063,0,0,,3,,,,,UI_Common_Chat_1
64,1091000000064,0,0,,3,,,,,UI_Common_Chat_1
65,1091000000065,0,0,,3,,,1,,UI_Common_Chat_1
66,1091000000066,0,0,,3,,,1,,UI_Common_Chat_1
68,1091000000068,1092000000068,0,,3,,,,,UI_Common_Chat_1
69,1091000000069,1092000000020,1093000000020,,3,,,,,UI_Common_Chat_1
70,1091000000070,1092000000070,0,5,10,,1,1,1,UI_Common_PartyInvited_2
71,1091000000071,1092000000071,0,3,3,,,1,,UI_Common_Chat_1
72,1091000000072,1092000000072,0,10,3,,,1,,UI_Common_Chat_1
73,1091000000073,1092000000071,0,10,3,,,1,,UI_Common_Chat_1
74,1091000000074,1092000000072,0,10,3,,,1,,UI_Common_Chat_1
75,1091000000075,1092000000020,1093000000020,10,3,,,1,,UI_Common_Chat_1
76,1091000000076,1092000000020,1093000000020,10,10,,1,1,1,UI_Common_PartyInvited_2
77,1091000000077,0,0,10,10,,1,1,1,UI_Common_PartyInvited_2
78,1091000000078,0,0,10,3,,,1,1,UI_Common_Chat_1
79,1091000000079,0,0,10,3,,,1,1,UI_Common_Chat_1
80,1091000000080,0,0,,3,,,1,,UI_Common_Chat_1
81,1091000000081,0,0,,3,,,1,,UI_Common_Chat_1
82,1091000000082,1092000000020,1093000000020,,3,,,,,UI_Common_Chat_1
83,1091000000083,0,0,,5,,,1,,UI_Common_Chat_1
84,1091000000084,0,0,,3,,,,,UI_Common_Chat_1
85,1091000000085,1092000000020,1093000000020,,3,,,,,UI_Common_Chat_1
86,1091000000086,1092000000020,1093000000020,,5,,,1,1,UI_Common_Chat_1
87,1091000000087,0,0,,5,,,1,1,UI_Common_Chat_1
88,1091000000088,0,0,,3,,,1,,UI_Common_Chat_1
89,1091000000089,1092000000020,1093000000020,5,3,,,1,,UI_Common_Chat_1
90,1091000000090,1092000000020,1093000000020,10,10,,1,1,1,UI_Common_PartyInvited_2
91,1091000000091,1092000000013,1093000000017,10,10,,1,1,1,UI_Common_PartyInvited_2
92,1091000000092,1092000000092,0,10,15,,1,1,1,UI_Common_PartyInvited_2
93,1091000000093,0,0,1,3,,,1,,UI_Common_Chat_1
94,1091000000094,0,0,10,3,,,1,,UI_Common_Chat_1
95,1091000000095,0,0,,3,,,1,,UI_Common_PartyInvited
96,1091000000096,0,0,5,3,,,1,,UI_Common_PartyInvited
97,1091000000097,0,0,,3,,,1,,UI_Common_Chat_1
98,1091000000098,0,0,,3,,,1,,UI_Common_Chat_1
99,1091000000099,0,0,5,3,,,1,,UI_Common_Chat_1
100,1091000000100,1092000000013,1093000000015,10,10,,1,1,1,UI_Common_PartyInvited_2
101,1091000000101,0,0,10,10,,1,1,1,UI_Common_PartyInvited
