Id,Hide,NameKey,TerritoryId,StartPointX,StartPointY,MapData,QuestMapTexturePath,Type,WorldMapCategory,RecommendedMinLv,RecommendedMaxLv,MaxChannel,MaxCount,FixedMaxCount,PkType,ClearRewardType,ClearRewardCount,ClearRewardTargetInfoId,NpcSpawnGroupId,InstanceNpcSpawn,Minimap,MinimapTextureCountX,MinimapTextureCountY,MinimapZoomScale,MapSizeX,MapSizeY,MapCenterX,MapCenterY,WorldMapCoordX,WorldMapCoordY,DimTexture,DimPosX,DimPosY,DimSizeX,DimSizeY,NameTagPosX,NameTagPosY,PlayerAllyTeamId,EnterLevelRestriction,HelpKeyWord,PathFindingZ,IsTestMap,IsPlayerBlock,IsSkillCoolTimeReset,IsPotionCoolTimeReset,IsHPMPFullCharge,IsVehicleRiding,IsDisableAutoCombat,IsCombat,MoveType,IconAlwaysView,IsTeleportOnly
1,0,161000000001,5,13207,41978,Field/TalkingIsland/Eastern/Eastern,01_Eastern,World,Area,1,14,10,200,,Protect,,20,,1,0,Field/TalkingIsland/Eastern/TalkingIsland_Eastern,4,4,0.56,60000,60000,3710,21120,,,,,,,,172,540,10,1,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
2,0,161000000002,5,6397,42129,Field/TalkingIsland/Western/Western,02_Western,World,Area,14,19,10,200,,Protect,,40,,2,0,Field/TalkingIsland/Western/TalkingIsland_Western,4,4,0.56,50000,50000,14470,25980,,,,,,,,56,424,10,14,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
3,0,161000000003,1,-58348,20148,Field/Gludio/GludinMainload/GludinMainload_01_G01,03_GludinMainload,World,Area,20,27,10,200,,Protect,,60,,3,0,Field/Gludio/GludinMainload/Gludio_GludinMainload,4,4,0.56,140000,140000,-11040,-190,,,,,,,,328,320,10,20,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
4,0,161000000004,1,-5455,23062,Field/Gludio/GludioPlain/GludioPlane,04_GludioPlane,World,Area,28,37,10,200,,Protect,,80,,4,0,Field/Gludio/GludioPlane/Gludio_GludioPlane,4,4,0.56,110000,110000,-6830,4420,,,,,,,,488,192,10,26,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
5,0,161000000005,1,98362,70152,Field/Gludio/Windawood/WindawoodManor_G03,05_WindawoodMano,World,Area,38,49,10,200,,Normal,,100,,5,0,Field/Gludio/Windawood/Gludio_Windawood,4,4,0.56,90000,90000,70460,46950,,,,,,,,568,308,10,33,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
6,0,161000000006,1,80039,55568,Field/Gludio/Wasteland/Wasteland,06_Wasteland,World,Area,50,62,10,200,,Normal,,120,,6,0,Field/Gludio/Wasteland/Gludio_Wasteland,4,4,0.56,100000,100000,45360,55620,,,,,,,,552,444,10,38,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
7,0,161000000007,2,-47484,-3732,Field/Dion/Pasture/Pasture_01_G01,07_Pasture,World,Area,62,74,10,200,,Normal,,140,,7,0,Field/Dion/Pasture/Dion_Pasture,4,4,0.56,104000,104000,-7300,6090,,,,,,,,776,476,10,43,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
8,0,161000000008,2,25437,29789,Field/Dion/CrumaSwamp/CrumaSwamp_G03,08_CrumaSwamp,World,Area,74,90,10,200,,Normal,,160,,8,0,Field/Dion/CrumaSwamp/Dion_CrumaSwamp,4,4,0.56,74000,74000,52430,38130,,,,,,,,636,312,10,48,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
9,0,161000000009,2,-22053,34586,Field/Dion/PeaksOfStruggle/PeaksOfStruggle,09_PeaksOfStruggle,World,Area,90,104,10,200,,Normal,,180,,9,0,Field/Dion/PeaksOfStruggle/Dion_PeaksOfStruggle,4,4,0.56,100000,100000,4640,14630,,,,,,,,872,240,10,52,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
10,0,161000000010,2,27920,-9109,Field/Dion/Scream/Scream_01_G04,10_Scream,World,Area,104,120,10,200,,Normal,,200,,10,0,Field/Dion/Scream/Dion_Scream,4,4,0.56,120000,120000,36750,22490,,,,,,,,996,352,10,55,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
11,0,161000000011,3,-36882,-1691,Field/Giran/GiranDominion/GiranDominion,11_GiranDominion,World,Area,120,136,10,200,,Normal,,250,,11,0,Field/Giran/GiranDominion/Giran_GiranDominion,4,4,0.56,100000,100000,-1220,1320,,,,,,,,836,236,10,57,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
12,0,161000000012,3,34483,27395,Field/Giran/DeathCoastalFog/Giran_DeathCoastalFog_G05,12_Giran_DeathCoastalFog,World,Area,136,146,10,200,,Normal,,300,,12,0,Field/Giran/DeathCoastalFog/Giran_DeathCoastalFog,4,4,0.56,80000,80000,7950,8450,,,,,,,,816,376,10,61,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
13,0,161000000013,3,-21102,18128,Field/Giran/DevilIsle/DevilIsle,13_DevilIsle,World,Area,146,165,10,200,,Normal,,350,,13,0,Field/Giran/DevilIsle/Giran_DevilIsle,4,4,0.56,70000,70000,470,3610,,,,,,,,840,572,10,65,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
14,0,161000000014,3,-25260,23494,Field/Giran/RoadsideofDeath/RoadsideofDeath,14_RoadsideofDeath,World,Area,165,180,10,200,,Normal,,400,,14,0,Field/Giran/RoadsideofDeath/Giran_RoadsideofDeath,4,4,0.56,90000,90000,-4900,3850,,,,,,,,908,48,10,68,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
15,0,161000000015,4,-22802,36187,Field/Oren/NorthWind/NorthWind_G05,15_NorthWind,World,Area,180,200,10,200,,Normal,,450,,15,0,Field/Oren/NorthWind/Oren_NorthWind,4,4,0.56,78000,78000,-10499,18443,,,,,,,,692,364,10,72,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
16,0,161000000016,4,6761,31693,Field/Oren/LandofStoppedTime/LandofStoppedTime,16_LandofStoppedTime,World,Area,200,230,10,200,,Normal,,500,,16,0,Field/Oren/LandofStoppedTime/Oren_LandofStoppedTime,4,4,0.56,64000,64000,5500,15689,,,,,,,,420,248,10,75,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
17,0,161000000017,4,-21390,20772,Field/Oren/IvoryTower/IvoryTower,17_IvoryTower,World,Area,230,242,10,200,,Normal,,600,,17,0,Field/Oren/IvoryTower/Oren_IvoryTower,4,4,0.56,76000,76000,4268,23780,,,,,,,,1012,256,10,78,,1000,0,0,0,0,0,1,0,1,PublicField,0,0
18,1,161000000018,,-12919,2270,Dungeon/DragonValley/DragonValley_G03,18_DragonValley,World,Area,242,240,10,200,,Normal,,700,,18,0,Dungeon/DragonValley/DragonValley,4,4,0.56,50000,50000,1540,-4290,,,,,,,,1052,140,10,80,,1000,1,0,0,0,0,1,0,1,PublicField,0,0
