Id,ActorWorldId,WorldInfoId,Type,PrevWorldSpotInfoId,NextWorldSpotInfoId,ActorPosX,ActorPosY,PosX,PosY,SpotNameKey,SpotTexture,SpotTitleKey,NameDirection,DescKey,UseTeleportScroll,ClearRewardType,ClearRewardCount,ClearRewardTargetInfoId,IconTexture
1,,4,Fortress,,,,,10190,9100,151000000001,,0,,0,0,,,,
2,,4,Fortress,,,,,13960,13400,151000000002,,0,,0,0,,,,
3,,4,Fortress,,,,,10430,17800,151000000003,,0,,0,0,,,,
4,,4,Fortress,,,,,7200,13620,151000000004,,0,,0,0,,,,
5,,7,Fortress,,,,,-6720,-2020,151000000005,,0,,0,0,,,,
6,,7,Fortress,,,,,-4340,860,151000000006,,0,,0,0,,,,
7,,7,Fortress,,,,,-8200,3120,151000000007,,0,,0,0,,,,
8,,7,Fortress,,,,,-10540,1020,151000000008,,0,,0,0,,,,
9,,11,Fortress,,,,,-10190,-19780,151000000009,,0,,0,0,,,,
10,,11,Fortress,,,,,-4850,-15060,151000000010,,0,,0,0,,,,
11,,11,Fortress,,,,,-320,-19770,151000000011,,0,,0,0,,,,
12,,11,Fortress,,,,,-2730,-22940,151000000012,,0,,0,0,,,,
13,,11,Fortress,,,,,-6950,-22940,151000000013,,0,,0,0,,,,
101,,1,Quest,,,13988,42854,13988,42854,151000000101,TalkingIsland,152000000101,Left,0,1,,,,UI_Icon_MinimapSpottClear
102,,1,Quest,,,-6062,16862,-6062,16862,151000000102,TalkingIsland,152000000102,Right,0,1,,,,UI_Icon_MinimapSpottClear
197,,1,Quest,,,6635,22424,6635,22424,151000000197,TalkingIsland,152000000197,Right,0,1,,,,UI_Icon_MinimapSpottClear
201,,2,Quest,,,5640,41376,5640,41376,151000000201,TalkingIsland,152000000201,Left,0,1,,,,UI_Icon_MinimapSpottClear
202,,2,Quest,,,13559,19993,13559,19993,151000000202,TalkingIsland,152000000202,Right,0,1,,,,UI_Icon_MinimapSpottClear
301,,3,Quest,,,-24617,9449,-24617,9449,151000000301,Gludio,152000000301,Right,0,1,,,,UI_Icon_MinimapSpottClear
302,,3,Quest,,,-7280,3437,-7280,3437,151000000302,Gludio,152000000302,Right,0,1,,,,UI_Icon_MinimapSpottClear
303,,3,Quest,,,22934,2327,22934,2327,151000000303,Gludio,152000000303,Right,0,1,,,,UI_Icon_MinimapSpottClear
397,,3,Quest,,,-37887,16917,-37887,16917,151000000397,Gludio,152000000397,Right,0,1,,,,UI_Icon_MinimapSpottClear
398,,3,Fortress,,,,,,,151000000001,Gludio,152000000398,Right,0,1,,,,
401,,4,Quest,,,-3644,23042,-3644,23042,151000000401,Gludio,152000000401,Right,0,1,,,,UI_Icon_MinimapSpottClear
402,,4,Quest,,,27284,14041,27284,14041,151000000402,Gludio,152000000402,Left,0,1,,,,UI_Icon_MinimapSpottClear
403,,4,Quest,,,-13867,-1051,-13867,-1051,151000000403,Gludio,152000000403,Left,0,1,,,,UI_Icon_MinimapSpottClear
