ColorType,MatchColor,Color
0,162,0xFFFFFFFF
1,162,0x000000FF
2,162,0x303943FF
3,162,0x1BBB62FF
4,162,0xC20501FF
5,162,0xFFC800FF
6,162,0x1252FFFF
7,162,0xEFEFEFFF
8,162,0xFF8000FF
9,162,0x1080E4FF
10,162,0xE5A932FF
11,162,0x699BD7FF
12,162,0xA9CC00FF
13,162,0xCC0000FF
14,162,0xFFFFFFFF
15,162,0xFFFFFFFF
16,162,0xFFFFFFFF
17,162,0xFF0000FF
18,162,0xFFFFFFFF
19,162,0x00A388FF
20,162,0xFF0A0AFF
21,162,0xFFFFFFFF
22,162,0x660066FF
23,162,0xFF0000FF
112,162,0x3F0600FF
24,162,0xE4EAD9FF
25,162,0xF52608FF
26,162,0x1AADF1FF
27,162,0x6DD223FF
28,162,0xFFB400FF
29,162,0xFF506EFF
30,162,0x00000099
108,162,0xFFC600FF
31,162,0x1252FFFF
32,162,0x96C8FAFF
33,162,0xffc600FF
34,162,0xFFFFFFFF
35,162,0xfc2f8aFF
36,162,0x4f9bfbFF
37,162,0x00A0FFFF
38,162,0x17a388FF
39,162,0x00A388FF
40,162,0xFFFF9DFF
41,162,0xFFFFFFFF
42,162,0xFFB400FF
43,162,0x00A388FF
44,162,0x399332FF
45,162,0xFFFFFFFF
46,162,0xFF358BFF
47,162,0x00A388FF
48,162,0x1252FFFF
49,162,0xFFB03BFF
50,162,0xa09c9cff
51,162,0x6ba6b7ff
52,162,0x53A629ff
53,162,0x2b9172ff
54,162,0xa955baff
55,162,0x4687A4FF
56,162,0x248AB76F
57,162,0x007EC6FF
58,162,0x68964FFF
59,162,0x99901E6F
60,162,0x00E40DFF
61,162,0x9A69ABFF
62,162,0xC561E26F
63,162,0xCE28D4FF
64,162,0xB48359FF
65,162,0xD0941B6F
66,162,0xFF8400FF
67,162,0x1B1B1BFF
68,162,0x0A1400FF
69,162,0x000A1EFF
70,162,0x000A1EFF
71,162,0x000A1EFF
72,162,0x6A6A6AFF
73,162,0x6F92B7FF
74,162,0x71A00EFF
75,162,0x00D0CEFF
76,162,0xB453FFFF
77,162,0x303943FF
78,162,0x4B9AFFFF
79,162,0xAF53CDFF
80,162,0x0E9418FF
81,162,0xD90E00FF
82,162,0x1F63EEFF
83,162,0x6A6A6AFF
84,162,0x6F92B7FF
85,162,0x71A00EFF
86,162,0x00D0CEFF
87,162,0xB453FFFF
88,162,0xF3902AFF
89,162,0xF3912AFF
90,162,0x41464CFF
162,162,0xEBFFE6FF
92,162,0x3B3D3FFF
93,162,0x4791F0FF
94,162,0xFFFFFF33
95,162,0x303943FF
96,162,0xFFFFFFFF
97,162,0xFFFFFFFF
98,162,0xFFFFFF7F
99,162,0x000000CC
100,162,0x00000066
101,162,0x50AA1EFF
102,162,0xFFD74BFF
103,162,0xFF506EFF
104,162,0x59D1CDFF
105,162,0xFF150FFF
106,162,0x078CD1FF
107,162,0xF52608FF
109,162,0x676A72FF
110,162,0x89C2FCFF
111,162,0xFFFFFFB3
113,162,0x78828CFF
114,162,0x0105C2FF
119,162,0xFF4E3CFF
120,162,0x6D0A0ADC
121,162,0xC41503D9
122,162,0x004191D9
123,162,0x0064EDD9
124,162,0x53800BD9
125,162,0x6F9E24D9
126,162,0xC33700D9
127,162,0xF56800D9
162,162,0xFF6767FF
