Key,ValueType,Value
Default.AccountLinkRewardCount,UxUInt32,300
Character.MinimumNameLength,UxUInt32,2
Character.MaximumNameLength,UxUInt32,16
MinimumNameLength,UxUInt32,2
MaximumNameLength,UxUInt32,16
HpUpdateDuration,UxUInt32,10
MpUpdateDuration,UxUInt32,10
Auto.HpPotionUseCondition,UxUInt32,4000
Auto.MpPotionUseCondition,UxUInt32,4000
Auto.SoulshotUseCondition,UxUInt32,3000
Auto.MaxWeightedDistance,UxSingle,1500
Auto.WeightForAngle,UxSingle,1
Auto.WeightForDistance,UxSingle,6
Auto.WeightForLastDamageCauser,UxSingle,0.5
Buff.ReductionRemainedTime,UxUInt32,10000
CharMaxLevel,UxUInt32,180
NpcMaxLevel,UxUInt32,400
MaxSkillSlotCount,UxUInt8,5
UniqSkillSlotStartIndex,UxUInt8,4
MaxEquipmentDeckCount,UxUInt8,3
SubCharStatRate,UxInt32,1
SubCharStatRateMax,UxInt32,500
RevivalHpMpRecoveryRate,UxUInt32,4000
StatusRiseTime,UxSingle,0.5
LevelUpVisualEffectInfoID,UxUInt32,100
HotTimeBuffVisualEffectInfoID,UxUInt32,302004
ClassUISkillUseTerm,UxSingle,1
ClassTransferLevel,UxUInt32,31
ClassTransferEffectInfoID,UxUInt32,101
ClassTransferCameraEffectInfoID,UxUInt32,102
SoulShotCoolTime,UxSingle,0.5
Save.LimitExcessAdena,UxUInt32,10000
Save.LimitExcessExp,UxUInt32,5000
Save.LimitTimeSave,UxInt32,100
Chat.MaxChannelCount,UxInt32,10
Chat.MaxLength,UxInt32,63
Chat.NormalCoolTime,UxInt32,3
Chat.PromoteCoolTime,UxInt32,20
Chat.WorldCoolTime,UxInt32,10
Chat.SummonGemCoolTime,UxInt32,20
Chat.ChatDefault,EColorType,ChatDefault
Chat.LocalColor,EColorType,ChatLocal
Chat.FriendColor,EColorType,ChatFriend
Chat.PartyColor,EColorType,ChatParty
Chat.GuildColor,EColorType,ChatGuild
Chat.WorldColor,EColorType,ChatWorld
Chat.SystemColor,EColorType,ChatSystem
Chat.PromotePartyColor,EColorType,ChatPartyPromote
Chat.PromoteGuildColor,EColorType,ChatGuildPromote
Chat.DiceRollingTime,UxInt32,2
Chat.DiceFreezeTime,UxInt32,1
Chat.NewMessageStackCount,UxInt32,20
Chat.QuickTalkCellCount,UxInt32,4
Chat.VoiceGuideTime,UxInt32,10
Chat.EmoticonStandardTime,UxInt64,1496602800
Combat.ComboExpirationTime,UxUInt32,3000
Combat.ComboMinCount,UxUInt32,3
Combat.EvadeCanstant,UxSingle,0.8
Combat.AttackConstant,UxSingle,1
Combat.DefenseConstant,UxSingle,1
Combat.CompressExponent,UxSingle,1
Combat.PvpAttackConstant,UxSingle,1
Combat.PvpDefenseConstant,UxSingle,1
Combat.PvpCompressExponent,UxSingle,0.45
Combat.PvPExponent,UxSingle,0.9
Combat.KeepCombatTime,UxUInt32,5000
Combat.CriticalValueConstant,UxSingle,1.5
Combat.MinimumCriticalRate,UxInt32,100
Combat.MaximumCriticalRate,UxInt32,3500
Combat.CriticalMinValueConstant,UxSingle,90
Combat.PenetrationConst,UxSingle,1
Combat.ResilienceConst,UxSingle,1
Combat.SkillMissAdjustValue,UxSingle,1
Combat.CharacterCombatPowerMax,UxUInt32,9999999
Combat.ReviveBuffInfoId,UxUInt32,1005
HPWarning.On1Step,UxSingle,35
HPWarning.On2Step,UxSingle,15
HPWarning.On3Step,UxSingle,5
HPWarning.Off,UxSingle,36
Dialog.TypeDurationTime,UxSingle,0.02
Aggro.MaxSight,UxSingle,2
Aggro.MinSight,UxSingle,0.1
Friend.MaxFriendCount,UxUInt32,30
Friend.MaxFriendInviteCount,UxUInt32,30
Friend.MaxFriendGreetingCount,UxUInt32,50
Friend.MaxRecommendationCount,UxUInt32,30
Friend.MinMaxRecommendationLevel,UxUInt32,5
Friend.MinRecommendationLastConnectedDay,UxUInt32,2
Friend.AutoManagerLastConnectedTime,UxUInt32,604800
Friend.MaxSendableRequestCount,UxUInt32,50
Guild.MinimumNameLength,UxUInt32,2
Guild.MaximumNameLength,UxUInt32,16
