Id,GroupId,StepId,TaskCondition,RepeatContition,RewardItemInfoId1,RewardItemValue1,RewardItemInfoId2,RewardItemValue2,RewardItemInfoId3,RewardItemValue3,RewardItemInfoId4,RewardItemValue4
1000,1000,1,2,0,480013,1,,,,,,
1001,1000,2,3,0,410001,10,,,,,,
1002,1000,3,2,0,33003002,1,,,,,,
1100,1100,1,2,0,910221,3,,,,,,
1101,1100,2,3,0,910237,1,,,,,,
1102,1100,3,2,0,400000,1,,,,,,
1200,1200,1,2,0,470001,5,,,,,,
1201,1200,2,3,0,410004,5,,,,,,
1202,1200,3,2,0,480106,10,,,,,,
2000,2000,1,50,0,35000020,1,,,,,,
