GroupID,RewardType,RewardItemInfoId,RewardCount,RewardIcon
1,6,490033,10,Icon_Asset_SkillPoint_01
2,6,400001,100,Icon_SoulShot_01
3,6,490000,2,UI_Icon_LoudSpeaker
4,6,490000,2,UI_Icon_LoudSpeaker
5,6,910307,1,Icon_GachaItem_Herb
6,6,900012,1,Icon_GachaItem_Soulcrystal
7,6,910011,1,Icon_Box_Rune_03
8,6,910308,2,Icon_Gacha_HerbPotion
9,6,490049,5,Item_GemStoneRed_01
10,6,449999,2,UI_Icon_TeleportScroll
11,6,500126,3,Icon_Relic_Field_1_0
12,6,490013,1,Icon_Box_Dia_04
13,6,500126,1,Icon_Relic_Field_1_0
14,6,34000000,1,Icon_Box_SweepTicket
30000000,6,490010,3,Icon_Box_Adena_01
