Id,RaceType,SkillId
1,0,1101
1,0,1102
1,0,1103
1,0,1104
1,0,1105
1,0,1106
2,0,2101
2,0,2102
2,0,2103
2,0,2104
2,0,2105
2,0,2106
3,0,3101
3,0,3102
3,0,3103
3,0,3104
3,0,3105
3,0,3106
3,0,3107
3,0,3108
4,0,4101
4,0,4102
4,0,4103
4,0,4104
4,0,4105
4,0,4106
5,0,5101
5,0,5102
5,0,5103
5,0,5104
6,0,6101
6,0,6102
6,0,6103
6,0,6104
1,1,1201
1,1,1202
1,1,1203
1,1,1204
1,1,1205
1,1,1206
2,1,2201
2,1,2202
2,1,2203
2,1,2204
2,1,2205
2,1,2206
3,1,3201
3,1,3202
3,1,3203
3,1,3204
3,1,3205
3,1,3206
3,1,3207
3,1,3208
4,1,4201
4,1,4202
4,1,4203
4,1,4204
4,1,4205
4,1,4206
5,1,5201
5,1,5202
5,1,5203
5,1,5204
6,1,6201
6,1,6202
6,1,6203
6,1,6204
1,2,1301
1,2,1302
1,2,1303
1,2,1304
1,2,1305
1,2,1306
2,2,2301
2,2,2302
2,2,2303
2,2,2304
2,2,2305
2,2,2306
3,2,3301
3,2,3302
3,2,3303
3,2,3304
3,2,3305
3,2,3306
3,2,3307
3,2,3308
4,2,4301
4,2,4302
4,2,4303
4,2,4304
4,2,4305
4,2,4306
5,2,5301
5,2,5302
5,2,5303
5,2,5304
6,2,6301
6,2,6302
6,2,6303
6,2,6304
1,3,1401
1,3,1402
1,3,1403
1,3,1404
1,3,1405
1,3,1406
2,3,2401
2,3,2402
2,3,2403
2,3,2404
2,3,2405
2,3,2406
3,3,3401
3,3,3402
3,3,3403
3,3,3404
3,3,3405
3,3,3406
3,3,3407
3,3,3408
4,3,4401
4,3,4402
4,3,4403
4,3,4404
4,3,4405
4,3,4406
5,3,5401
5,3,5402
5,3,5403
5,3,5404
6,3,6401
6,3,6402
6,3,6403
6,3,6404
