Id,GroupId,PortraitTexture,Duration,Delay,Sound,GuideOnly
1,1,DarkElf_Male_01,3,,,0
2,2,Human_Male_01,3,,,0
3,2,Elf_Female_01,3,,,0
4,2,Human_Male_01,3,6,,0
5,2,Elf_Female_01,3,6,,0
6,3,,1.5,,,0
7,3,,1.5,1,,0
8,3,,2,1,,0
9,4,Human_Male_01,3,,,0
10,5,Human_Male_01,3,,,0
11,6,,0.961,0.712,,0
12,6,,2.075,5.606,,0
13,6,,2.881,3.284,,0
14,7,,1.177,0,,0
15,7,,3.934,0.572,,0
16,7,,0.639,7.869,,0
17,7,,2.657,0,,0
18,8,,1.97,0,,0
19,9,,1.677,0,,0
20,9,,1.94,0.455,,0
21,9,,0.982,0,,0
22,9,,2.406,0.203,,0
23,10,,2.369,1.472,,0
24,10,,2.8,2.297,,0
25,10,,1.292,0,,0
26,10,,2.154,1.831,,0
27,10,,2.872,0.897,,0
28,11,,3.338,0,,0
29,11,,2.28,0,,0
30,11,,1.344,0.122,,0
31,11,,1.221,0,,0
32,11,,1.384,4.519,,0
33,12,,1.598,0,,0
34,12,,1.096,0.299,,0
35,12,,1.004,17.399,,0
36,13,,1.581,3.076,,0
37,13,,2.905,0.641,,0
38,13,,0.555,1.367,,0
39,13,,0.812,6.323,,0
40,13,,1.495,0,,0
41,13,,2.649,0,,0
42,14,,2.371,0,,0
43,14,,1.869,0,,0
44,14,,2.946,2.658,,0
45,14,,2.803,0,,0
46,14,,2.156,0.359,,0
47,14,,2.299,0,,0
48,15,,1.404,0,,0
49,15,,1.116,0.36,,0
50,15,,1.944,0.756,,0
51,15,,0.4,0.32,,0
52,15,,3.096,1.152,,0
53,15,,3.204,1.188,,0
54,15,,3.095,0,,0
55,16,,2.994,0,,0
56,16,,0.918,6.667,,0
57,17,,1.7,7.5,,0
58,17,,1.4,0,,0
59,17,,1.9,0.4,,0
60,18,,1.734,9.149,,0
61,18,,3.11,0.717,,0
62,18,,2.153,0.06,,0
63,18,,2.033,4.126,,0
64,20,,3.996,0,,0
65,21,,1.389,0.91,,0
66,22,,3.356,0.427,,0
67,22,,1.892,0.915,,0
68,22,,1.038,2.013,,0
70,22,,6.163,0.976,,0
71,22,,3.356,0.305,,0
72,22,,2.319,0.488,,0
73,22,,2.685,0.854,,0
74,22,,0.671,1.037,,0
75,22,,1.404,0.244,,0
76,24,,5.218,0.2,,0
77,24,,3.43,3.652,,0
78,24,,5.68,1.62,,0
79,24,,6.3,1.4,,0
84,51,Elf_Female_01,3,,Tutorial_Dialogue_01_2_1,0
87,54,Elf_Female_01,3,,Tutorial_Dialogue_01_6_1,0
85,52,Human_Male_01,3,,Tutorial_Dialogue_01_7_1,0
88,57,Officer,6,,Tutorial_Dialogue_01_7_2,0
83,50,Elf_Female_01,5.5,,,0
86,99999,Human_Male_01,3,,,0
89,99999,Elf_Female_01,4.5,,,0
90,99999,Human_Male_01,5,,,0
91,99999,Dwarf_Female_01,3.5,,,0
92,99999,Dwarf_Female_01,5,,,0
93,99999,Dwarf_Female_01,2,,,0
94,99999,Dwarf_Female_01,3,,,0
95,99999,CityGuard_01,6.5,,,0
96,99999,DarkElf_Male_02,7,,,0
97,99999,DarkElf_Male_02,6.5,,,0
98,99999,Dwarf_Female_01,8,1.5,Mini_Tutorial_01_9,0
99,101,Icon_MonsterCore_DarkLord,3,1.5,,0
100,102,Icon_MonsterCore_Boreas,3,,,0
102,104,Student_01_02,3,,,0
103,105,Student_01_02,3,,,0
104,106,Fernel,3,,,0
105,106,Fernel,3,,,0
106,106,Fernel,3,,,0
107,106,Fernel,3,,,0
108,107,Noble_02,3,,,0
109,108,Noble_02,3,,,0
110,109,Icon_MonsterCore_SerpentSlave,2,,,0
112,111,ArmorMerchant_01,2,,,0
113,111,DarkAssociation,2,,,0
114,111,DarkAssociation,2,,,0
115,111,Icon_MonsterCore_TurekOrcSkirmisher,2,,,0
118,113,Resident_03,3,,,0
119,113,Resident_03,3,,,0
120,113,Resident_03,3,,,0
121,114,ArmorMerchant_01,3,,,0
122,115,ArmorMerchant_01,3,,,0
123,116,ArmorMerchant_01,3,,,0
124,116,ArmorMerchant_01,3,,,0
125,117,Icon_MonsterCore_TurekOrcSkirmisher,2,8,,0
127,119,WarehouseKeeper_01_02,3,1,,0
128,119,WarehouseKeeper_01_02,3,,,0
129,119,WarehouseKeeper_01_02,3,,,0
130,119,WarehouseKeeper_01_02,3,,,0
131,120,Icon_MonsterCore_WereWolf,3,1,,0
132,121,Icon_MonsterCore_TurekOrcGeneral,2,,,0
133,121,Icon_MonsterCore_TurekOrcGeneral,2,,,0
134,122,Icon_MonsterCore_TurekOrcSkirmisher,2,,,0
135,122,CityGuard_01,2,,,0
136,122,Icon_MonsterCore_TurekOrcSkirmisher,2,,,0
137,122,CityGuard_01,2,,,0
138,123,CityGuard_01,3,,,0
140,125,Noble_02,1.5,,,0
141,126,Icon_MonsterCore_TurekOrcSkirmisher,3,,,0
143,127,Officer,4,,,0
144,128,Officer,3,,,0
145,129,Officer,3,4,,0
146,130,Officer,2,,,0
147,131,Officer,2,2,,0
148,132,Officer,3,,,0
149,133,Officer_02,3,,,0
150,133,Officer_02,3,,,0
151,134,Officer_02,3,,,0
152,201,Officer,3,,,0
153,202,Icon_MonsterCore_TurekOrcGeneral,2,,,0
154,202,Icon_MonsterCore_TurekOrcGeneral,3,,,0
160,208,HardinsFollower,3,,,0
161,209,Icon_MonsterCore_TurekOrcArcher,2,,,0
162,209,Icon_MonsterCore_KingBugbear,3,,,0
164,211,Fernel,3,,,0
165,211,Fernel,3,,,0
169,214,Resident_03,3,,,0
170,214,Resident_03,3,,,0
171,214,Resident_03,3,,,0
172,215,DarkAssociation_01_02,3,,,0
