GroupId,SubId,RewardExp,RewardAdena,RewardItemGroup,StartPointX,StartPointY,SectionInfoParam,SectionPositionParam,AddintionalInfoParam
200,,,,,704,-3,"[{""npcSpawnGroupId"":200}]",,
201,,,,,32305,13557,"[{""npcSpawnGroupId"":201}]",,
202,,,,,-13717,-2062,"[{""npcSpawnGroupId"":202}]",,
203,,,,,-1574,5651,"[{""npcSpawnGroupId"":203}]",,
204,,,,,-5,743,"[{""npcSpawnGroupId"":204}]",,
205,,,,,13731,18537,"[{""npcSpawnGroupId"":205}]",,
206,,,,,-16842,33184,"[{""npcSpawnGroupId"":206}]",,
207,,,,,9989,46386,"[{""npcSpawnGroupId"":207}]",,
208,,,,,-10246,17028,"[{""npcSpawnGroupId"":208}]",,
209,,,,,9983,46386,"[{""npcSpawnGroupId"":209}]",,
210,,,,,-3866,-155,"[{""npcSpawnGroupId"":210}]",,
211,,,,,40288,1049,"[{""npcSpawnGroupId"":211}]",,
212,,,,,53065,943,"[{""npcSpawnGroupId"":212}]",,
4000,,,,,13207,41978,,,
9000,1,,,,2,361,"[{""npcSpawnGroupId"":18211},
{""npcSpawnGroupId"":18212},
{""npcSpawnGroupId"":18213},
{""npcSpawnGroupId"":18215}]",,"[{""gadgetSpawnGroupId"":14000, ""spawnRepeatTime"":30, ""spawnStartTime"":10,""positionShuffle"":""true""},
{""dungeonLimitTime"":180}, {""sectionLoop"":100}]"
9001,2,,,,2,361,"[{""npcSpawnGroupId"":18221},
{""npcSpawnGroupId"":18222},
{""npcSpawnGroupId"":18223},
{""npcSpawnGroupId"":18225}]",,"[{""gadgetSpawnGroupId"":14000, ""spawnRepeatTime"":30, ""spawnStartTime"":10,""positionShuffle"":""true""},
{""dungeonLimitTime"":180}, {""sectionLoop"":100}]"
9002,3,,,,2,361,"[{""npcSpawnGroupId"":18231},
{""npcSpawnGroupId"":18232},
{""npcSpawnGroupId"":18233},
{""npcSpawnGroupId"":18236}]",,"[{""gadgetSpawnGroupId"":14000, ""spawnRepeatTime"":30, ""spawnStartTime"":10,""positionShuffle"":""true""},
{""dungeonLimitTime"":180}, {""sectionLoop"":100}]"
9003,4,,,,2,361,"[{""npcSpawnGroupId"":18241},
{""npcSpawnGroupId"":18242},
{""npcSpawnGroupId"":18243},
{""npcSpawnGroupId"":18246}]",,"[{""gadgetSpawnGroupId"":14000, ""spawnRepeatTime"":30, ""spawnStartTime"":10,""positionShuffle"":""true""},
{""dungeonLimitTime"":180}, {""sectionLoop"":100}]"
9004,1,,,,-3299,0,"[{""npcSpawnGroupId"":18101,""bossNpcId"":91101,""gadgetSpawnGroupId"":18100}]","[{""x"":-502,""y"":-22}]","[{""dungeonLimitTime"":180,""bonusNpcInfoId"":91103}]"
9005,2,,,,-3299,0,"[{""npcSpawnGroupId"":18102,""bossNpcId"":91201,""gadgetSpawnGroupId"":18100}]","[{""x"":-502,""y"":-22}]","[{""dungeonLimitTime"":180,""bonusNpcInfoId"":91203}]"
9006,3,,,,-3299,0,"[{""npcSpawnGroupId"":18103,""bossNpcId"":91301,""gadgetSpawnGroupId"":18100}]","[{""x"":-502,""y"":-22}]","[{""dungeonLimitTime"":180,""bonusNpcInfoId"":91303}]"
9009,1,,,,0,531,"[{""npcSpawnGroupId"":19199},
{""npcSpawnGroupId"":19101,""limitTime"":50},{""npcSpawnGroupId"":19102,""limitTime"":60},{""npcSpawnGroupId"":19103,""limitTime"":60},{""npcSpawnGroupId"":19104,""limitTime"":60},{""npcSpawnGroupId"":19105,""limitTime"":60},
{""npcSpawnGroupId"":19107,""limitTime"":60},{""npcSpawnGroupId"":19108,""limitTime"":60},{""npcSpawnGroupId"":19109,""limitTime"":60},{""npcSpawnGroupId"":19110,""limitTime"":60},
{""npcSpawnGroupId"":19112,""limitTime"":60},{""npcSpawnGroupId"":19113,""limitTime"":60},{""npcSpawnGroupId"":19114,""limitTime"":60},{""npcSpawnGroupId"":19115,""limitTime"":60}]",,"[{""gadgetSpawnGroupId"":15000,""positionShuffle"":""true"",""spawnRepeatTime"":30, ""spawnStartTime"":10, ""limitCount"":4},{""dungeonLimitTime"":300}, {""sectionLoop"":100}]"
9010.3,2,,,,0,531,"[{""npcSpawnGroupId"":19299},
{""npcSpawnGroupId"":19201,""limitTime"":50},{""npcSpawnGroupId"":19202,""limitTime"":60},{""npcSpawnGroupId"":19203,""limitTime"":60},{""npcSpawnGroupId"":19204,""limitTime"":60},{""npcSpawnGroupId"":19205,""limitTime"":60},
{""npcSpawnGroupId"":19207,""limitTime"":60},{""npcSpawnGroupId"":19208,""limitTime"":60},{""npcSpawnGroupId"":19209,""limitTime"":60},{""npcSpawnGroupId"":19210,""limitTime"":60},
{""npcSpawnGroupId"":19212,""limitTime"":60},{""npcSpawnGroupId"":19213,""limitTime"":60},{""npcSpawnGroupId"":19214,""limitTime"":60},{""npcSpawnGroupId"":19215,""limitTime"":60}]",,"[{""gadgetSpawnGroupId"":15000,""positionShuffle"":""true"",""spawnRepeatTime"":30, ""spawnStartTime"":10, ""limitCount"":4},{""dungeonLimitTime"":300}, {""sectionLoop"":100}]"
9011,3,,,,0,531,"[{""npcSpawnGroupId"":19399},
{""npcSpawnGroupId"":19301,""limitTime"":50},{""npcSpawnGroupId"":19302,""limitTime"":60},{""npcSpawnGroupId"":19303,""limitTime"":60},{""npcSpawnGroupId"":19304,""limitTime"":60},{""npcSpawnGroupId"":19305,""limitTime"":60},
{""npcSpawnGroupId"":19307,""limitTime"":60},{""npcSpawnGroupId"":19308,""limitTime"":60},{""npcSpawnGroupId"":19309,""limitTime"":60},{""npcSpawnGroupId"":19310,""limitTime"":60},
{""npcSpawnGroupId"":19312,""limitTime"":60},{""npcSpawnGroupId"":19313,""limitTime"":60},{""npcSpawnGroupId"":19314,""limitTime"":60},{""npcSpawnGroupId"":19315,""limitTime"":60}]",,"[{""gadgetSpawnGroupId"":15000,""positionShuffle"":""true"",""spawnRepeatTime"":30, ""spawnStartTime"":10, ""limitCount"":4},{""dungeonLimitTime"":300}, {""sectionLoop"":100}]"
9012,4,,,,0,531,"[{""npcSpawnGroupId"":19499},
{""npcSpawnGroupId"":19401,""limitTime"":50},{""npcSpawnGroupId"":19402,""limitTime"":60},{""npcSpawnGroupId"":19403,""limitTime"":60},{""npcSpawnGroupId"":19404,""limitTime"":60},{""npcSpawnGroupId"":19405,""limitTime"":60},
{""npcSpawnGroupId"":19407,""limitTime"":60},{""npcSpawnGroupId"":19408,""limitTime"":60},{""npcSpawnGroupId"":19409,""limitTime"":60},{""npcSpawnGroupId"":19410,""limitTime"":60},
{""npcSpawnGroupId"":19412,""limitTime"":60},{""npcSpawnGroupId"":19413,""limitTime"":60},{""npcSpawnGroupId"":19414,""limitTime"":60},{""npcSpawnGroupId"":19415,""limitTime"":60}]",,"[{""gadgetSpawnGroupId"":15000,""positionShuffle"":""true"",""spawnRepeatTime"":30, ""spawnStartTime"":10, ""limitCount"":4},{""dungeonLimitTime"":300}, {""sectionLoop"":100}]"
