Id,GroupId,Type,DisplayLevel,Grade,EquipmentType1,EquipmentType2,WeaponType,ArmorType,Material,GachaInfoId,SoulCrystalType,PetEquipmentType,SummonGemGroupId,AcquirePerformanceType,AuctionSubGroupId,IconTexture,MaxStackableCount,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,BasicOptionGroupId,AbilityInfoId,SellingPrice,ProvidingExp,RequiredAdena,CoolTime,Resource,AcquireContents1,AcquireContents2,AcquireContents3,AcquireContents4,AcquireContents5,ClassType,UseType,UseLevel,MaxUseLevel,Rarity,VisualEffectId,BagType,LootEffect,UseClassTransfer,Usable,UseQuickSlot,Loadable,ItemInfoId
1021,1011,11,,8,11,11,6,3,3,,9,4,,0,0,Icon_WorldBoss_Soulstone_Zaken,9999,179,,179,,179,,,,10,,,,,19,,,,,,,,,0,,6,0,0,0,0,0,
1022,1011,51,230,8,11,11,6,3,3,,9,4,,0,0,Icon_WorldBoss_Scroll_Zaken,9999,179,,179,,179,,,,10,,,,,40,,,,,,,230,,0,,5,0,0,1,0,0,
1023,1011,11,,8,11,11,6,3,3,,9,4,,0,0,Icon_WorldBoss_Mark_Zaken,9999,179,,179,,179,,,,10,,,,,,,,,,,,,,0,,6,0,0,0,0,0,
10001,10000,80,,8,11,11,6,3,3,,9,4,,0,,Icon_Event_01,9999,8,910249,179,,179,,,,10,,,,,,,,,,0,,,,0,100006,5,0,0,1,1,0,
10002,10000,38,,8,11,11,6,3,3,,9,4,,0,9901,Icon_Event_Box_01,9999,179,,179,,179,,,,0,,,,,,,,,,,1,,,0,,5,0,0,1,0,0,
10003,10001,11,,8,11,11,6,3,3,,9,4,,0,,Icon_Asset_CompleteTicket,9999,179,,179,,179,,,,10,,,,,,,,,,0,,,,0,,5,0,0,0,0,0,
10004,10000,80,,8,11,11,6,3,3,,9,4,,0,,Icon_Event_02,9999,8,910250,179,,179,,,,10,,,,,,,,,,0,,,,0,100006,5,0,0,1,1,0,
10005,10000,38,,8,11,11,6,3,3,,9,4,,0,9901,Icon_Event_Box_02,9999,179,,179,,179,,,,0,,,,,,,,,,,1,,,0,,5,0,0,1,0,0,
10006,10000,80,,8,11,11,6,3,3,,9,4,,0,,Icon_Event_03,9999,8,910252,179,,179,,,,10,,,,,,,,,,0,,,,0,100006,5,0,0,1,1,0,
10007,10000,80,,8,11,11,6,3,3,,9,4,,0,,Icon_Event_04,9999,8,910251,179,,179,,,,10,,,,,,,,,,0,,,,0,100006,5,0,0,1,1,0,
10008,10000,80,,8,11,11,6,3,3,,9,4,,0,,Icon_Event_05,9999,8,910253,179,,179,,,,10,,,,,,,,,,0,,,,0,100006,5,0,0,1,1,0,
