Id,Type,GroupId,SwapPrint,SideType,ItemInfoId,LimitPeriod,LimitCount,ItemCount,CostType,CostValue,EventId,MainType
1,0,1,0,2,451001,0,,1,25,,,14
2,0,1,0,1,450001,0,,1,25,,,14
3,0,1,0,1,450002,0,,1,25,,,14
4,0,1,0,1,450003,0,,1,25,,,14
5,0,1,0,1,450004,0,,1,25,,,14
6,0,1,0,1,452001,0,,1,25,,,14
7,0,1,0,0,,0,,,0,1600,,14
8,0,2,0,2,451002,0,,1,25,,,14
9,0,2,0,1,450001,0,,1,25,,,14
10,0,2,0,1,450002,0,,1,25,,,14
11,0,2,0,1,450003,0,,1,25,,,14
12,0,2,0,1,450004,0,,1,25,,,14
13,0,2,0,1,452002,0,,1,25,,,14
14,0,2,0,0,,0,,,0,1600,,14
15,0,3,0,2,451003,0,,1,25,,,14
16,0,3,0,1,450001,0,,1,25,,,14
17,0,3,0,1,450002,0,,1,25,,,14
18,0,3,0,1,450003,0,,1,25,,,14
19,0,3,0,1,450004,0,,1,25,,,14
20,0,3,0,1,452003,0,,1,25,,,14
21,0,3,0,0,,0,,,0,1600,,14
22,0,4,0,2,451004,0,,1,25,,,14
23,0,4,0,1,450001,0,,1,25,,,14
24,0,4,0,1,450002,0,,1,25,,,14
25,0,4,0,1,450003,0,,1,25,,,14
26,0,4,0,1,450004,0,,1,25,,,14
27,0,4,0,1,452004,0,,1,25,,,14
28,0,4,0,0,,0,,,0,1600,,14
29,0,5,0,2,451005,0,,1,25,,,14
30,0,5,0,1,450001,0,,2,25,,,14
31,0,5,0,1,450002,0,,2,25,,,14
32,0,5,0,1,450003,0,,2,25,,,14
33,0,5,0,1,450004,0,,2,25,,,14
34,0,5,0,1,452001,0,,2,25,,,14
35,0,5,0,0,,0,,,0,4800,,14
36,0,6,0,2,451006,0,,1,25,,,14
37,0,6,0,1,450001,0,,2,25,,,14
38,0,6,0,1,450002,0,,2,25,,,14
39,0,6,0,1,450003,0,,2,25,,,14
40,0,6,0,1,450004,0,,2,25,,,14
41,0,6,0,1,452002,0,,2,25,,,14
42,0,6,0,0,,0,,,0,4800,,14
43,0,7,0,2,451007,0,,1,25,,,14
44,0,7,0,1,450001,0,,2,25,,,14
45,0,7,0,1,450002,0,,2,25,,,14
46,0,7,0,1,450003,0,,2,25,,,14
47,0,7,0,1,450004,0,,2,25,,,14
48,0,7,0,1,452003,0,,2,25,,,14
49,0,7,0,0,,0,,,0,4800,,14
