GroupId,ItemInfoId,MinItemCount,MaxItemCount
300,500301,1,1
300,500302,1,1
300,500303,1,1
300,500304,1,1
300,440001,5,5
300,440011,5,5
300,400001,50,50
300,449999,1,1
300,480001,1,1
300,480002,1,1
300,480003,1,1
300,480004,1,1
300,480005,1,1
300,480006,1,1
300,480007,1,1
300,480008,1,1
300,480009,1,1
300,1000101,1,1
300,1000201,1,1
300,1001101,1,2
300,1001201,1,2
400,500401,1,1
400,500402,1,1
400,500403,1,1
400,500404,1,1
400,440001,7,7
400,440011,7,7
400,400001,100,100
400,449999,1,1
400,480001,1,1
400,480002,1,1
400,480003,1,1
400,480004,1,1
400,480005,1,1
400,480006,1,1
400,480007,1,1
400,480008,1,1
400,480009,1,1
400,1000101,1,1
400,1000201,1,1
400,1001101,1,3
400,1001201,1,3
500,500501,1,1
500,500502,1,1
500,500503,1,1
500,500504,1,1
500,440001,10,10
500,440011,10,10
500,400001,120,120
500,449999,1,1
500,480001,1,1
500,480002,1,1
500,480003,1,1
500,480004,1,1
500,480005,1,1
500,480006,1,1
500,480007,1,1
500,480008,1,1
500,480009,1,1
500,480010,1,1
500,480011,1,1
500,480012,1,1
500,1000101,1,1
500,1000201,1,1
500,1001101,2,3
500,1001201,2,3
600,500601,1,1
600,500602,1,1
600,500603,1,1
600,500604,1,1
600,440001,12,12
600,440011,12,12
600,400001,150,150
600,449999,1,1
600,480004,1,1
600,480005,1,1
600,480006,1,1
600,480007,1,1
600,480008,1,1
600,480009,1,1
600,480010,1,1
600,480011,1,1
600,480012,1,1
600,1000101,1,1
600,1000201,1,1
600,1001101,3,3
600,1001201,3,3
700,500701,1,1
700,500702,1,1
700,500703,1,1
700,500704,1,1
700,440001,15,15
700,440011,15,15
700,400001,170,170
700,449999,1,1
700,480004,1,1
700,480005,1,1
700,480006,1,1
700,480007,1,1
700,480008,1,1
700,480009,1,1
700,480010,1,1
700,480011,1,1
700,480012,1,1
700,1000102,1,1
700,1000202,1,1
700,1001102,1,2
700,1001202,1,2
800,500801,1,1
800,500802,1,1
800,500803,1,1
800,500804,1,1
800,440001,15,15
800,440011,15,15
800,400001,200,200
800,449999,1,1
800,480004,1,1
800,480005,1,1
800,480006,1,1
800,480007,1,1
800,480008,1,1
800,480009,1,1
800,480010,1,1
800,480011,1,1
800,480012,1,1
800,1000102,1,1
800,1000202,1,1
800,1001102,1,3
800,1001202,1,3
900,500901,1,1
900,500902,1,1
900,500903,1,1
900,500904,1,1
900,440001,15,15
900,440011,15,15
900,400001,220,220
900,449999,1,1
900,480004,1,1
900,480005,1,1
900,480006,1,1
900,480007,1,1
900,480008,1,1
900,480009,1,1
900,480010,1,1
900,480011,1,1
900,480012,1,1
900,1000102,1,1
900,1000202,1,1
900,1001102,2,3
900,1001202,2,3
1000,501001,1,1
1000,501002,1,1
1000,501003,1,1
1000,501004,1,1
1000,440001,15,15
1000,440011,15,15
1000,400001,250,250
1000,449999,1,1
1000,480004,1,1
1000,480005,1,1
1000,480006,1,1
1000,480007,1,1
1000,480008,1,1
1000,480009,1,1
1000,480010,1,1
1000,480011,1,1
1000,480012,1,1
1000,1000102,1,1
1000,1000202,1,1
1000,1001102,3,3
1000,1001202,3,3
1100,501101,1,1
1100,501102,1,1
1100,501103,1,1
1100,501104,1,1
1100,440001,15,15
1100,440011,15,15
1100,400001,270,270
1100,449999,1,1
1100,480004,1,1
1100,480005,1,1
1100,480006,1,1
1100,480007,1,1
1100,480008,1,1
1100,480009,1,1
1100,480010,1,1
1100,480011,1,1
1100,480012,1,1
1100,1000103,1,1
1100,1000203,1,1
1100,1001103,1,2
1100,1001203,1,2
1200,501201,1,1
1200,501202,1,1
1200,501203,1,1
1200,501204,1,1
1200,440001,15,15
1200,440011,15,15
1200,400001,300,300
1200,449999,1,1
1200,480004,1,1
1200,480005,1,1
1200,480006,1,1
1200,480007,1,1
1200,480008,1,1
1200,480009,1,1
1200,480010,1,1
1200,480011,1,1
1200,480012,1,1
1200,1000103,1,1
1200,1000203,1,1
1200,1001103,1,3
1200,1001203,1,3
1300,501301,1,1
1300,501302,1,1
1300,501303,1,1
1300,501304,1,1
1300,440001,15,15
1300,440011,15,15
1300,400001,320,320
1300,449999,1,1
1300,480004,1,1
1300,480005,1,1
1300,480006,1,1
1300,480007,1,1
1300,480008,1,1
1300,480009,1,1
1300,480010,1,1
1300,480011,1,1
1300,480012,1,1
1300,1000103,1,1
1300,1000203,1,1
1300,1001103,2,3
1300,1001203,2,3
1400,501401,1,1
1400,501402,1,1
1400,501403,1,1
1400,501404,1,1
1400,440001,15,15
1400,440011,15,15
1400,400001,350,350
1400,449999,1,1
1400,480004,1,1
1400,480005,1,1
1400,480006,1,1
1400,480007,1,1
1400,480008,1,1
1400,480009,1,1
1400,480010,1,1
1400,480011,1,1
1400,480012,1,1
1400,1000103,1,1
1400,1000203,1,1
1400,1001103,3,3
1400,1001203,3,3
4100,440001,5,5
4100,440011,5,5
4100,400001,50,50
4100,449999,1,1
4100,480001,1,1
4100,480002,1,1
4100,480003,1,1
4100,480004,1,1
4100,480005,1,1
4100,480006,1,1
4100,480007,1,1
4100,480008,1,1
4100,480009,1,1
4100,400002,10,10
4100,490049,4,4
4100,1000100,1,1
4100,1001100,1,2
4200,440001,7,7
4200,440011,7,7
4200,400001,100,100
4200,449999,1,1
4200,480001,1,1
4200,480002,1,1
4200,480003,1,1
4200,480004,1,1
4200,480005,1,1
4200,480006,1,1
4200,480007,1,1
4200,480008,1,1
4200,480009,1,1
4200,400002,20,20
4200,490049,8,8
4200,1000100,1,1
4200,1001100,1,3
4300,440001,10,10
4300,440011,10,10
4300,400001,120,120
4300,449999,1,1
4300,480001,1,1
4300,480002,1,1
4300,480003,1,1
4300,480004,1,1
4300,480005,1,1
4300,480006,1,1
4300,480007,1,1
4300,480008,1,1
4300,480009,1,1
4300,480010,1,1
4300,480011,1,1
4300,480012,1,1
4300,400002,30,30
4300,490049,10,10
4300,1000101,1,1
4300,1000201,1,1
4300,1001101,1,3
4300,1001201,1,3
4400,440001,12,12
4400,440011,12,12
4400,400001,150,150
4400,449999,1,1
4400,480004,1,1
4400,480005,1,1
4400,480006,1,1
4400,480007,1,1
4400,480008,1,1
4400,480009,1,1
4400,480010,1,1
4400,480011,1,1
4400,480012,1,1
4400,400002,40,40
4400,490049,15,15
4400,1000101,1,1
4400,1000201,1,1
4400,1001101,3,3
4400,1001201,3,3
4500,440001,15,15
4500,440011,15,15
4500,400001,200,200
4500,449999,1,1
4500,480004,1,1
4500,480005,1,1
4500,480006,1,1
4500,480007,1,1
4500,480008,1,1
4500,480009,1,1
4500,480010,1,1
4500,480011,1,1
4500,480012,1,1
4500,400002,50,50
4500,490049,18,18
4500,1000102,1,1
4500,1000202,1,1
4500,1001102,1,3
4500,1001202,1,3
4600,440001,15,15
4600,440011,15,15
4600,400001,250,250
4600,449999,1,1
4600,480004,1,1
4600,480005,1,1
4600,480006,1,1
4600,480007,1,1
4600,480008,1,1
4600,480009,1,1
4600,480010,1,1
4600,480011,1,1
4600,480012,1,1
4600,400002,60,60
4600,490049,20,20
4600,1000102,1,1
4600,1000202,1,1
4600,1001102,3,3
4600,1001202,3,3
4700,440001,15,15
4700,440011,15,15
4700,400001,300,300
4700,449999,1,1
4700,480004,1,1
4700,480005,1,1
4700,480006,1,1
4700,480007,1,1
4700,480008,1,1
4700,480009,1,1
4700,480010,1,1
4700,480011,1,1
4700,480012,1,1
4700,400002,70,70
4700,490049,22,22
4700,1000103,1,1
4700,1000203,1,1
4700,1001103,1,3
