ItemType,ItemGrade,EquipmentType,WeaponType,Level,EnchantEfficiency,SuccessRate,SuccessRateBless,FailurePenalty,RequiredAdena,RequiredProtectionJewel,RequiredEnchantScroll
10,1,Weapon,0,0,0,10000,10000,0,3400,0,1
10,1,Weapon,0,1,5,10000,10000,0,3400,0,1
10,1,Weapon,0,2,10,10000,10000,0,3400,0,1
10,1,Weapon,0,3,15,9000,9000,0,3400,1,1
10,1,Weapon,0,4,20,8000,8000,0,3400,1,1
10,1,Weapon,0,5,28,,,,,,
10,1,Weapon,1,0,0,10000,10000,0,3400,0,1
10,1,Weapon,1,1,5,10000,10000,0,3400,0,1
10,1,Weapon,1,2,10,10000,10000,0,3400,0,1
10,1,Weapon,1,3,15,9000,9000,0,3400,1,1
10,1,Weapon,1,4,20,8000,8000,0,3400,1,1
10,1,Weapon,1,5,28,,,,,,
10,1,Weapon,2,0,0,10000,10000,0,3400,0,1
10,1,Weapon,2,1,5,10000,10000,0,3400,0,1
10,1,Weapon,2,2,10,10000,10000,0,3400,0,1
10,1,Weapon,2,3,15,9000,9000,0,3400,1,1
10,1,Weapon,2,4,20,8000,8000,0,3400,1,1
10,1,Weapon,2,5,28,,,,,,
10,1,Weapon,3,0,0,10000,10000,0,3400,0,1
10,1,Weapon,3,1,5,10000,10000,0,3400,0,1
10,1,Weapon,3,2,10,10000,10000,0,3400,0,1
10,1,Weapon,3,3,15,9000,9000,0,3400,1,1
10,1,Weapon,3,4,20,8000,8000,0,3400,1,1
10,1,Weapon,3,5,28,,,,,,
10,1,Weapon,4,0,0,10000,10000,0,3400,0,1
10,1,Weapon,4,1,5,10000,10000,0,3400,0,1
10,1,Weapon,4,2,10,10000,10000,0,3400,0,1
10,1,Weapon,4,3,15,9000,9000,0,3400,1,1
10,1,Weapon,4,4,20,8000,8000,0,3400,1,1
10,1,Weapon,4,5,28,,,,,,
10,1,Weapon,5,0,0,10000,10000,0,3400,0,1
10,1,Weapon,5,1,5,10000,10000,0,3400,0,1
10,1,Weapon,5,2,10,10000,10000,0,3400,0,1
10,1,Weapon,5,3,15,9000,9000,0,3400,1,1
10,1,Weapon,5,4,20,8000,8000,0,3400,1,1
10,1,Weapon,5,5,28,,,,,,
10,1,Armor,6,0,0,10000,10000,0,900,0,1
10,1,Armor,6,1,5,10000,10000,0,900,0,1
10,1,Armor,6,2,10,10000,10000,0,900,0,1
10,1,Armor,6,3,15,9000,9000,0,900,1,1
10,1,Armor,6,4,20,8000,8000,0,900,1,1
10,1,Armor,6,5,28,,,,,,
10,1,Gloves,6,0,0,10000,10000,0,900,0,1
10,1,Gloves,6,1,5,10000,10000,0,900,0,1
10,1,Gloves,6,2,10,10000,10000,0,900,0,1
10,1,Gloves,6,3,15,9000,9000,0,900,1,1
10,1,Gloves,6,4,20,8000,8000,0,900,1,1
10,1,Gloves,6,5,28,,,,,,
10,1,Boots,6,0,0,10000,10000,0,900,0,1
10,1,Boots,6,1,5,10000,10000,0,900,0,1
10,1,Boots,6,2,10,10000,10000,0,900,0,1
10,1,Boots,6,3,15,9000,9000,0,900,1,1
10,1,Boots,6,4,20,8000,8000,0,900,1,1
10,1,Boots,6,5,28,,,,,,
10,1,Helmet,6,0,0,10000,10000,0,900,0,1
10,1,Helmet,6,1,5,10000,10000,0,900,0,1
10,1,Helmet,6,2,10,10000,10000,0,900,0,1
10,1,Helmet,6,3,15,9000,9000,0,900,1,1
10,1,Helmet,6,4,20,8000,8000,0,900,1,1
10,1,Helmet,6,5,28,,,,,,
10,1,Ring1,6,0,0,10000,10000,0,900,0,1
10,1,Ring1,6,1,5,10000,10000,0,900,0,1
10,1,Ring1,6,2,10,10000,10000,0,900,0,1
10,1,Ring1,6,3,15,9000,9000,0,900,1,1
10,1,Ring1,6,4,20,8000,8000,0,900,1,1
10,1,Ring1,6,5,28,,,,,,
10,1,Earring1,6,0,0,10000,10000,0,900,0,1
10,1,Earring1,6,1,5,10000,10000,0,900,0,1
10,1,Earring1,6,2,10,10000,10000,0,900,0,1
10,1,Earring1,6,3,15,9000,9000,0,900,1,1
10,1,Earring1,6,4,20,8000,8000,0,900,1,1
10,1,Earring1,6,5,28,,,,,,
10,1,Necklace,6,0,0,10000,10000,0,900,0,1
10,1,Necklace,6,1,5,10000,10000,0,900,0,1
10,1,Necklace,6,2,10,10000,10000,0,900,0,1
10,1,Necklace,6,3,15,9000,9000,0,900,1,1
10,1,Necklace,6,4,20,8000,8000,0,900,1,1
10,1,Necklace,6,5,28,,,,,,
10,2,Weapon,0,0,0,10000,10000,0,3400,0,1
10,2,Weapon,0,1,5,10000,10000,0,3400,0,1
10,2,Weapon,0,2,10,10000,10000,0,3400,0,1
10,2,Weapon,0,3,15,9000,9000,0,3400,1,1
10,2,Weapon,0,4,20,8000,8000,0,3400,1,1
10,2,Weapon,0,5,28,7000,7000,0,16700,2,2
10,2,Weapon,0,6,36,6000,6000,0,16700,2,2
10,2,Weapon,0,7,44,5000,5000,0,16700,3,2
10,2,Weapon,0,8,52,4500,4500,1,16700,3,2
10,2,Weapon,0,9,60,4500,4500,1,16700,4,2
10,2,Weapon,0,10,70,,,,,,
10,2,Weapon,1,0,0,10000,10000,0,3400,0,1
10,2,Weapon,1,1,5,10000,10000,0,3400,0,1
10,2,Weapon,1,2,10,10000,10000,0,3400,0,1
10,2,Weapon,1,3,15,9000,9000,0,3400,1,1
10,2,Weapon,1,4,20,8000,8000,0,3400,1,1
10,2,Weapon,1,5,28,7000,7000,0,16700,2,2
10,2,Weapon,1,6,36,6000,6000,0,16700,2,2
10,2,Weapon,1,7,44,5000,5000,0,16700,3,2
10,2,Weapon,1,8,52,4500,4500,1,16700,3,2
10,2,Weapon,1,9,60,4500,4500,1,16700,4,2
10,2,Weapon,1,10,70,,,,,,
10,2,Weapon,2,0,0,10000,10000,0,3400,0,1
10,2,Weapon,2,1,5,10000,10000,0,3400,0,1
10,2,Weapon,2,2,10,10000,10000,0,3400,0,1
10,2,Weapon,2,3,15,9000,9000,0,3400,1,1
10,2,Weapon,2,4,20,8000,8000,0,3400,1,1
10,2,Weapon,2,5,28,7000,7000,0,16700,2,2
10,2,Weapon,2,6,36,6000,6000,0,16700,2,2
10,2,Weapon,2,7,44,5000,5000,0,16700,3,2
10,2,Weapon,2,8,52,4500,4500,1,16700,3,2
10,2,Weapon,2,9,60,4500,4500,1,16700,4,2
10,2,Weapon,2,10,70,,,,,,
10,2,Weapon,3,0,0,10000,10000,0,3400,0,1
10,2,Weapon,3,1,5,10000,10000,0,3400,0,1
10,2,Weapon,3,2,10,10000,10000,0,3400,0,1
10,2,Weapon,3,3,15,9000,9000,0,3400,1,1
10,2,Weapon,3,4,20,8000,8000,0,3400,1,1
10,2,Weapon,3,5,28,7000,7000,0,16700,2,2
10,2,Weapon,3,6,36,6000,6000,0,16700,2,2
10,2,Weapon,3,7,44,5000,5000,0,16700,3,2
10,2,Weapon,3,8,52,4500,4500,1,16700,3,2
10,2,Weapon,3,9,60,4500,4500,1,16700,4,2
10,2,Weapon,3,10,70,,,,,,
10,2,Weapon,4,0,0,10000,10000,0,3400,0,1
10,2,Weapon,4,1,5,10000,10000,0,3400,0,1
10,2,Weapon,4,2,10,10000,10000,0,3400,0,1
10,2,Weapon,4,3,15,9000,9000,0,3400,1,1
10,2,Weapon,4,4,20,8000,8000,0,3400,1,1
10,2,Weapon,4,5,28,7000,7000,0,16700,2,2
10,2,Weapon,4,6,36,6000,6000,0,16700,2,2
10,2,Weapon,4,7,44,5000,5000,0,16700,3,2
10,2,Weapon,4,8,52,4500,4500,1,16700,3,2
10,2,Weapon,4,9,60,4500,4500,1,16700,4,2
10,2,Weapon,4,10,70,,,,,,
10,2,Weapon,5,0,0,10000,10000,0,3400,0,1
10,2,Weapon,5,1,5,10000,10000,0,3400,0,1
10,2,Weapon,5,2,10,10000,10000,0,3400,0,1
10,2,Weapon,5,3,15,9000,9000,0,3400,1,1
