ItemType,ItemGrade,EquipmentType,Level,TotalExpForNextLevel,ProvidingExp,RequiredAdena,EffectIncreaseRate
10,1,1,1,52,70,900,0
10,1,1,2,104,88,1100,500
10,1,1,3,156,105,1400,1000
10,1,1,4,208,123,1600,1500
10,1,1,5,260,140,1800,2000
10,1,1,6,312,158,2000,2500
10,1,1,7,364,175,2300,3000
10,1,1,8,416,193,2500,3500
10,1,1,9,468,210,2700,4000
10,1,1,10,520,228,2900,4500
10,1,1,11,572,245,3200,5000
10,1,1,12,624,263,3400,5500
10,1,1,13,676,280,3600,6000
10,1,1,14,728,298,3800,6500
10,1,1,15,780,315,4100,7000
10,1,1,16,832,333,4300,7500
10,1,1,17,884,350,4500,8000
10,1,1,18,936,368,4700,8500
10,1,1,19,988,385,5000,9000
10,1,1,20,1040,403,5200,9500
10,1,1,21,1092,420,5400,10000
10,1,1,22,1144,438,5600,10500
10,1,1,23,1196,455,5900,11000
10,1,1,24,1248,473,6100,11500
10,1,1,25,1300,490,6300,12000
10,1,1,26,1352,508,6500,12500
10,1,1,27,1404,525,6800,13000
10,1,1,28,1456,543,7000,13500
10,1,1,29,1508,560,7200,14000
10,1,1,30,1560,578,7400,14500
10,2,1,1,130,212,2600,0
10,2,1,2,260,265,3200,400
10,2,1,3,390,318,3900,800
10,2,1,4,520,371,4500,1200
10,2,1,5,650,424,5200,1600
10,2,1,6,780,477,5800,2000
10,2,1,7,910,530,6500,2400
10,2,1,8,1040,583,7100,2800
10,2,1,9,1170,636,7800,3200
10,2,1,10,1300,689,8400,3600
10,2,1,11,1430,742,9100,4000
10,2,1,12,1560,795,9700,4400
10,2,1,13,1690,848,10400,4800
10,2,1,14,1820,901,11000,5200
10,2,1,15,1950,954,11700,5600
10,2,1,16,2080,1007,12300,6000
10,2,1,17,2210,1060,12900,6400
10,2,1,18,2340,1113,13600,6800
10,2,1,19,2470,1166,14200,7200
10,2,1,20,2600,1219,14900,7600
10,2,1,21,2730,1272,15500,8000
10,2,1,22,2860,1325,16200,8400
10,2,1,23,2990,1378,16800,8800
10,2,1,24,3120,1431,17500,9200
10,2,1,25,3250,1484,18100,9600
10,2,1,26,3380,1537,18800,10000
10,2,1,27,3510,1590,19400,10400
10,2,1,28,3640,1643,20100,10800
10,2,1,29,3770,1696,20700,11200
10,2,1,30,3900,1749,21400,11600
10,3,1,1,325,655,7600,0
10,3,1,2,650,819,9500,350
10,3,1,3,975,983,11400,700
10,3,1,4,1300,1146,13300,1050
10,3,1,5,1625,1310,15200,1400
10,3,1,6,1950,1474,17100,1750
10,3,1,7,2275,1638,19000,2100
10,3,1,8,2600,1801,20800,2450
10,3,1,9,2925,1965,22700,2800
10,3,1,10,3250,2129,24600,3150
10,3,1,11,3575,2293,26500,3500
10,3,1,12,3900,2456,28400,3850
10,3,1,13,4225,2620,30300,4200
10,3,1,14,4550,2784,32200,4550
10,3,1,15,4875,2948,34100,4900
10,3,1,16,5200,3111,36000,5250
10,3,1,17,5525,3275,37900,5600
10,3,1,18,5850,3439,39800,5950
10,3,1,19,6175,3603,41700,6300
10,3,1,20,6500,3766,43600,6650
10,3,1,21,6825,3930,45500,7000
10,3,1,22,7150,4094,47400,7350
10,3,1,23,7475,4258,49300,7700
10,3,1,24,7800,4421,51200,8050
10,3,1,25,8125,4585,53100,8400
10,3,1,26,8450,4749,55000,8750
10,3,1,27,8775,4913,56900,9100
10,3,1,28,9100,5076,58700,9450
10,3,1,29,9425,5240,60600,9800
10,3,1,30,9750,5404,62500,10150
10,4,1,1,819,1820,19900,0
10,4,1,2,1638,2275,24900,300
10,4,1,3,2457,2730,29800,600
10,4,1,4,3276,3185,34800,900
10,4,1,5,4095,3640,39800,1200
10,4,1,6,4914,4095,44800,1500
10,4,1,7,5733,4550,49700,1800
10,4,1,8,6552,5005,54700,2100
10,4,1,9,7371,5460,59700,2400
10,4,1,10,8190,5915,64600,2700
10,4,1,11,9009,6370,69600,3000
10,4,1,12,9828,6825,74600,3300
10,4,1,13,10647,7280,79600,3600
10,4,1,14,11466,7735,84500,3900
10,4,1,15,12285,8190,89500,4200
10,4,1,16,13104,8645,94500,4500
10,4,1,17,13923,9100,99500,4800
10,4,1,18,14742,9555,104400,5100
10,4,1,19,15561,10010,109400,5400
10,4,1,20,16380,10465,114400,5700
10,4,1,21,17199,10920,119300,6000
10,4,1,22,18018,11375,124300,6300
10,4,1,23,18837,11830,129300,6600
10,4,1,24,19656,12285,134300,6900
10,4,1,25,20475,12740,139200,7200
10,4,1,26,21294,13195,144200,7500
10,4,1,27,22113,13650,149200,7800
10,4,1,28,22932,14105,154100,8100
10,4,1,29,23751,14560,159100,8400
10,4,1,30,24570,15015,164100,8700
10,5,1,1,2054,4724,48600,0
10,5,1,2,4108,5905,60700,250
10,5,1,3,6162,7086,72900,500
10,5,1,4,8216,8267,85000,750
10,5,1,5,10270,9448,97200,1000
10,5,1,6,12324,10629,109300,1250
10,5,1,7,14378,11810,121500,1500
10,5,1,8,16432,12991,133600,1750
10,5,1,9,18486,14172,145800,2000
10,5,1,10,20540,15353,157900,2250
10,5,1,11,22594,16534,170100,2500
10,5,1,12,24648,17715,182200,2750
10,5,1,13,26702,18896,194400,3000
10,5,1,14,28756,20077,206500,3250
10,5,1,15,30810,21258,218700,3500
10,5,1,16,32864,22439,230800,3750
10,5,1,17,34918,23620,242900,4000
10,5,1,18,36972,24801,255100,4250
10,5,1,19,39026,25982,267200,4500
10,5,1,20,41080,27163,279400,4750
10,5,1,21,43134,28344,291500,5000
10,5,1,22,45188,29525,303700,5250
10,5,1,23,47242,30706,315800,5500
10,5,1,24,49296,31887,328000,5750
10,5,1,25,51350,33068,340100,6000
10,5,1,26,53404,34249,352300,6250
10,5,1,27,55458,35430,364400,6500
10,5,1,28,57512,36611,376600,6750
10,5,1,29,59566,37792,388700,7000
10,5,1,30,61620,38973,400900,7250
10,6,1,1,5135,12205,117700,0
10,6,1,2,10270,15256,147100,200
10,6,1,3,15405,18308,176500,400
10,6,1,4,20540,21359,206000,600
10,6,1,5,25675,24410,235400,800
10,6,1,6,30810,27461,264800,1000
10,6,1,7,35945,30513,294200,1200
10,6,1,8,41080,33564,323700,1400
10,6,1,9,46215,36615,353100,1600
10,6,1,10,51350,39666,382500,1800
10,6,1,11,56485,42718,411900,2000
10,6,1,12,61620,45769,441300,2200
10,6,1,13,66755,48820,470800,2400
10,6,1,14,71890,51871,500200,2600
10,6,1,15,77025,54923,529600,2800
10,6,1,16,82160,57974,559000,3000
10,6,1,17,87295,61025,588500,3200
10,6,1,18,92430,64076,617900,3400
10,6,1,19,97565,67128,647300,3600
10,6,1,20,102700,70179,676700,3800
10,6,1,21,107835,73230,706100,4000
10,6,1,22,112970,76281,735600,4200
10,6,1,23,118105,79333,765000,4400
10,6,1,24,123240,82384,794400,4600
10,6,1,25,128375,85435,823800,4800
10,6,1,26,133510,88486,853300,5000
10,6,1,27,138645,91538,882700,5200
10,6,1,28,143780,94589,912100,5400
10,6,1,29,148915,97640,941500,5600
10,6,1,30,154050,100691,970900,5800
10,6,1,31,159185,103743,1000400,6300
10,6,1,32,164320,106794,1029800,6800
10,6,1,33,169455,109845,1059200,7300
10,6,1,34,174590,112896,1088600,7800
10,6,1,35,179725,115948,1118100,8300
10,6,1,36,184860,118999,1147500,8800
10,6,1,37,189995,122050,1176900,9300
10,6,1,38,195130,125101,1206300,9800
10,6,1,39,200265,128153,1235800,10300
10,6,1,40,205400,131204,1265200,10800
10,7,1,1,8736,21436,192900,0
10,7,1,2,17472,26795,241200,100
10,7,1,3,26208,32154,289400,200
10,7,1,4,34944,37513,337600,300
10,7,1,5,43680,42872,385800,400
10,7,1,6,52416,48231,434100,500
10,7,1,7,61152,53590,482300,600
10,7,1,8,69888,58949,530500,700
10,7,1,9,78624,64308,578800,800
10,7,1,10,87360,69667,627000,900
10,7,1,11,96096,75026,675200,1000
10,7,1,12,104832,80385,723500,1100
10,7,1,13,113568,85744,771700,1200
10,7,1,14,122304,91103,819900,1300
10,7,1,15,131040,96462,868200,1400
10,7,1,16,139776,101821,916400,1500
10,7,1,17,148512,107180,964600,1600
10,7,1,18,157248,112539,1012900,1700
10,7,1,19,165984,117898,1061100,1800
10,7,1,20,174720,123257,1109300,1900
10,7,1,21,183456,128616,1157500,2000
10,7,1,22,192192,133975,1205800,2100
10,7,1,23,200928,139334,1254000,2200
10,7,1,24,209664,144693,1302200,2300
10,7,1,25,218400,150052,1350500,2400
10,7,1,26,227136,155411,1398700,2500
10,7,1,27,235872,160770,1446900,2600
10,7,1,28,244608,166129,1495200,2700
10,7,1,29,253344,171488,1543400,2800
10,7,1,30,262080,176847,1591600,2900
10,7,1,31,270816,182206,1639900,3150
10,7,1,32,279552,187565,1688100,3400
10,7,1,33,288288,192924,1736300,3650
10,7,1,34,297024,198283,1784500,3900
10,7,1,35,305760,203642,1832800,4150
10,7,1,36,314496,209001,1881000,4400
10,7,1,37,323232,214360,1929200,4650
10,7,1,38,331968,219719,1977500,4900
10,7,1,39,340704,225078,2025700,5150
10,7,1,40,349440,230437,2073900,5400
10,1,0,1,40,70,700,0
10,1,0,2,80,88,900,500
10,1,0,3,120,105,1100,1000
10,1,0,4,160,123,1200,1500
10,1,0,5,200,140,1400,2000
10,1,0,6,240,158,1600,2500
10,1,0,7,280,175,1800,3000
10,1,0,8,320,193,1900,3500
10,1,0,9,360,210,2100,4000
10,1,0,10,400,228,2300,4500
10,1,0,11,440,245,2500,5000
10,1,0,12,480,263,2600,5500
10,1,0,13,520,280,2800,6000
10,1,0,14,560,298,3000,6500
10,1,0,15,600,315,3200,7000
10,1,0,16,640,333,3300,7500
10,1,0,17,680,350,3500,8000
10,1,0,18,720,368,3700,8500
10,1,0,19,760,385,3900,9000
10,1,0,20,800,403,4000,9500
10,1,0,21,840,420,4200,10000
10,1,0,22,880,438,4400,10500
10,1,0,23,920,455,4600,11000
10,1,0,24,960,473,4700,11500
10,1,0,25,1000,490,4900,12000
10,1,0,26,1040,508,5100,12500
10,1,0,27,1080,525,5300,13000
10,1,0,28,1120,543,5400,13500
10,1,0,29,1160,560,5600,14000
10,1,0,30,1200,578,5800,14500
10,2,0,1,100,212,2000,0
10,2,0,2,200,265,2500,400
10,2,0,3,300,318,3000,800
10,2,0,4,400,371,3500,1200
10,2,0,5,500,424,4000,1600
10,2,0,6,600,477,4500,2000
10,2,0,7,700,530,5000,2400
10,2,0,8,800,583,5500,2800
10,2,0,9,900,636,6000,3200
10,2,0,10,1000,689,6500,3600
10,2,0,11,1100,742,7000,4000
10,2,0,12,1200,795,7600,4400
10,2,0,13,1300,848,8100,4800
10,2,0,14,1400,901,8600,5200
10,2,0,15,1500,954,9100,5600
10,2,0,16,1600,1007,9600,6000
10,2,0,17,1700,1060,10100,6400
10,2,0,18,1800,1113,10600,6800
10,2,0,19,1900,1166,11100,7200
10,2,0,20,2000,1219,11600,7600
10,2,0,21,2100,1272,12100,8000
10,2,0,22,2200,1325,12600,8400
10,2,0,23,2300,1378,13100,8800
10,2,0,24,2400,1431,13600,9200
10,2,0,25,2500,1484,14100,9600
10,2,0,26,2600,1537,14600,10000
10,2,0,27,2700,1590,15100,10400
10,2,0,28,2800,1643,15600,10800
10,2,0,29,2900,1696,16100,11200
10,2,0,30,3000,1749,16600,11600
10,3,0,1,250,655,5900,0
10,3,0,2,500,819,7400,350
10,3,0,3,750,983,8800,700
10,3,0,4,1000,1146,10300,1050
10,3,0,5,1250,1310,11800,1400
10,3,0,6,1500,1474,13300,1750
10,3,0,7,1750,1638,14700,2100
10,3,0,8,2000,1801,16200,2450
10,3,0,9,2250,1965,17700,2800
10,3,0,10,2500,2129,19200,3150
10,3,0,11,2750,2293,20600,3500
10,3,0,12,3000,2456,22100,3850
10,3,0,13,3250,2620,23600,4200
10,3,0,14,3500,2784,25100,4550
10,3,0,15,3750,2948,26500,4900
10,3,0,16,4000,3111,28000,5250
10,3,0,17,4250,3275,29500,5600
10,3,0,18,4500,3439,31000,5950
10,3,0,19,4750,3603,32400,6300
10,3,0,20,5000,3766,33900,6650
10,3,0,21,5250,3930,35400,7000
10,3,0,22,5500,4094,36800,7350
10,3,0,23,5750,4258,38300,7700
10,3,0,24,6000,4421,39800,8050
10,3,0,25,6250,4585,41300,8400
10,3,0,26,6500,4749,42700,8750
10,3,0,27,6750,4913,44200,9100
10,3,0,28,7000,5076,45700,9450
10,3,0,29,7250,5240,47200,9800
10,3,0,30,7500,5404,48600,10150
10,4,0,1,630,1820,15500,0
10,4,0,2,1260,2275,19300,300
10,4,0,3,1890,2730,23200,600
10,4,0,4,2520,3185,27100,900
10,4,0,5,3150,3640,30900,1200
10,4,0,6,3780,4095,34800,1500
10,4,0,7,4410,4550,38700,1800
10,4,0,8,5040,5005,42500,2100
10,4,0,9,5670,5460,46400,2400
10,4,0,10,6300,5915,50300,2700
10,4,0,11,6930,6370,54100,3000
10,4,0,12,7560,6825,58000,3300
10,4,0,13,8190,7280,61900,3600
10,4,0,14,8820,7735,65700,3900
10,4,0,15,9450,8190,69600,4200
10,4,0,16,10080,8645,73500,4500
10,4,0,17,10710,9100,77400,4800
10,4,0,18,11340,9555,81200,5100
10,4,0,19,11970,10010,85100,5400
10,4,0,20,12600,10465,89000,5700
10,4,0,21,13230,10920,92800,6000
10,4,0,22,13860,11375,96700,6300
10,4,0,23,14490,11830,100600,6600
10,4,0,24,15120,12285,104400,6900
10,4,0,25,15750,12740,108300,7200
10,4,0,26,16380,13195,112200,7500
10,4,0,27,17010,13650,116000,7800
10,4,0,28,17640,14105,119900,8100
10,4,0,29,18270,14560,123800,8400
10,4,0,30,18900,15015,127600,8700
10,5,0,1,1580,4724,37800,0
10,5,0,2,3160,5905,47200,250
10,5,0,3,4740,7086,56700,500
10,5,0,4,6320,8267,66100,750
10,5,0,5,7900,9448,75600,1000
10,5,0,6,9480,10629,85000,1250
10,5,0,7,11060,11810,94500,1500
10,5,0,8,12640,12991,103900,1750
10,5,0,9,14220,14172,113400,2000
10,5,0,10,15800,15353,122800,2250
10,5,0,11,17380,16534,132300,2500
10,5,0,12,18960,17715,141700,2750
10,5,0,13,20540,18896,151200,3000
10,5,0,14,22120,20077,160600,3250
