Id,Name,EffectTypeName,Desc
1001,Common Knock Down,Knock Down,
1002,@1001,@1001,Last Hit of Basic Attack
1003,@1001,@1001,
1004,Common Invincibility,Invincible,There is no damage taken.
1005,Revive Protection Buff,@1004,There is no damage taken. Attacking an enemy will dispel the Invincibility buff.
1011,Common Stun,Stun,Stun
10111,Rush Impact: Knock Down,@1001,
10122,Power Thrust: Slow,Slow,Speed -{1%}%
11211,Slam,Aggro Gain Increase,Aggro Gain +50%
112124,Vengeance,Target Locked (PC),Forced to Attack
112125,@112124,Atk. Decrease,Atk. -{1}
112126,@112124,Target Locked (NPC),
11213,Majesty,"Majesty: Aggro level Amplification, P. Def./M. Def. Amplification, Evasion Decrease","Def. +{2%}%, Aggro of all Attacks +{1%}%, Damage Reflect: {1%}%"
11221,Judgment,Defense Decrease,
11222,Thunder Storm,Stun,@1011
112231,Wide Sweep,"Multi-hit: Simultaneous Hit Amplification, Atk. Spd. Increase","Enemies Hit at Once +{1}, Atk. Spd. +{2%}%"
11231,Sand Cloud,Blind,Acc. Rate -{1%}%
11232,Back Stab: Stun,@11222,@1011
112331,Haste,Haste: Atk. Spd. Amplification,Atk. Spd. +{1%}%
112332,@112331,Haste: Evasion Amplification,Evasion +{1%}%
11242,Arrow Rain,P. Atk. Decrease,Atk. Decrease
11243,Snipe,"Snipe: Attack Range, Atk., Acc. Increase, Immobility",Atk.: {2%}%. Acc. +{3}. Increases Attack Range. Decreases Speed.
11244,Hawkeye,"Hawkeye: Critical Increase, Def. Decrease",Crit. Rate +{1} and Damage +{2%}%
11251,Molten Bowl,Damage over Time,Damage over Time
112531,Boost Mana,Boost Mana: Max MP Amplification,"MP Use +{1%}%, Skill Damage +{2%}%"
11261,Divine Punishment: Stun,@1001,
11262,Restoration,HoT,Heal over Time
12211,Tribunal,Target Locked,Aggro Gain +30%
12212,Eva's Grace,Atk. Spd. Decrease,Decreases HP Regen. by 50%.
122131,Aegis Stance,Aegis Stance: Temporary Damage Immunity,Damage Immunity
122132,@122131,Aegis Stance: Speed Increase,Speed +{1%}%
12221,Sonic Blaster,Sonic Blaster: Speed Decrease,Speed -{1%}%
122231,Rhythm of Combat,"Rhythm of Combat: Atk., Def. Increase","Party Members’ Atk. +{1}, Def. +{3}"
122241,Song of Hunter,Song of Hunter: Party Crit. Rate,Party Members’ Crit. Rate +{1%}%
12231,Triple Splinter,Speed Decrease,"Def. -{1%}%, Atk. Spd. -{3%}%, and Speed -{4%}%."
12232,Blade Hurricane,@1011,@1011
