Key,Value
10001,لا يتوافق إصدار الحزم مع الخادم. أعد تشغيل التطبيق.
10002,أعد تشغيل التطبيق لوجود تحديث.
10003,خطأ في الخادم (DB)
10004,خطأ في الخادم (LUA)
10005,خطأ في جدول Excel
10006,خطأ في الخادم (المعلمة)
10007,خطأ في الخادم (المنطق)
10008,خطأ في الخادم
10009,لم تقم بتسجيل الدخول.
10010,لقد قمت بتسجيل الدخول بالفعل.
10011,لا توجد أهداف لطردها.
10012,مصادقة غير صحيحة
10013,معرف شخصية غير صحيح
10014,معلومات تصنيف غير صحيحة
10015,نوع غير صحيح
10016,اسم غير صحيح
10017,معلومات غير صحيحة عن شخصية خارج سيطرة اللاعب
10018,معرف لاعب غير صحيح
10019,معلومات سباق غير صحيحة
10020,مهارة غير صحيحة
10021,هدف مهارة غير صحيح
10022,حالة غير صحيحة
10023,معلومات منطقة غير صحيحة
10024,لا يوجد معرف جهاز.
10025,الاسم قيد الاستخدام بالفعل.
10026,المهارة في الرمي.
10027,مذهول حاليًا.
10028,لست ميتًا.
10029,لا توجد نقاط مانا كافية
10030,تم قطع الاتصال بالجلسة.
10031,GameToken غير محدّث.
10032,"خطأ في البروتوكول.
آخر تحديث مطلوب."
10033,خطأ في النظام
10034,خطأ في تنسيق GameToken
10035,GameToken غير موجود.
10036,الصيانة قيد التقدم.
10037,الحساب فارغ.
10038,قريبًا.
10039,لا يمكنك دخول هذا الخادم لأن إنشاء الشخصيات مقيَّد. يرجى استخدام خادم آخر.
10040,فشل أمان Netmarble
10100,لقد غادر هذا اللاعب.
