Id,PlaceName
1,Vibrant Gate
2,Dolmen Ruins
3,Talking Island Town
4,Shattered Lands
5,Obelisk of Victory
6,Fortified Camp
7,Einhovant's Arcane Academy
8,Forest of Wind
9,Haunted Forest
10,Western Scout Post
11,Elven Ruins
12,Gludin Harbor
13,Gludin Town
14,Windmill Plains
15,Silent Graveyard
16,Looter Camp
17,Town of Gludio Castle
18,Monster Extermination Site
19,Devastated Farmland
20,Maille Lizardman Dwellings
21,Turek Orc Camp
22,Fellmere Lake
23,Gludio Castle Outskirts
24,Gludio Castle
25,Windawood Ruins
26,Battlefield
27,Fallen Elf Sanctuary
28,Turek Orc Station
29,Dustbowl
30,Wastelands
31,Staris's Campsite
32,Red Rock Ridge
33,Dion Castle Outskirts
34,Dion Castle Town
35,Logging Area
36,Dion Agricultural Area
37,Shelter
38,Plains of Dion
39,Eerie Terrain
40,Archaeologists’ Camp
41,Excavation Site
42,Swampland
43,Cruma Tower Entrance
44,Shade Marsh
45,Serene Woods
46,Ol Mahum Hideout
47,Tanor Outpost
48,Conflict Area
49,Mandragora Farm
50,Execution Grounds
51,Keep of Agony
52,Ruined Keep
53,Incinerator
54,Town of Giran
55,Gorgon Flower Garden
56,Giran Castle Outskirts
57,Singing Forest
58,Langk Lizardman Camp
59,Deserted Lot
60,Giran Castle
61,Trade Route
62,Deadman Strand
63,Forest of Giants
64,Giran Harbor
65,Ol Mahum Bandit Hideout
66,Giant's Altar
67,Saltwind Marsh
68,Gold Cave
69,Pit of Hate
70,Breka Orc Stronghold
71,Deadman's Pass
72,Chasm of Oblivion
73,Hunters Valley
74,Town of Oren
75,Oren Castle Outskirts
76,Lizardmen Marsh
77,Timak Outpost
78,Enraged Tanor Plateau
79,Broken Seal
80,Sea of Spores
81,Witch's Forest
82,Outlaw Forest
83,Forest of Evil
84,Timak Orc Camp
85,Ivory Tower Crater
90,Demonic Rift
91,Fortress of Despair
92,Hunter’s Tomb
93,Land of Dragons
94,Antharas Lair Entrance
95,Elven Ruins 1
96,Elven Ruins 2
97,Ant Nest 1
98,Ant Nest 2
99,Cruma Tower Floor 2
100,Cruma Tower Floor 3
101,Ivory Tower Catacomb 1
102,Ivory Tower Catacomb 2
103,Ivory Tower Catacomb 3
104,Ivory Tower Catacomb Laboratory
105,Forest of Secrets Canopy
106,Forest of Secrets Understory
107,Forest of Secrets Slaughter Site
1001,Varkaron's Vestige
1002,Queen Ant's Cave
1003,Ivory Tower Catacomb 1
30000004,Gludin Harbor
30000005,Basement
30000006,Evil Summoning Stone Interior
30000007,Outworld
30000008,Cruma Tower Floor 2
30000009,Zaken’s Abyss
30000010,Zaken’s Abyss
30000011,Blood King's Territory
30000012,Cruma Tower Floor 3
