Name,AlarmDesc
Coming Soon,
Event,Limited Edition Shop is available.
Coming Soon,
Strengthening I,Check out the items that are on sale.
Coming Soon,
Mount,Limited Edition Shop is available.
Coming Soon,
Strengthening II,Check out the items that are on sale.
Recommended,
Summon Boxes,
Consumables,
Scroll,
Diamonds,
Adena,
Friendship Points,
Topaz,
Loyalty Points,
Strengthening Diamond I,
Strengthening Diamond II,
Strengthening Diamond III,
Story I,
Story II,
Diamonds I,
Login Diamond,
Adena I,
Adena II,
تحديث الاحتفال,
Adventurer ,
Equipment Bundle,
Character Bundle,
Clan ,
Mount,
Souvenir,
