Id,EquipEffectDescription,EquipEffectBuffName,EquipEffectBuffDescription
7000101,Es gibt keinen Bonus für das Ausrüsten eines Klanumhangs.,,
7000201,@7000101,,
7000301,@7000101,,
7100101,"Erhalte <Fontblue>{ViewEffectParam1}</> Bonus-ERF
beim Sieg über Monster und für Entnahmen.

(Gilt in: Feldern/Entnahmegrube)",Effekt des Abenteurers Umhang,Erhalte <Fontblue>{ViewEffectParam1}</> Bonus-ERF beim Sieg über Monster und für Entnahmen.
7100102,@7100101,@7100101,@7100101
7100103,@7100101,@7100101,@7100101
7100104,@7100101,@7100101,@7100101
7100105,@7100101,@7100101,@7100101
7100106,@7100101,@7100101,@7100101
7100107,@7100101,@7100101,@7100101
7100108,@7100101,@7100101,@7100101
7100109,@7100101,@7100101,@7100101
7100110,@7100101,@7100101,@7100101
7100111,@7100101,@7100101,@7100101
7100112,@7100101,@7100101,@7100101
7100113,@7100101,@7100101,@7100101
7100114,@7100101,@7100101,@7100101
7100115,@7100101,@7100101,@7100101
7100116,@7100101,@7100101,@7100101
7100117,@7100101,@7100101,@7100101
7100118,@7100101,@7100101,@7100101
7100119,@7100101,@7100101,@7100101
7100120,@7100101,@7100101,@7100101
7100121,@7100101,@7100101,@7100101
7100122,@7100101,@7100101,@7100101
7100123,@7100101,@7100101,@7100101
7100124,@7100101,@7100101,@7100101
7100125,@7100101,@7100101,@7100101
7100126,@7100101,@7100101,@7100101
7100127,@7100101,@7100101,@7100101
7100128,@7100101,@7100101,@7100101
7100129,@7100101,@7100101,@7100101
7100130,@7100101,@7100101,@7100101
7100201,"<Fontblue>{ViewEffectParam1}</> Chance, einen
Bonus-<Fontblue>Blutrest</> nach dem Sieg über Blutübel zu erhalten.
Es können bis zu 2.000 täglich erhalten werden.

(Gilt nicht für Monster, die mehr als 7 Levels niedriger sind, und die Rate kann sich entsprechend dem zugefügten Schaden ändern.)
(Gilt in: Elite-Dungeons)",Effekt des Umhangs des Blut-Rangers,"<Fontblue>{ViewEffectParam1}</> Chance, einen Bonus-<Fontblue>Blutrest</> nach dem Sieg über Blutübel zu erhalten."
7100202,@7100201,@7100201,@7100201
7100203,@7100201,@7100201,@7100201
7100204,@7100201,@7100201,@7100201
7100205,@7100201,@7100201,@7100201
7100206,@7100201,@7100201,@7100201
7100207,@7100201,@7100201,@7100201
7100208,@7100201,@7100201,@7100201
7100209,@7100201,@7100201,@7100201
7100210,@7100201,@7100201,@7100201
7100211,@7100201,@7100201,@7100201
7100212,@7100201,@7100201,@7100201
7100213,@7100201,@7100201,@7100201
7100214,@7100201,@7100201,@7100201
7100215,@7100201,@7100201,@7100201
7100216,@7100201,@7100201,@7100201
7100217,@7100201,@7100201,@7100201
7100218,@7100201,@7100201,@7100201
7100219,@7100201,@7100201,@7100201
7100220,@7100201,@7100201,@7100201
7100221,@7100201,@7100201,@7100201
7100222,@7100201,@7100201,@7100201
7100223,@7100201,@7100201,@7100201
7100224,@7100201,@7100201,@7100201
7100225,@7100201,@7100201,@7100201
7100226,@7100201,@7100201,@7100201
7100227,@7100201,@7100201,@7100201
7100228,@7100201,@7100201,@7100201
7100229,@7100201,@7100201,@7100201
7100230,@7100201,@7100201,@7100201
7100301,"<Fontblue>{ViewEffectParam1}</> Chance, ein
Bonus-<Fontblue>Geschenk des Gartens</> nach Entnahme zu erhalten.

(Gilt in: Entnahmegrube)",Effekt des Gartenumhangs,"<Fontblue>{ViewEffectParam1}</> Chance, ein Bonus-<Fontblue>Geschenk des Gartens</> nach Entnahme zu erhalten."
7100302,@7100301,@7100301,@7100301
7100303,@7100301,@7100301,@7100301
7100304,@7100301,@7100301,@7100301
7100305,@7100301,@7100301,@7100301
7100306,@7100301,@7100301,@7100301
7100307,@7100301,@7100301,@7100301
7100308,@7100301,@7100301,@7100301
7100309,@7100301,@7100301,@7100301
7100310,@7100301,@7100301,@7100301
7100311,@7100301,@7100301,@7100301
7100312,@7100301,@7100301,@7100301
7100313,@7100301,@7100301,@7100301
7100314,@7100301,@7100301,@7100301
7100315,@7100301,@7100301,@7100301
7100316,@7100301,@7100301,@7100301
7100317,@7100301,@7100301,@7100301
7100318,@7100301,@7100301,@7100301
7100319,@7100301,@7100301,@7100301
7100320,@7100301,@7100301,@7100301
7100321,@7100301,@7100301,@7100301
7100322,@7100301,@7100301,@7100301
7100323,@7100301,@7100301,@7100301
7100324,@7100301,@7100301,@7100301
7100325,@7100301,@7100301,@7100301
7100326,@7100301,@7100301,@7100301
7100327,@7100301,@7100301,@7100301
7100328,@7100301,@7100301,@7100301
7100329,@7100301,@7100301,@7100301
7100330,@7100301,@7100301,@7100301
7100401,"Nach Einsatz einer normalen Fertigkeit besteht eine <Fontblue>{ViewEffectParam1}</> Chance,
die Abklingzeit der <Fontblue>zuletzt verwendeten normalen Fertigkeit</> zurückzusetzen,
wodurch diese sofort wieder eingesetzt werden kann.

(Effekt wird einmal alle <Fontblue>{ViewEffectParam2} Sek.</> aktiviert)
(Gilt in: Alle Orte)",Effekt des Heroischen Umhangs,"Nach Einsatz einer normalen Fertigkeit besteht eine <Fontblue>{ViewEffectParam1}</> Chance,
die Abklingzeit der <Fontblue>zuletzt verwendeten normalen Fertigkeit</> zurückzusetzen. Abklingzeit: {ViewEffectParam2} Sek."
7100402,@7100401,@7100401,@7100401
7100403,@7100401,@7100401,@7100401
7100404,@7100401,@7100401,@7100401
7100405,@7100401,@7100401,@7100401
7100406,@7100401,@7100401,@7100401
7100407,@7100401,@7100401,@7100401
7100408,@7100401,@7100401,@7100401
7100409,@7100401,@7100401,@7100401
7100410,@7100401,@7100401,@7100401
7100411,@7100401,@7100401,@7100401
7100412,@7100401,@7100401,@7100401
7100413,@7100401,@7100401,@7100401
7100414,@7100401,@7100401,@7100401
7100415,@7100401,@7100401,@7100401
7100416,@7100401,@7100401,@7100401
7100417,@7100401,@7100401,@7100401
7100418,@7100401,@7100401,@7100401
7100419,@7100401,@7100401,@7100401
7100420,@7100401,@7100401,@7100401
7100421,@7100401,@7100401,@7100401
7100422,@7100401,@7100401,@7100401
7100423,@7100401,@7100401,@7100401
7100424,@7100401,@7100401,@7100401
7100425,@7100401,@7100401,@7100401
7100426,@7100401,@7100401,@7100401
7100427,@7100401,@7100401,@7100401
7100428,@7100401,@7100401,@7100401
7100429,@7100401,@7100401,@7100401
7100430,@7100401,@7100401,@7100401
