Id,Name,Message
1,Marlow,"Wie arrogant!
Dies wird Euer
letzter Atemzug sein!"
2,Valdir,"Lucien!
Bereitet Eure Magie vor,
während ich sie abwehre!"
3,Lucien,"Okay!
Ich sage Bescheid!
Haltet durch!"
4,@2,"Hilfe ist noch nicht da?
Kämpft, als hinge Euer
Leben davon ab!"
5,@3,"Bereit!
Bewegt Euch, alle!"
6,,"Es gibt Zwei, die
zu Legenden wurden."
7,,Jetzt -
8,,beginnt Eure Legende.
9,@2,"Hauptmann
Marlow ist gefallen!
Vorwärts zum Burgtor!"
10,@2,"Feindliche 
Verstärkung!
Haltet die Stellung!"
11,,Angriff!!!
12,,Tötet sie alle!
13,,"Dieser Hafen 
gehört uns!"
14,,Ich sage nichts!!!
15,,"Hahaha!
Euer Schweigen ist sinnlos."
16,,Wie erwartet ...
17,,"Es ist in
den Elfenruinen ..."
18,,"Das Fragment scheint
auf diesen Ort zu reagieren ..."
19,,Ist es bereit?
20,,"Kriegshäuptling! 
Von diesem Objekt
spracht Ihr."
21,,Großartig!
22,,"Wir brauchen dieses
Menschen-Monument nicht mehr!"
23,,Tötet die Menschen!
24,,"Hm? Es sollte doch
hier irgendwo sein ..."
25,,Eine Falle?!
26,,Alle angreifen!!!
27,,"Für die Sprechende 
Insel!!!"
28,,"Dachtet Ihr wirklich,
Ihr könntet
mich fangen?"
29,,"Im Namen von
Gran Kain ..."
30,,Folgt meinem Ruf!
31,,Carpheous!!!
32,,"Tut, was Ihr wollt."
33,,Licht von Einhasad!
34,,Zeigt uns den Weg!
35,,"Uff ...
Dieses bösartige 
Monster ..."
36,,"Ah, es ist wahr!
Es war so witzig!"
37,,"Also, er sagte ...
""Hey, Ork. Du, Ork."""
38,,W-was ist das?!
39,,"Hinterhalt 
des Gegners!"
40,,Kampfbereit machen!
41,,"Wir müssen den 
Stützpunkt halten!!!"
42,,"Wie erwartet ...
Einschreiten 
der Menschen ..."
43,,"Ich muss eine 
Benachrichtigung ... uff!"
44,,"Es heißt, Neugier ist
der Katze Tod."
45,,"Manche Geheimnisse
bleiben besser ... 
geheim."
46,,"Viel Spaß
damit, Jungs."
47,,"Vergesst nicht, den
Entwurf mitzubringen!"
48,,"Seid Ihr sicher, dass
das hier der 
richtige Ort ist?"
49,,Wer?! Wer seid Ihr?
50,,"Der Zutritt 
ist untersagt.
Bitte kehrt um."
51,,Wartet!
52,,"Süß, dass Ihr denkt,
Ihr könntet uns stoppen."
53,,"Habt Ihr nie gelernt, wann
man sich besser zurückzieht?"
54,,"Dämliches Blag,
verschwendet 
unsere Zeit."
55,,"Keiner von Euch wird
lebend hier wegkommen."
56,,Hahaha! Brennt!
57,,"Bei der Göttin Eva,
gebiete ich Euch."
58,,Macht der Läuterung!
59,,"Reinigt die Sprechende Insel
vom Bösen, das sie beherrscht!"
60,,"Ahh, faszinierend.
Das Objekt ist hier?"
61,,"Hey, Ihr. Es wäre das Beste,
wenn Ihr verschwinden würdet."
62,,"H-Hinterhalt 
des Gegners!"
63,,Stoppt Ihren Angriff!!
64,,"Wir haben die
Drachen besiegt! 
Auf zur Burg!"
65,,"Tretet zurück, alle!"
66,,"Kingfin! Die Ära der Angst und
Unterdrückung ist vorbei!"
67,,"Genau wie Euer 
niederträchtiger Klan!"
68,,Wie amüsant.
69,,Wisst Ihr das?
70,,"Viele Narren standen schon
dort und sprachen dieselben Worte!"
71,,"Sie alle endeten
auf den Knien,
um ihr Leben bettelnd!"
72,,"Ihr seid nur ein
weiterer von ihnen!"
73,,"Ihr irrt! Ihr seid nun
an der Reihe, Kingfin."
74,,Alle!
75,,Zum Angriff!!!
76,,"Valdir nahm die Burg von Aden, 
und das turbulente Zeitalter endete."
77,,Ah! Wir haben die Sprechende Insel erreicht.
78,,"Die wichtigsten
Silberlicht-Söldner
stammen von der Sprechenden Insel!"
79,,"Los!
Finden wir einen eigenen Klan -
der zur Legende werden wird!"
84,@3,"Legen wir los!
Hier, hier lang!"
87,@3,"Jetzt!
Wir müssen die Burgtore
durchbrechen!"
85,@2,"Ihr Soldaten kommt dazu,
wenn wir das Signal geben!"
88,Wachhauptmann,"Wir haben sie umzingelt.
Eliminiert sie,
bis zum letzten Mann!"
83,@3,"Achtung!!! Feindliche
Verstärkung. Wir besiegen sie
und ziehen weiter."
86,@2,"Seltsam.
Es sind weniger feindliche
Truppen als erwartet!"
89,@3,"Es ist eine Falle!
Wir brauchen Hilfe
alliierter Soldaten!"
90,@2,"Verflixt!
Weiter, Soldaten!"
91,Elpin,"Valdir! Der Kontrollturm
der Burg
wurde aktiviert."
92,@91,"Nein ... NEIN!
Unsere Kameraden
fallen!"
93,@91,"Wir müssen diesen
Kontrollturm zerstören!"
94,@91,"Wenn es so weitergeht,
sind wir erledigt!!!"
95,Soldat der Revolutionsarmee,"Es ist Marlow!
Der Klanälteste des
Feindes ist erschienen!"
96,@1,"Argh. Unglaublich, dass ich gegen
solche Biester verloren habe."
97,@1,"Trotzdem, für Kingfin
seid Ihr keine Gegner ...
Uff ..."
98,@91,"Valdir! Wir haben keine
Zeit! Der Kontrollturm
muss zerstört werden!"
99,Dunkelfürst,"Die Dunkelheit
wird obsiegen."
100,Gorsaur,"*Schnüffel*
Menschenfleisch?"
102,Niah,"Das Relikt ist verschwunden!
Was ist passiert?"
103,@102,"Ist das Vaters Umhang?
Oh, nein ..."
104,Feldheim,Findet Ihr das seltsam?
105,@104,"Es ist riskant,
in die Stadt zu gehen."
106,@104,"Warum sollten sie
diesen Weg nehmen?"
107,@104,"Fragt die Wachen,
ob sie sie gesehen haben."
108,Eugene,"Orks! Haltet sie vom
Schutzstein fern!"
109,@108,"Das war knapp.
Weiter geht's."
110,Höhlenhüter,"Sssssssst! Ich habe
auf Euch gewartet!"
112,Russel,"Haltet diesen
Dunkelmystiker auf!"
113,Dunkelmystiker,"Ungeziefer! Ihr werdet nicht
davonkommen!"
114,@113,"Wer wagt es, die
Dunkle Bruderschaft herauszufordern?"
115,Ork-Eskorte,"Da drüben!
Beschützt die
Dunkle Bruderschaft!"
118,Fee der Läuterung,"Meine Energie ist
beinahe ganz verbraucht ..."
119,@118,"Dunkle Energie wird
das Land vernichten."
120,@118,"Ich glaube, dass sie
einen geheimen Plan haben."
121,@112,"Wollen wir darum wetten,
wer mehr erledigt?"
122,@112,"Achtung!
Vorsicht!"
123,@112,"Oh nein!
Der Siegesobelisk!
Verdammte Wüstlinge!"
124,@112,"Habt Ihr den
Kriegshäuptling
nicht schon besiegt?"
125,@115,"Haltet die Stellung!
Haltet sie auf!"
127,Ferron,"Ich habe unterwegs
jemanden Verdächtiges gesehen!"
128,@127,"Er war bei den Orks,
die uns gefangen genommen haben."
129,@127,"Er trug schwarz,
und ein
seltsames Buch."
130,@127,"Ich würde tippen ...
ein Teufelsanbeter!"
131,Werwolf,"Riecht gut! Gebt das her,
Mensch!"
132,Ork-Kriegshäuptling,"Ha! Ein einfacher Söldner
will ein Duell?"
133,@132,"Der gehört mir. Tretet zurück,
alle!"
134,Ork-Schlachter,"Betrügerei! Sie müssen
gemogelt haben!"
135,Blut-Ranger,"Habt Ihr denn keine Ehre?
Akzeptiert Eure Niederlage!"
136,@134,"Tötet sie!
Tötet sie alle!"
137,@135,"Lasst die Orks
nicht vorbei!"
138,@135,"Wir erledigen das.
Geht zu Russel!"
140,@108,"Beeilt Euch! Die Orks
werden bald hier sein!"
141,Ork-Truppenhptm.,"Tötet sie! Stürmt vor
bis zur Stadt!"
143,Harold,"Diese Jungs sind Profis!
Kommt Ihr mit ihnen klar?"
144,@143,"Der Truppenhauptmann ist
überragend! Er gehört Euch!"
145,@143,"Keine Zeit! Schnell
zum Eingang!"
146,Austin,"Nehmt Euren Platz ein,
wenn Ihr bereit seid."
147,@146,"Los geht's! Das wird
nicht einfach!"
148,@146,"Fantastisch! Aber kommt Ihr
mit Dreien klar?"
149,Albert der Riese,"Nicht schlecht. Ich habe diese Männer
selbst ausgebildet."
150,@149,"Ihr kommt als Nächstes dran.
Das wird lustig!"
151,@149,"Onkel! Ihr gewinnt!
Ihr seid wirklich stark."
152,Arnold,"Oh, oh. Ich sehe
jede Menge Monster!"
153,Ork-Anführer,Was ist das für ein Lärm?
154,@153,"Menschen? Hier?
Wachen! Folgt mir!"
160,Theodore,"Schnell! Raus! Die Archäologen
sind nicht hier!"
161,Ork-Anleiter,"Da drüben!
Erledigt sie!"
162,Gez. Schreckgespenst,"Macht Euch bereit. Ich schlage
Euch in Stücke!"
164,@104,"Wir müssen
die Brücke überqueren. Bewegung!"
165,@104,"Verdammt! Der Söldner
ist schon drüben!"
169,@118,"Danke. Ich halte
die Augen offen."
170,@118,"Wenn sich das Dritte bewegt,
können wir Ärger
vermeiden."
171,@118,"Es ist eine Erleichterung,
Euch getroffen zu haben."
172,Hohepriester Ethan,"Ihr widerliches Insekt!
Wie könnt Ihr es wagen!"
173,@172,"Ihr denkt, Ihr könntet
seine Rückkehr aufhalten?"
174,@104,"Danke, dass Ihr
meine Tochter gerettet habt."
175,@104,"Lasst es mich wissen,
solltet Ihr je meine Hilfe brauchen."
179,@172,"Geht zur Hölle! Stellt Euch dem
Schrecken der Dunkelheit!"
180,Matrose Thomas,"Ihr seid hier!
Her damit!"
182,Matrose Andrew,"Jetzt können
wir sie besiegen!
Gebt es mir!"
186,Pan,"Hey, Ihr.
Seid Ihr bekannt
auf den Sprechenden Inseln?"
187,@186,"Miau? Ihr seid
Silberlicht-Söldner? Wuuuh!
Lasst uns Freunde sein!"
188,@186,"Trotzdem, nichts ist
umsonst! Ich überlege es mir,
für 2 Gefallen!"
189,Ol Mahum-Späher,"Hehe. Wir können noch
immer welche fangen!"
190,Augel,"W-wer seid Ihr und
was ist das hier alles?!"
191,Ol Mahum-Räuber,"Schnüff schnüff. 
Es wird unserem Boss gefallen,
wenn wir Euch zu ihm bringen."
192,@191,"Wir kriegen eine Belohnung,
wenn es unserem Boss gefällt!"
193,@189,"Schnüff schnüff! Ergebt Euch und
lasst Euch gefangen nehmen,
Ihr Menschen."
194,@190,"N-nein! Hilfe ...
Helft uns!"
195,Aymel,"Verzeihung. Es war so hektisch,
ich bin gar nicht dazu gekommen,
mich vorzustellen!"
196,@195,"Ich bin Aymel.
Ich bin ein Silberlicht-Söldner, 
wie Ihr!"
197,@195,"Aber woher wusstet Ihr,
dass ich hier bin?
Hm? Russel?"
198,@195,"Ich schätze, der Trottel hat diesmal
was richtig gemacht.
Haha."
199,@195,"Ich bin hinter einer Hexe
namens Elizabeth her. Ihr
werdet wissen, wer sie ist."
200,@195,"Lasst mich wissen,
wenn Ihr sie findet.
Ich muss eine Schuld begleichen!"
204,Gludin-Soldat,"Es sind die Untoten!
Das Relikt!
Wir müssen das Relikt schützen!"
205,Piratennautiker,"Übergebt das Relikt,
wenn Ihr nicht
zu Schaden kommen wollt!"
206,Jack,"Argh!
Ich mache Fischfutter
aus Euch!"
207,Helena,"Umkehren, weil
es zu gefährlich ist?
Wie könnte ich!"
208,@207,"In meiner Basis herrscht Chaos,
seit diese finstere
Person herkam!"
209,@207,"Ich muss einen
Blick auf dieses
Gesicht werfen!"
210,@207,"Ihr sorgt auch im Kampf
für meine Sicherheit,
richtig? Oder nicht ...?"
211,@112,"Anscheinend ist Eleanors
wichtige Freundin
verschwunden!"
212,@112,"Wir werden ihre Freundin
auf jeden Fall finden!
Teilen wir uns auf und schauen uns um!"
213,@112,"Hm? Der Geruch zieht
die Fledermäuse an!
Seid vorsichtig!"
214,@112,"Gehen wir erstmal zur Hauptstraße!
Ich hoffe wirklich,
es geht ihr gut ...!"
215,@112,"Sie sagte, sie suche
etwas Wertvolles,
also wird sie auf dem Friedhof sein!"
216,@112,"Gehen wir zum
nördlichen Friedhofsteil!"
217,Bewacher Byron,"Russel ist hier!
Folgt der Straße
und kommt her!"
218,@217,"Es ist eine große Erleichterung, 
dass Ihr uns bei diesem
Vermisstenfall geholfen habt."
219,@217,"Um ehrlich zu sein, mir graut davor,
finstere Orte allein
zu untersuchen!"
220,@112,"A-arghh!
W-was ist das?!"
221,@217,"Das ist gefährlich!
Leider müssen wir
uns um all das hier kümmern!"
222,@112,"Sucht nach einem
Mädchen Aymel,
wenn Ihr ankommt!"
223,@112,"Sie ist ein
Silberlicht-Söldner
und wurde vor einer Weile losgeschickt!"
224,Entf. Stadtbewohn.,"Ich möchte nicht
länger hierbleiben!
Lasst uns gehen!"
225,Ol Mahum-Soldat,"Schnüff schnüff! 
Mensch! Was meint 
Ihr da zu betreten?"
226,@186,"Ah! Ich bin hier!
Holt mich raus, miau!"
229,Ol Mahum-Offizier,"Die Stadtbewohner
sind dort gefangen! 
Tötet mich nicht! Schnüff schnüff ..."
230,Turnell,"Schnüff schnüff ... 
Eine kleine Ratte hat sich
reingeschlichen! Tötet Sie!"
231,Billy,"Habt Ihr
Schwächlinge Euch
hier versteckt? Hehe."
232,@231,"Es zu verstecken, hilft Euch nicht.
Übergebt das Heilige Artefakt!
Ihr Narren!"
233,Forde,"Ihr seid verrückt, wenn Ihr glaubt,
dass ich es mir noch mal stehlen lasse!
Versucht es doch!"
234,@231,"Sagt Auf Wiedersehen zu
Eurer unteren Hälfte!
Ihr Narr!"
236,@233,"Besiegt die
Knochensoldaten und
schließt Euch der Verstärkung an!"
1257,Plündererhauptmann Kanum,"Haha. Ich sehe, Ihr seid
alleine gekommen."
1258,@1257,"Ihr seid dümmer als
meine Männer!"
1259,@1257,"Nehmt ihn aus,
Jungs!"
1260,@1257,Ah! Ihr Volltrottel!
1261,@1257,"Ich kümmere mich
selbst um Euch!"
1262,@1257,"Wir werden Euch
alles abnehmen!
Hehehehe!"
1269,Bhan,"Axtträger blockieren
die Straße!"
1270,@1269,"Wir müssen zuerst
die Axtträger
besiegen."
1271,Bolt,Wir ... wir haben überlebt!
1284,Ol Mahum-Axtträger,"Der Gefangene
läuft weg!
Fangt den Gefangenen!"
2289,Varot,Venga ist da drüben! Weiter! Heute ist sein Todestag!
2290,@2289,Seid vorsichtig! Verflixt! Venga hat es gemerkt!
2291,@2289,"Da sind Vengas Lakaien!
Seid vorsichtig! Venga könnte entkommen!"
2292,@2289,"Gut! Wir haben Venga erwischt!
Erledigen müssen wir ihn noch!
Vorsicht mit dem Leder!"
2293,@2289,"Ich ... Ich meine, seid generell vorsichtig!"
2294,Nero,Wir haben den Ort des Kopfgelds gefunden! Beeilt Euch!!!
2295,@2294,"Schnappen wir uns das Kopfgeld und verschwinden, bevor noch mehr kommen!"
2296,@2294,Ah!! Sie haben uns bemerkt! Wir haben keine Wahl! Macht Euch kampfbereit!
2297,@2294,Besiegt sie schnell und kommt raus!
2298,@2294,Ca ...? Cacha?! Seid vorsichtig!
2299,Cacha,"Ihr wagt es, MEIN Eigentum anzufassen?!
Ich häute Euch bei lebendigem Leib!"
2300,@2299,Sterbt!
2301,Vinath,"Oh, oh. Unsere Kameraden kämpfen gegen ein Schreckgespenst! Bitte helft uns!"
2302,Einhasads Priester,Helft uns!!!
2303,@2302,Ihr Schweine!!!
2304,@2302,Seid geläutert!
2305,@2302,Es ist der G-Große Boss!
