Id,Name,Description
1,Tagesdungeon,Erhalte jeden Tag Stärkungsmaterialien.
2,Turm der Anmaßung,Höher und höher! Teste deine Grenzen!
3,Elite-Dungeon,Besiege mächtige Monster und erhalte tonnenweise ERF!
4,Entnahme-Dungeon,Sammle magische Kräuter zur Herstellung von Elixieren!
5,Tempelwächter,"Beschütze Heilige Artefakte an Schlüssel-
positionen für Vorräte!"
6,Adena-Dungeon,Stiehl Adena aus dem Unterschlupf eines gierigen Drachen!
7,ERF-Dungeon,"Kommt her, Brüder, wenn riesige ERF das ist, was ihr sucht!"
8,Beschwörungskreis,"Löse das Siegel auf dem Heiligen Artefakt
und erhalte Beschwörungssteine."
9,Veredelungsstein-Dungeon,"Zerstöre das gut geschützte Dimensionstor, um Belohnungen zu erhalten!"
10,Varkarons Spur,Varkarons Klingen werden schwere Blutungen hervorrufen.
11,Höhle der Ameisenkönigin,"Die Ameisenkönigin, tief in ihrer dunklen Höhle, ist eine Meisterin der Gifte."
12,Raum des Cruma-Kerns,"Der Wachmann des Cruma-Turms,
der die Gedanken kontrolliert."
13,Maliss,"Maliss, die Verführerin"
14,Altar des Wahnsinns,"Begib dich zum
Dorf des verrückten Orks!"
15,Schlafzimmer der Blutgräfin,"Finde die verschwundenen Giran-Soldaten
und die Gräfin!"
