MissionInfoId,TaskName,TaskDescription
3101,Tritt einem Klan bei oder erstelle einen,Tritt einem Klan bei oder erstelle einen {0} Mal ({1} / {2})
3102,Beim Klan einchecken,Führe {0} Klan-Check-in(s) durch. ({1} / {2})
3103,Klanladen,Tätige {0} Käufe im Klanladen ({1} / {2})
3104,Klan-Spende,Spende dem Klan {0} Adena. ({1} / {2})
3105,Klangruß,Grüße ein Klanmitglied {0} Mal. ({1} / {2})
3201,Klanerfolg,Fordere {0} Mal Klanerfolgsbelohnungen ein ({1} / {2})
3202,@3102,@3102
3203,@3103,@3103
3204,@3104,Spende {0} Blutzeugnis(se) an den Klan. ({1} / {2})
3205,@3105,@3105
3301,@3201,@3201
3302,@3102,@3102
3303,@3103,@3103
3304,@3104,Spende {0} Rotsternstein(e) an den Klan. ({1} / {2})
3305,@3105,@3105
3401,@3201,@3201
3402,@3102,@3102
3403,@3103,@3103
3404,@3104,@3104
3405,@3105,@3105
3501,@3201,@3201
3502,@3102,@3102
3503,@3103,@3103
3504,@3104,@3204
3505,@3105,@3105
3601,@3201,@3201
3602,@3102,@3102
3603,@3103,@3103
3604,@3104,@3304
3605,@3105,@3105
2101,Level von Ausrüstung erhöhen,Versuche {0} Mal einen Ausrüstungslevelaufstieg ({1}/{2})
2102,Aufwertungsversuch,Versuche {0} Mal Ausrüstung aufzuwerten ({1}/{2})
2103,Seelenkristalle verbessern,Verbessere Seelenkristalle {0} Mal ({1}/{2})
2104,Tempelwächter erledigen,Erledige Tempelwächter {0} Mal ({1}/{2})
2105,Ausrüstungsziehung,Versuche {0} Mal eine Ausrüstungsziehung ({1}/{2})
2201,@2101,@2101
2202,@2102,@2102
2203,@2103,@2103
2204,@2104,@2104
2205,@2105,@2105
2301,@2101,@2101
2302,@2102,@2102
2303,@2103,@2103
2304,@2104,@2104
2305,@2105,@2105
2401,@2101,@2101
2402,@2102,@2102
2403,Ausrüstung kombinieren,"Versuche {0} Mal, Ausrüstung zu kombinieren ({1}/{2})"
2404,@2104,@2104
2405,Subwerte ändern,Ändere die Subwerte deiner Ausrüstung {0} Mal ({1}/{2})
2501,@2101,@2101
2502,@2102,@2102
2503,@2403,@2403
2504,@2104,@2104
2505,@2405,@2405
2601,@2101,@2101
2602,@2102,@2102
2603,@2403,@2403
2604,@2104,@2104
2605,@2405,@2405
