Id,GipText
1,Es gibt insgesamt <FontBlue>6 Ausrüstungsstufen</>.
2,Du kannst <FontBlue>3 Mal täglich 1 normale Ausrüstungsbeschwörungskiste kostenfrei</> öffnen.
3,"Tippe auf die <FontBlue>Auto-Quest-Funktion</>, um Monster <FontBlue>automatisch zu jagen</>."
4,"Tippe auf die Weltkarte, um dich zu deinem <FontBlue>gewünschten Zielort</> zu <FontBlue>bewegen</>."
5,"Tippe einen <FontBlue>NPC oder ein Monster</> auf der Weltkarte an, um dich zu dem gewünschten Ort zu bewegen."
6,"Du kannst die <FontBlue>Häufigkeit der Tranknutzung</> im Reiter <FontBlue>""Kampf"" in den Einstellungen</> anpassen."
7,Du kannst anhand der <FontBlue>Waffe</> deine <FontBlue>Fertigkeiten nach deinen Wünschen anpassen</>.
8,"Die Anzahl der <FontBlue>Fertigkeitsslots</> erhöht sich auf <FontBlue>maximal 5</>, wenn du eine <FontBlue>seltene Fertigkeit</> lernst."
9,"Wenn du Ausrüstung <FontBlue>kombinierst</>, werden alle <FontBlue>Typen und Klassen</> <FontBlue>übertragen</>."
10,"Die <FontBlue>Klassentransfer</>-Quest ist verfügbar, sobald du <FontBlue>Level 31</> erreichst."
11,<FontBlue>Erhöhe deine Werte drastisch</> durch <FontBlue>Runenprägung</>.
12,Du kannst <FontBlue>Runen</> entsprechend der <FontBlue>Reihenfolge der Runenseiten prägen</>.
13,"Wenn <FontBlue>nahegelegene Runen</> auf <FontBlue>dasselbe Level</> hochgestuft werden, kannst du das <FontBlue>Level der Basis-Rune</> erhöhen."
14,Du kannst je nach dem <FontBlue>Gesamtlevel deiner Charaktere</> Bonuswerte erhalten.
15,<FontBlue>Seelenkristalle</> können nur in <FontBlue>Slots derselben Farbe</> ausgerüstet werden.
16,Die Anzahl der <FontBlue>Slots</> kann je nach <FontBlue>Gegenstandsstufe</> erhöht werden.
17,"Nutze den <FontBlue>Monsterkodex</>, um verschiedene <FontBlue>Charakter-Fertigkeitslevel</> zu erhöhen."
18,Du kannst <FontBlue>täglich kostenlos</> <FontBlue>1 Tagesdungeon</> betreten.
19,"Erhöhe deine <FontBlue>Ehrenstufe</> in der <FontBlue>Arena</>, um <FontBlue>weitere Werte</> zu erhalten."
20,Erhalte <FontBlue>Tägliche Ehrenpunkte</> und <FontBlue>Rangbelohnungen</> in der <FontBlue>Arena</>.
21,"Fange einen <FontBlue>Robusten Honigdachs</>, der in der <FontBlue>Entnahmegrube</> auftaucht, um <FontBlue>gesegnet</> zu werden und deine <FontBlue>Entnahmegeschwindigkeit zu erhöhen</>."
22,"Fange im Entnahme-Dungeon einen <FontBlue>Mandragora</>, um <FontBlue>Elixieressenzen</> zu erhalten."
23,"<FontBlue>Verwende</> aus Kräutern und Essenzen hergestellte <FontBlue>Elixiere</>, um deine <FontBlue>Werte dauerhaft zu erhöhen</>."
24,"<FontBlue>Klettere höher</> in den Turm der Anmaßung hinauf, um mehr <FontBlue>Runenfragmente</> zu erhalten!"
25,Erhalte auf jeder <FontBlue>5. Etage</> im <FontBlue>Turm der Anmaßung</> eine <FontBlue>besondere Belohnung</>.
26,Du kannst den Turm der Anmaßung <FontBlue>3 Mal täglich kostenlos</> <FontBlue>betreten</>.
27,Während einer Elite-Dungeon-<FontBlue>Bonuszeit</> erhältst du <FontBlue>ERF und deine Gegenstandsfundrate ist erhöht</>.
28,"Elite-Dungeons sind <FontBlue>Gebiete, in denen PK-Strafen gelten</>."
29,"Erobere Festen in Festenbelagerungen, um die Belohnungen zu erhalten."
31,"Jage Feldbosse, um besondere Belohnungen zu erhalten."
35,"Nur <FontBlue>Klans, die mindestens Lv. 4 sind</>, können an <FontBlue>Festenbelagerungen</> teilnehmen."
