Id,Title,Name
19,,Quelle der Erholung
31,,Westturm des Roten Teams
32,,Ostturm des Roten Teams
33,,Heiliges-Artefakt-Turm des Roten Teams
34,,Westturm des Blauen Teams
35,,Ostturm des Blauen Teams
36,,Heiliges-Artefakt-Turm des Blauen Teams
20,,@19
37,,@31
38,,@32
39,,@33
40,,@34
41,,@35
42,,@36
43,,Überarbeitung der Klassenänderung
44,,@43
45,,Windaltar
46,,Erdaltar
101,,Zentrales Belagerungslager
102,,Östliches Belagerungslager
103,,Westliches Belagerungslager
104,,Zentrales Torhaus
105,,Östliches Torhaus
106,,Westliches Torhaus
107,,Linker Verteidigungsturm des Haupttors
108,,Rechter Verteidigungsturm des Haupttors
109,,Linker Verteidigungsturm des Audienzraums
110,,Rechter Verteidigungsturm des Audienzraums
115,,Linker Verteidigungsturm des Feuertors
116,,Rechter Verteidigungsturm des Feuertors
117,,Linker Verteidigungsturm des Wassertors
118,,Rechter Verteidigungsturm des Wassertors
119,,Linker Turm des Heiligen-Artefakt-Raums
120,,Rechter Turm des Heiligen-Artefakt-Raums
121,,Linker Heiliges-Artefakt-Turm
122,,Rechter Heiliges-Artefakt-Turm
123,,Linke Falle
124,,Rechte Falle
201,Questhüter,Lloyd
202,Relikthüter,Feldheim
203,Trankhüter,Jackie
204,Festmahlhüter,Emma
205,Gemischtwarenhändler,Pan
211,,Kristall der Eintracht
212,,Feuerstelle
301,,Grüner Robuster Honigdachs
302,,Silberner Robuster Honigdachs
303,,Goldener Robuster Honigdachs
304,,Mandragora
305,,Gartenwächter
401,계정 창고지기,Nigel
402,Silberlicht-Söldner,Aymel
403,@205,@205
404,,Silberlicht-Söldner
405,,마그나딘 경비병
406,Meisterschmied,Mobart
407,,Zuseher
408,,@407
409,Schriftrollenhändler,Wayless
410,,Zauberernovize
411,Bibliothekar,Farjane
412,,Leser
413,,@412
414,Bäcker,Bremen
415,,Kind des Bäckers
416,,Hungriges Kind
417,,Gelangweiltes Kind
418,Waffenhändler,Pondiac
419,,Abenteurer
420,,@419
421,Angelhändler,Tegma
422,,Fischer
423,,Zauberer
424,Begleiter-Pfleger,Cuvi
425,,Junge Adlige
426,,Neugieriges Kind
427,,Romi
428,,Julie
429,,Alter Mann
430,,Aufgeregtes Kind
431,,Kind
432,,Schwarzbärjunges
433,,Erforscher
434,Grillhändler,Maduka
435,,Leah
436,,Mio
437,,Söldner-Offizier
438,,Arbeiter
439,Barde,Asiren
440,Teleporter,@409
441,Silberlicht-Söldneranführer,Hardin
442,@402,Theodore
443,Hausierende Karawanenanführerin,Felicia
444,@402,Russel
445,Führer,Chau
446,@445,Lyncia
447,@445,Seikan
448,Hüter des Privatlagers,Gattuso
449,미용사,Katrina
450,Festveranstalter,Lena
451,Roter Umschlag,Ada
452,Teleporter,Agatha
453,@452,Catherine
454,@452,Grace
455,@452,Hanna
456,Klanhüter,Hubert
457,Festenhüter,James
458,Burgbelagerungshüter,Harry
459,Hüterin der Klanhalle,Jasmine
460,Klan-Auktionator,Courtney
461,Auktionator,Dario
462,@401,Dixie
463,캐릭터 창고지기,Edith
464,Schlachtfeldhüter,Dustin
550,,Silberlicht-Söldner
551,,@550
552,,Silberlicht-Söldneroffizier
553,,Silberlicht-Söldnergelehrter
554,,@553
555,,@553
556,,Karawanenmitglied
557,,@556
558,,@556
559,,Gludio-Gesandter
560,,@559
561,,@559
562,,Dion-Gesandter
563,,@562
564,,@562
565,,Giran-Gesandter
566,,@565
567,,@565
568,,Oren-Gesandter
569,,@568
570,,@568
571,,Innadril-Gesandter
572,,@571
573,,@571
574,,Aden-Gesandter
575,,@574
576,,@574
577,,Elmor-Gesandter
578,,@577
579,,@577
580,,Gracia-Gesandter
581,,@580
582,,@580
583,,Elfen-Gesandte
584,,@583
585,,@583
586,,Dunkelelfen-Gesandter
587,,Familie des Mitglieds
588,,@587
589,,@587
590,,@587
591,,@587
1001,Zum Testen der Fertigkeit,Knurrer
1101,Zur Kampfbalance,Knurrer Lv. 1
1102,@1101,Knurrer Lv. 2
1103,@1101,Knurrer Lv. 3
1104,@1101,Knurrer Lv. 4
1105,@1101,Knurrer Lv. 5
1106,@1101,Knurrer Lv. 6
1107,@1101,Knurrer Lv. 7
1108,@1101,Knurrer Lv. 8
1109,@1101,Knurrer Lv. 9
1110,@1101,Knurrer Lv. 10
1111,@1101,Knurrer Lv. 11
1112,@1101,Knurrer Lv. 12
1113,@1101,Knurrer Lv. 13
1114,@1101,Knurrer Lv. 14
1115,@1101,Knurrer Lv. 15
1116,@1101,Knurrer Lv. 16
1117,@1101,Knurrer Lv. 17
1118,@1101,Knurrer Lv. 18
1119,@1101,Knurrer Lv. 19
1120,@1101,Knurrer Lv. 20
1121,@1101,Knurrer Lv. 21
1122,@1101,Knurrer Lv. 22
1123,@1101,Knurrer Lv. 23
1124,@1101,Knurrer Lv. 24
1125,@1101,Knurrer Lv. 25
1126,@1101,Knurrer Lv. 26
1127,@1101,Knurrer Lv. 27
1128,@1101,Knurrer Lv. 28
1129,@1101,Knurrer Lv. 29
1130,@1101,Knurrer Lv. 30
1131,@1101,Knurrer Lv. 31
1132,@1101,Knurrer Lv. 32
1133,@1101,Knurrer Lv. 33
1134,@1101,Knurrer Lv. 34
1135,@1101,Knurrer Lv. 35
1136,@1101,Knurrer Lv. 36
1137,@1101,Knurrer Lv. 37
1138,@1101,Knurrer Lv. 38
1139,@1101,Knurrer Lv. 39
1140,@1101,Knurrer Lv. 40
1141,@1101,Knurrer Lv. 41
1142,@1101,Knurrer Lv. 42
1143,@1101,Knurrer Lv. 43
1144,@1101,Knurrer Lv. 44
1145,@1101,Knurrer Lv. 45
1146,@1101,Knurrer Lv. 46
1147,@1101,Knurrer Lv. 47
1148,@1101,Knurrer Lv. 48
1149,@1101,Knurrer Lv. 49
1150,@1101,Knurrer Lv. 50
1151,@1101,Knurrer Lv. 51
1152,@1101,Knurrer Lv. 52
1153,@1101,Knurrer Lv. 53
1154,@1101,Knurrer Lv. 54
1155,@1101,Knurrer Lv. 55
1156,@1101,Knurrer Lv. 56
1157,@1101,Knurrer Lv. 57
1158,@1101,Knurrer Lv. 58
1159,@1101,Knurrer Lv. 59
1160,@1101,Knurrer Lv. 60
1161,@1101,Knurrer Lv. 61
1162,@1101,Knurrer Lv. 62
1163,@1101,Knurrer Lv. 63
1164,@1101,Knurrer Lv. 64
1165,@1101,Knurrer Lv. 65
1166,@1101,Knurrer Lv. 66
1167,@1101,Knurrer Lv. 67
1168,@1101,Knurrer Lv. 68
1169,@1101,Knurrer Lv. 69
