Id,Title,Desc
10031,Jetzt geben,
10032,Östliche Sprechende Insel,Schließe die Handlung der Östlichen Sprechenden Insel ab.
10033,Westliche Sprechende Insel,Schließe die Handlung der Westlichen Sprechenden Insel ab.
10034,Gludin-Straße,Schließe die Handlung der Gludin-Straße ab.
10035,Gludio-Ebenen,Schließe die Handlung der Gludio-Ebenen ab.
10036,Windawood-Anwesen,Schließe die Handlung des Windawood-Anwesens ab.
10037,Einöde,Schließe die Handlung der Einöde ab.
10038,Dion-Ebenen,Schließe die Handlung der Dion-Ebenen ab.
10039,Cruma-Sumpf,Schließe die Handlung des Cruma-Sumpfes ab.
10040,Gipfel des Missklangs,Schließe die Handlung des Gipfels des Missklangs ab.
10041,Kreischendes Heiligtum,Schließe die Handlung des Kreischenden Heiligtums ab.
11041,@10031,
11042,Giran-Reich,Schließe die Handlung des Giran-Reiches ab.
11043,Tödliche Nebelküste,Schließe die Handlung der Tödlichen Nebelküste ab.
11044,Teufelsinsel,Schließe die Handlung der Teufelsinsel ab.
11045,Ruhelose Totenstadt,Schließe die Handlung der Ruhelosen Totenstadt ab.
13001,@10031,Jetzt
13002,Lv. 10-Geschenk,Erreiche Level 10.
13003,Lv. 20-Geschenk,Erreiche Level 20.
13004,Lv. 30-Geschenk,Erreiche Level 30.
13005,Lv. 45-Geschenk,Erreiche Level 45.
13006,Lv. 70-Geschenk,Erreiche Level 70.
14001,@10031,@13001
14002,Lv. 80-Geschenk,Erreiche Level 80.
14003,Lv. 90-Geschenk,Erreiche Level 90.
14004,Lv. 100-Geschenk,Erreiche Level 100.
14005,Lv. 110-Geschenk,Erreiche Level 110.
14006,Lv. 120-Geschenk,Erreiche Level 120.
15001,@10031,@13001
15002,Lv. 125-Geschenk,Erreiche Level 125.
15003,Lv. 130-Geschenk,Erreiche Level 130.
15004,Lv. 135-Geschenk,Erreiche Level 135.
15005,Lv. 140-Geschenk,Erreiche Level 140.
15006,Lv. 145-Geschenk,Erreiche Level 145.
15007,Lv. 150-Geschenk,Erreiche Level 150.
15008,Lv. 155-Geschenk,Erreiche Level 155.
15009,Lv. 160-Geschenk,Erreiche Level 160.
15010,Lv. 165-Geschenk,Erreiche Level 165.
15011,Lv. 170-Geschenk,Erreiche Level 170.
15012,Lv. 175-Geschenk,Erreiche Level 175.
15013,Lv. 180-Geschenk,Erreiche Level 180.
10011,@10031,@13001
10012,1. Login,Login-Tag 1
10013,2. Login,Login-Tag 2
10014,3. Login,Login-Tag 3
10015,4. Login,Login-Tag 4
10016,5. Login,Login-Tag 5
10017,6. Login,Login-Tag 6
10018,7. Login,Login-Tag 7
10021,@10031,
10022,Erhalte SR-Waffe,Erhalte eine Stufe SR-Waffe.
10023,Erhalte SR-Kopfschutz,Erhalte einen Stufe SR-Kopfschutz.
10024,Erhalte SR-Rüstung,Erhalte ein Stufe SR-Rüstungsteil.
10025,Erhalte SR-Handschuhe,Erhalte Stufe SR-Handschuhe.
10026,Erhalte SR-Stiefel,Erhalte Stufe SR-Stiefel.
10027,Erhalte SR-Ring,Erhalte einen Stufe SR-Ring.
10028,Erhalte SR-Ohrring,Erhalte Stufe SR-Ohrringe.
10029,Erhalte SR-Halskette,Erhalte eine Stufe SR-Halskette.
1201,@10031,@13001
1202,Lv. 190-Geschenk,Erreiche Level 190.
1203,Lv. 200-Geschenk,Erreiche Level 200.
1204,Lv. 210-Geschenk,Erreiche Level 210.
1205,Lv. 220-Geschenk,Erreiche Level 220.
1206,Lv. 230-Geschenk,Erreiche Level 230.
1207,Lv. 240-Geschenk,Erreiche Level 240.
1208,Lv. 250-Geschenk,Erreiche Level 250.
1209,Lv. 260-Geschenk ,Erreiche Level 260.
12041,@10031,
12042,Nordwindplateau,Schließe die Handlung des Nordwindplateaus ab.
12043,Ewige Lande,Schließe die Handlung der Ewigen Lande ab.
12044,Erobertes Gebiet des Elfenbeinturms,Schließe die Handlung des Eroberten Gebietes des Elfenbeinturms ab.
