Id,PlaceName
1,Belebtes Tor
2,Dolmenruinen
3,Stadt der Sprechenden Insel
4,Zerrüttete Lande
5,Siegesobelisk
6,Befestigtes Lager
7,Einhovants Arkan-Akademie
8,Wald des Windes
9,Ruheloser Wald
10,Westlicher Spähposten
11,Elfenruinen
12,Gludin-Hafen
13,Gludin-Stadt
14,Windmühlenebenen
15,Stiller Friedhof
16,Räuberlager
17,Stadt der Burg von Gludio
18,Monstervernichtungsstätte
19,Verwüstetes Ackerland
20,"Wohnstätten der Maille-
Echsenmenschen"
21,Turek-Ork-Lager
22,Fellmere-See
23,Außenbezirk der Burg von Gludio
24,Burg von Gludio
25,Windawood-Ruinen
26,Schlachtfeld
27,Zuflucht des Gefallenen Elfen
28,Turek-Ork-Station
29,Staubschüssel
30,Einöde
31,Staris' Lagerplatz
32,Rotfelsbrücke
33,"Außenbezirk der Burg
von Dion"
34,Stadt der Burg von Dion
35,Holzfällergebiet
36,Dion-Agrargebiet
37,Unterschlupf
38,Dion-Ebenen
39,Gruselgelände
40,Archäologenlager
41,Ausgrabungsstätte
42,Sumpfland
43,Eingang zum Cruma-Turm
44,Schattenmoor
45,Stiller Wald
46,Ol Mahum-Versteck
47,Tanor-Außenposten
48,Konfliktbereich
49,Mandragora-Farm
50,Hinrichtungsgelände
51,Festung der Qualen
52,Zerfallene Festung
53,Verbrenner
54,Giran-Stadt
55,Gorgon-Blumengarten
56,Außenbezirk der Burg von Giran
57,Singender Wald
58,Lager der Langk-Echsenmenschen
59,Verlassener Platz
60,Burg von Giran
61,Handelsroute
62,Totenmanns Strand
63,Wald der Riesen
64,Giran-Hafen
65,Ol Mahum-Banditenversteck
66,Riesenaltar
67,Salzwindmoor
68,Goldhöhle
69,Hassgrube
70,Breka-Ork-Festung
71,Totenmanns Pass
72,Abgrund des Vergessens
73,Jägertal
74,Oren-Stadt
75,Außenbezirk der Burg von Oren
76,Echsenmoor
77,Timak-Außenposten
78,Plateau des Aufgebrachten Tanor
79,Gebrochenes Siegel
80,Sporenmeer
81,Hexenwald
82,Gesetzlosenwald
83,Wald des Bösen
84,Timak-Ork-Lager
85,Krater des Elfenbeinturms
90,Dämonischer Rift
91,Feste der Verzweiflung
92,Grab des Jägers
93,Land der Drachen
94,Antharas' Höhleneingang
95,Elfenruinen 1
96,Elfenruinen 2
97,Ameisennest 1
98,Ameisennest 2
99,Cruma-Turm 2
100,Cruma-Turm 3
101,Elfenbeinturm 1
102,Elfenbeinturm 2
103,Elfenbeinturm 3
104,Elfenbeinturm-Labor
105,Krone des Geheimniswaldes
106,Unterholz des Geheimniswaldes
107,Ort des Massakers im Geheimniswald
1001,Varkarons Spur
1002,Höhle der Ameisenkönigin
1003,Elfenbeinturm 1
30000004,Gludin-Hafen
30000005,Keller
30000006,Böser Beschwörungsstein - Innenbereich
30000007,Außenwelt
30000008,Cruma-Turm 2
30000009,Zakens Hölle
30000010,Zakens Hölle
30000011,Gebiet des Blutkönigs
30000012,Cruma-Turm 3
