Key,Value
1,Die Paketversion stimmt nicht mit der des Servers überein. App neustarten.
2,Spiel für Update neustarten.
3,Serverfehler (DB)
4,Serverfehler (LUA)
5,Exceltabellenfehler
6,Serverfehler (Parameter)
7,Serverfehler (Logik)
8,Serverfehler
9,Du bist nicht eingeloggt.
10,Du bist bereits eingeloggt.
11,"Es gibt keine Ziele, die du hinauswerfen könntest."
12,Unzulässige Authentifikation.
13,Unzulässige Charakterkennung.
14,Unzulässige Klasseninformation.
15,Unzulässiges Geschlecht.
16,Unzulässiger Name.
17,Unzulässige NPC-Information.
18,Unzulässige Spielerkennung.
19,Unzulässige Rasseninformation.
20,Unzulässige Fertigkeit.
21,Unzulässiges Fertigkeitsziel.
22,"Clan Leader has called from <FontGreen>[DungeonName]</>.
Accept?"
23,Du kannst nicht länger eintreten.
24,Es gibt keine Gerätebekennung.
25,Dieser Name wird bereits verwendet.
26,Fertigkeit wird gerade verwendet.
27,Du kannst dich nicht bewegen.
28,Du bist nicht tot.
29,Nicht genug MP.
30,Nicht genug Adena.
31,Du hast keinen Spieler ausgewählt.
32,Nicht genug Diamanten.
33,Charakterlevel ist zu niedrig.
34,Klassentransfer zur gleichen Kennung nicht möglich.
35,Transfer in diese Klasse nicht möglich.
36,"Klassentransfer nicht möglich, dein Level ist zu niedrig."
37,Unzulässiger Sicherheitscode.
38,Unzulässige Spielerkennung.
39,Unzulässige Kennung des Buff-Effekts.
40,Unzulässige Kennung der Ladeninformation.
41,Paket-Hash falsch. Dein Spiel läuft möglicherweise nicht richtig.
42,Unzulässige Kennung des Fertigkeitseffekts.
43,Unzulässige Erfolgskennung.
44,Ungültiges Runenlevel.
45,Nicht genug Runenfragmente.
46,Ungültige Runeninformation.
47,Levelaufstieg der Rune fehlgeschlagen.
48,Rune ist bereits auf max. Level.
49,Level der vorherigen Rune ist zu niedrig.
50,Dies übersteigt die maximale Adena-Kapazität.
51,Dies übersteigt die maximale Topas-Kapazität.
52,Dies übersteigt die maximale Diamanten-Kapazität.
53,@NotEnoughFreeDiamondStorage
54,Nicht genug Topase.
55,Nicht genug Treuepunkte für Ziehung.
56,Zurzeit tot.
57,"Nur 4-16 Zeichen erlaubt.
(2-8 für Koreanisch oder Chinesisch)"
58,"Leerzeichen sind nicht möglich.
Anderen Namen eingeben."
59,Nicht genug FP.
60,Deine Adena-Kapazität ist voll.
61,Deine Kapazität für Klanmünzen hat den Maximalwert erreicht.
62,Fülle erst die vorherige Runenseite.
63,Nicht genug Freundschaftspunkte.
64,Ungültiger Belohnungstyp.
65,Zurzeit betäubt.
66,Kampf ist im Gange.
67,Diese Klasse kann während der Charaktererstellung nicht ausgewählt werden.
68,Treuepunkte-Kapazität überschritten.
69,In der Warteschlange.
70,Du kannst keine Objekte benutzen.
71,Du kannst den entsprechenden Sicherheitscode zurzeit nicht benutzen.
72,"Dieser Inhalt ist nicht zugänglich.
Du kannst nicht eintreten."
73,Unzulässiger Basisklassenwert.
74,"Dieser Charakter ist ein Klanführer.
Der Charakter, der Klanführer ist, kann gelöscht werden, nachdem er die Führerschaft übertragen oder den Klan verlassen hat."
75,Nicht genug Blaue Diamanten.
76,Nicht genug Rote Diamanten.
77,Nicht auswählbares Ziel.
78,Chatten ist momentan nicht möglich.
79,"Eintreten nicht möglich, die Anzahl teilnehmender Spieler ist beschränkt."
80,Nicht genug Klan-Rotsternsteine.
81,Nach Klassentransfer verfügbar.
82,"Dieser Spitzname wurde vorab registriert.
Durchlaufe die Verifizierungsschritte, wenn du dich vorab registriert hast."
83,Ungültiger Spitzname.
84,Dieser Spieler wurde gelöscht.
85,Verborgene Welt.
86,Leerer Accountwert.
87,Leerer Token-Wert.
100,Deine Verbindung wurde aufgrund von Server-Wartungsarbeiten unterbrochen.
101,"Warten auf Wiederbelebung.
Wiederbelebung noch nicht möglich."
102,Kanal ist voll.
103,Zeitwechselbeschränkung.
201,Erfolg kann nicht abgeschlossen werden.
202,Es gibt keine Erfolge.
203,Du hast die Erfolgslevel-Belohnung bereits eingesammelt.
251,Ungültige Chatnachricht.
252,Unzulässige Chatnachrichtkennung.
253,Unzulässige Kennung zusätzlicher Chatinformation.
254,Falscher Chat-Typ.
255,Abklingzeitbeschränkung.
256,Bereits in der Chat-Sperrliste.
257,Nicht in der Chat-Sperrliste.
258,In Chat-Sperrliste eingetragen.
259,Der Empfänger hat dich blockiert.
301,Das ist die Abklingzeit der Fertigkeit.
302,Ersten Account erstellen.
303,Prüfen der vorher eingesetzten Fertigkeit fehlgeschlagen.
370,Unzulässige Check-in-Information.
371,Unzulässige Check-in-Informationskennung.
372,Unzulässige Check-in-Belohnungskennung.
373,Du hast bereits eingecheckt.
374,Du hast die Belohnung bereits eingesammelt.
375,Keine wöchentliche Check-in-Belohnungsperiode aktiv.
401,Unzulässige Gegenstandskennung.
402,@InvalidItemInfoId
403,Dieser Gegenstand kann nicht aufgewertet werden.
404,Nicht genug Altmaterial.
405,Nicht genug Gegenstände.
406,Kombinieren und Verbessern sind beide ab Lv. 5 verfügbar.
407,Nicht genug Aufwertungsrollen.
408,Weiteres Aufwerten unmöglich.
409,Aufwerten der Ausrüstung fehlgeschlagen.
410,"Ausrüstung wurde versiegelt.
Versiegelte Ausrüstung kann nicht aufgewertet werden."
411,Nur versiegelte Ausrüstung kann gelöst werden.
412,Diese Ausrüstung ist bereits ausgerüstet.
413,Diese Ausrüstung ist nicht ausgerüstet.
414,Nicht genug Slots im Inventar.
415,Ausgerüstete Ausrüstung kann nicht verwendet werden.
-1,Das Siegel diese Ausrüstung kann nicht gelöst werden.
417,Diese Ausrüstung kann nicht verbessert werden.
418,Diese Ausrüstung kann nicht weiter verbessert werden.
419,Diese Ausrüstung kann nicht mehr kombiniert werden.
420,Favorisierte Gegenstände können nicht verwendet werden.
421,"Die zu kombinierenden Materialien sind von unterschiedlichem Typ.
Du kannst nur Ausrüstung des gleichen Typs kombinieren."
422,"Die zu kombinierenden Materialien haben unterschiedliche Stufen.
Du kannst nur Ausrüstung der gleichen Stufe kombinieren."
423,Unzulässiger Subwert-Index.
424,Gegenstand nicht verwendbar.
425,Diese Ausrüstung kann nicht mehr verzaubert werden.
426,Dies ist keine Ausrüstung.
427,Nicht genug Materialien zum Verbessern.
428,Dein Inventar kann nicht weiter erweitert werden.
429,Unzulässige Materialgegenstandskennung.
