Id,Name,Desc,Desc2
1001,20.000 Adena,Erhalte 20.000 Adena.,
1002,42.000 Adena,Erhalte 40.000 Adena + 2.000 Bonus-Adena.,
1003,88.000 Adena,Erhalte 80.000 Adena + 8.000 Bonus-Adena.,
1004,184.000 Adena,Erhalte 160.000 Adena + 24.000 Bonus-Adena.,
1005,384.000 Adena,Erhalte 320.000 Adena + 64.000 Bonus-Adena.,
1006,800.000 Adena,Erhalte 640.000 Adena + 160.000 Bonus-Adena.,
3001,1 Besond. Ausr.-Kiste,"Erhalte (S-SR)-Ausrüstung!
Seltene Ausrüstung kann erhalten werden!",
3002,Ges. Schriftr.: Waffe,"Gesegnete Schriftrolle: Waffe.
Wird verwendet, um eine Waffe um 1-3 Levels aufzuwerten.",
3003,Ges. Schriftr.: Rüst.,"Gesegnete Schriftrolle: Rüstung.
Wird verwendet, um eine Rüstung um 1-3 Levels aufzuwerten.",
3004,Ges. Schriftr.: Acc.,"Gesegnete Schriftrolle: Accessoire.
Wird verwendet, um ein Accessoire um 1-3 Levels aufzuwerten.",
3005,Maphrs Segen,"Schützt davor, durch gescheitertes Aufwerten Aufwertungslevel zu verlieren.",
3006,St. SR-Limit-B.-Stein,Wird für einen Limit-Break eines Stufe-SR-Ausrüstungsteils verwendet.,
3007,Stufe S-Attributstein,"Wird verwendet, um ein Attribut eines Ausrüstungsteils aufzuwerten.",
3008,Stufe R-Attributstein,@3007,
3009,St. SR-Attributstein,@3007,
3011,1 Besond. Acc.-Kiste,Erhalte ein (S-SR)-Accessoire!,
4001,20 LP-Tränke,"Wird verwendet, um einige LP wiederherzustellen.",
4002,-10 %! 200 LP-Tränke,@4001,
4005,20 MP-Tränke,"Wird verwendet, um einige MP wiederherzustellen.",
4006,-10 %! 200 MP-Tränke,@4005,
4009,500 Seelenschüsse,"Wird verwendet, um die Waffe mit spirituellem Licht zu erfüllen und so ihren Schaden zu erhöhen.",
4010,-10 %! 5000 Seelens.,@4009,
4013,1 Megafon,"Ein Gegenstand, der verwendet wird, um am Weltchat teilzunehmen.",
4014,10 Megafone,@4013,
4018,@4013,@4013,
4019,@4014,@4013,
4100,Kruzifix der Reue,"Wird verwendet, um den Chaoswert um 30 zu verringern.
Du kannst Kreuze 3 Mal täglich verwenden.",
4101,50 Schriftrollen des Entkommens,Wird zum Teleportieren verwendet.,
4105,Nachthimmel-Feuerwerk,"Feuerwerk, das den Nachthimmel erleuchten kann. Sogar tagsüber.",
4106,Silberlicht-Feuerwerk,"Feuerwerk, das wie ein Stern am Himmel strahlt.",
4107,Wohlstands-Feuerwerk,"Feuerwerk, das das Streben nach Wohlstand symbolisiert.",
4108,Liebes-Feuerwerk,"Besonderes Feuerwerk, das einen erfolgreichen Antrag garantiert.",
5002,1 Hochstufige Ausr.,"Erhalte A-SR-Ausrüstung!
Seltene Ausrüstung kann erhalten werden!",
5003,10 Hochstufige Ausrüstungen (+1 Bonus),"Erhalte A-SR-Ausrüstung!
1 Ausrüstungsteil der Stufe S oder höher ist garantiert!
Seltene Ausrüstung kann erhalten werden!",
5014,@5002,"Erhalte A-SR-Ausrüstung!
Seltene Ausrüstung und handelbare Ausrüstung kann erhalten werden!",
5015,@5003,"Erhalte A-SR-Ausrüstung!
1 Ausrüstungsteil der Stufe S oder höher ist garantiert!
Seltene Ausrüstung und handelbare Ausrüstung kann erhalten werden!",
5101,1 Waffenstärkungskiste,"Waffen und Waffenlackierung (Stufe A-SR) verfügbar!
Seltene Ausrüstungserhaltungsrate erhöht!
Beim Erhalt seltener Ausrüstung können nur Waffen erhalten werden!",
5102,10 Waffenstärkungskisten (+1 Bonus),@5101,
5103,@5101,"(Stufe A – Stufe SR) Waffen und Waffenlackierungen möglich!
Schriftrolle der Alchemie - Gesegnete Schriftrolle: Waffe / Rüstung / Accessoire möglich!",
5104,@5102,"(Stufe A – Stufe SR) Waffen und Waffenlackierungen möglich!
Schriftrolle der Alchemie - Gesegnete Schriftrolle: Waffe / Rüstung / Accessoire möglich!
Kaufe 7 Mal, um eine garantierte rote Waffe Stufe S zu erhalten!",
5201,1 Rüstungsstärkungskiste,"Rüstung und Rüstungslackierung (Stufe A-SR) erhältlich!
Seltene Ausrüstungserhaltungsrate erhöht!
Beim Erhalt seltener Ausrüstung kann nur Rüstung erhalten werden!",
5202,10 Rüstungsstärkungskisten (+1 Bonus),@5201,
5301,10 Besondere Materialkisten (+1 Bonus),"Verschiedene Stärkungsmaterialien, wie Gesegnete Schriftrollen, Maphrs Segen, Umhangsgarn,
Wahnsinns-Scherben, Trishas Tränen und Seelenkristalle
möglich!",
10001,10 LP-Tränke,@4001,
10002,10 MP-Tränke,@4005,
10003,250 Seelenschüsse,@4009,
10017,1 Ausrüstungskiste,Ausrüstung bis Stufe A verfügbar!,
10020,Kreuz der Reue,"Verringert den Chaoswert eines Charakters.
Jede Verwendung verringert den Chaoswert um 3 und du kannst diesen Effekt 3 Mal täglich verwenden.",
10029,100 Rotsternsteine,"Verwenden, um Klan-Dungeons zurückzusetzen.",
13000,Lv. 20 Q.-Schrift. C,"Wird verwendet, um an einer (Stufe C-Sub-Quest) teilzunehmen.",
13001,Lv. 30 Q.-Schrift. C,@13000,
13002,Lv. 40 Q.-Schrift. C,@13000,
13003,Lv. 50 Q.-Schrift. C,@13000,
13004,Lv. 60 Q.-Schrift. C,@13000,
13005,Lv. 75 Q.-Schrift. C,@13000,
13006,Lv. 90 Q.-Schrift. C,@13000,
13007,Lv. 105 Q.-Schrift. C,@13000,
13008,Lv. 120 Q.-Schrift. C,@13000,
13009,Lv. 135 Q.-Schrift. C,@13000,
13010,Lv. 150 Q.-Schrift. C,@13000,
13011,Lv. 165 Q.-Schrift. C,@13000,
13100,Lv. 20 Q.-Schrift. A,"Wird verwendet, um an einer (Stufe A-Sub-Quest) teilzunehmen.",
13101,Lv. 30 Q.-Schrift. A,@13100,
13102,Lv. 40 Q.-Schrift. A,@13100,
13103,Lv. 50 Q.-Schrift. A,@13100,
13104,Lv. 60 Q.-Schrift. A,@13100,
13105,Lv. 75 Q.-Schrift. A,@13100,
13106,Lv. 90 Q.-Schrift. A,@13100,
13107,Lv. 105 Q.-Schrift. A,@13100,
13108,Lv. 120 Q.-Schrift. A,@13100,
13109,Lv. 135 Q.-Schrift. A,@13100,
13110,Lv. 150 Q.-Schrift. A,@13100,
13111,Lv. 165 Q.-Schrift. A,@13100,
13200,Lv. 20 Q.-Schrift. S,"Wird verwendet, um an einer (Stufe S-Sub-Quest) teilzunehmen.",
13201,Lv. 30 Q.-Schrift. S,@13200,
13202,Lv. 40 Q.-Schrift. S,@13200,
13203,Lv. 50 Q.-Schrift. S,@13200,
13204,Lv. 60 Q.-Schrift. S,@13200,
13205,Lv. 75 Q.-Schrift. S,@13200,
13206,Lv. 90 Q.-Schrift. S,@13200,
13207,Lv. 105 Q.-Schrift. S,@13200,
13208,Lv. 120 Q.-Schrift. S,@13200,
13209,Lv. 135 Q.-Schrift. S,@13200,
13210,Lv. 150 Q.-Schrift. S,@13200,
13211,Lv. 165 Q.-Schrift. S,@13200,
30001000,60 + 60 Diamanten,"60 Blaue Diamanten
60 Rote Diamanten",
30001010,Nur 1x! 2x 90 Diam.,"90 Blaue Diamanten
90 Rote Diamanten
2 Topase",
30001020,Nur 1x! 2x 160 Diam.,"160 Blaue Diamanten
160 Rote Diamanten
4 Topase",
30001030,Nur 1x! 2x 340 Diam.,"340 Blaue Diamanten
340 Rote Diamanten
8 Topase",
30001040,80 + 80 Diamanten,"80 Blaue Diamanten
80 Rote Diamanten",
30001050,700 Diamanten (20 %),"700 Blaue Diamanten
16 Topase",
30001060,1.080 Diamanten (20 %),"1.080 Blaue Diamanten
25 Topase",
30001070,1.900 Diamanten (10 %),"1.900 Blaue Diamanten
45 Topase",
30001080,1.900 Diamanten (20 %),@30001070,
30001090,4.000 Diamanten (10 %),"4.000 Blaue Diamanten
100 Topase",
30001100,4.000 Diamanten (20 %),@30001090,
30001110,4.000 Diamanten (30 %),@30001090,
30001120,4.000 + 2.000 Diamanten,"4.000 Blaue Diamanten
2.000 Rote Diamanten",
30001130,1.080 + 540 Diamanten,"1.080 Blaue Diamanten
540 Rote Diamanten",
30001140,1.080 + 108 Diamanten,"1.080 Blaue Diamanten
108 Rote Diamanten",
30001150,1.080 + 216 Diamanten,"1.080 Blaue Diamanten
216 Rote Diamanten",
30001160,1.900 + 190 Diamanten,"1.900 Blaue Diamanten
190 Rote Diamanten",
30001170,1.900 + 380 Diamanten,"1.900 Blaue Diamanten
380 Rote Diamanten",
30001180,4.000 + 400 Diamanten,"4.000 Blaue Diamanten
400 Rote Diamanten",
30001190,4.000 + 800 Diamanten,"4.000 Blaue Diamanten
800 Rote Diamanten",
30001200,Nur 1x! 30 + 60 Diam.,"30 Blaue Diamanten
60 Rote Diamanten
1 Topas",
30002000,90 Diamanten,"90 Blaue Diamanten
2 Topase",
30002010,160 Diamanten,"160 Blaue Diamanten
4 Topase + 8 Topase",
30002020,340 Diamanten,"340 Blaue Diamanten
8 Topase + 16 Topase",
30002030,700 Diamanten,"700 Blaue Diamanten
16 Topase + 32 Topase",
30002040,1080 Diamanten,"1.080 Blaue Diamanten
25 Topase + 50 Topase",
30002050,1900 Diamanten,"1.900 Blaue Diamanten
45 Topase + 90 Topase",
30002060,4000 Diamanten,"4.000 Blaue Diamanten
100 Topase + 200 Topase",
30002070,60 Diamanten,"60 Blaue Diamanten
1 Topas",
30002080,@30002010,"160 Blaue Diamanten
4 Topase",
30002090,@30002020,"340 Blaue Diamanten
8 Topase",
30002100,@30002030,@30001050,
30002110,@30002040,@30001060,
30002120,@30002050,@30001070,
30002130,@30002060,@30001090,
30003000,Tägliches Diamantenpaket I (28 Tage),"Erhalte sofort 1.200 Rote Diamanten!
Täglich 120 Rote Diamanten!
+10 Topase nach jeder 8. Tagessammlung!",Insgesamt 4.560 Rote Diamanten!
30003100,Tägliche Adena I (28 Tage),"50.000 Adena sofort!
Täglich 10.000 Adena!
+ 40 Rote Diamanten zu jeder 8. Sammlung!",Insgesamt 330.000 Adena!
30003101,Tägliche Adena II (28 Tage),"Sofort 160.000 Adena!
30.000 Adena täglich!
+ 80 Rote Diamanten zu jeder 8. Tagessammlung!",Insgesamt 1 Millionen Adena!
30004000,Selt. Exkl. Ausrüstungskiste Stufe S,Erhalte 1 Seltene Exklusive Ausrüstungskiste Stufe S.,
30004001,Hochstufige Accessoirekiste,Erhalte 1 Hochstufige Accessoirekiste.,
30004002,SR-Limit-Break-Stein,Erhalte 1 Stufe SR-Limit-Break-Stein.,
30004003,R-Attributstein,Erhalte 1 Stufe R-Attributstein.,
30004004,@3002,@3002,
30004005,@3003,@3003,
30004006,@3004,@3004,
30004007,Gesegnete-Schriftrollen-Zufallskiste,Erhalte eine zufällige Gesegnete Schriftrolle.,
30004008,3 Gesegnete-Schriftrollen-Zufallskisten,@30004007,
30004100,Bindende Hornflöte (Silberheiliger),Erhalte 1 Bindende Hornflöte (Silberheiliger).,
30004101,Bindende Hornflöte (Kukurin),Erhalte 1 Bindende Hornflöte (Kukurin).,
30004102,10 Limit-Break-Energie,Erhalte 10 Limit-Break-Energie.,
30004103,10 Attribut-Energie,Erhalte 10 Attribut-Energie.,
30004104,Alch. Schriftr. - Stufe S-Attributstein,Erhalte 1 Alchemie Schriftrolle - Stufe S-Attributstein.,
30004105,Alch. Schriftr. - Stufe R-Attributstein,Erhalte 1 Alchemie Schriftrolle - Stufe R-Attributstein.,
30004106,Alch. Schriftr. - Stufe SR-Attributstein,Erhalte 1 Alchemie Schriftrolle - Stufe SR-Attributstein.,
30004107,Alch. Schriftr. - Stufe SR-LB-Stein,Erhalte 1 Alchemie Schriftrolle - Stufe SR-Limit-Break-Stein.,
30004108,Alch. Schriftr. - Ges. Schriftr.: Waffe,Erhalte 1 Alchemie Schriftrolle - Gesegnete Schriftrolle: Waffe.,
30004109,Alch. Schriftr. - Ges. Schriftr.: Rüst.,Erhalte 1 Alchemie Schriftrolle - Gesegnete Schriftrolle: Rüstung,
30004110,Alch. Schriftr. - Ges. Schriftr.: Acc.,Erhalte 1 Alchemie Schriftrolle - Gesegnete Schriftrolle: Accessoire,
30004111,200 Schwarzbär-Beschw.-fragm.,"Binden, um einen Schwarzbär-Beschwörungsstein herzustellen.",
30004112,150 Silberheiliger-Beschw.-fragm.,"Binden, um einen Silberheiliger-Beschwörungsstein herzustellen.",
30004113,100 Kukurin-Beschw.-fragm.,"Binden, um einen Kukurin-Beschwörungsstein herzustellen.",
30004114,@30004104,@30004104,
30004115,@30004105,@30004105,
30004116,@30004108,@30004108,
30004117,@30004109,@30004109,
30004118,@30004110,@30004110,
30004119,5 Schwarzbär-Beschwörungssteinfragmente,@30004111,
30004120,5 Silberheiliger-Beschwörungssteinfragm.,@30004112,
30004121,5 Kukurin-Beschwörungssteinfragmente,@30004113,
30004122,Alchemie-SR - ANG-Elixieressenz,"In diesem Dokument steht die Formel zur Herstellung von ANG-Elixieressenzen. Binde Kräuter, um ANG-Elixieressenzen zu erhalten.",
30004123,Alchemie-SR - VER-Elixieressenz,"In diesem Dokument steht die Formel zur Herstellung von VER-Elixieressenzen. Binde Kräuter, um VER-Elixieressenzen zu erhalten.",
30004124,Alchemie-SR - LP-Elixieressenz,"In diesem Dokument steht die Formel zur Herstellung von LP-Elixieressenzen. Binde Kräuter, um LP-Elixieressenzen zu erhalten.",
30004125,Alchemie-SR - MP-Elixieressenz,"In diesem Dokument steht die Formel zur Herstellung von MP-Elixieressenzen. Binde Kräuter, um MP-Elixieressenzen zu erhalten.",
30004126,50 Fortschrittssteine,"Verwende Fortschrittssteine, um deine Reitbegleiter zu stärken.",
30004200,Gesegnete-Schriftrolle-Auswahlkiste,Erhalte 1 Gesegnete-Schriftrolle-Auswahlkiste.,
30004201,3 Verbesserungsstein-Auswahlkisten,"Wird verwendet, um einen Verbesserungsstein auszuwählen und zu erhalten.",
30004202,3 Verbesserungsstein-Zufallskisten,"Wird verwendet, um einen zufälligen Verbesserungsstein zu erhalten.",
30004203,3 Elixieressenz-Auswahlkisten,"Wird verwendet, um eine Elixieressenz auszuwählen und zu erhalten.",
30004204,3 Elixieressenz-Zufallskisten,"Wird verwendet, um eine zufällige Elixieressenz zu erhalten.",
30004205,@3005,@3005,
30004206,10 Aufwertungsrollen-Auswahlkisten,"Wird verwendet, um eine Aufwertungsrolle auszuwählen und zu erhalten.",
30004207,10 Aufwertungsrollen-Zufallskisten,"Wird verwendet, um eine zufällige Aufwertungsrolle zu erhalten.",
