Name,AlarmDesc
Bald verfügbar,
Event,Angebote mit beschr. Auflage im Laden verf.
Bald verfügbar,
Stärkung I,"Sieh dir die Gegenstände an, die im Angebot sind."
Bald verfügbar,
Reitbegleiterpaket,Angebote mit beschr. Auflage im Laden verf.
Bald verfügbar,
Stärkung II,"Sieh dir die Gegenstände an, die im Angebot sind."
Empfohlen,
"Beschwörungs-
kisten",
Verbrauchsgüter,
Schriftrolle,
Diamanten,
Adena,
"Freundschafts-
punkte",
Topas,
Treuepunkte,
Stärkungsdiamant I,
Stärkungsdiamant II,
Stärkungsdiamant III,
Handlung I,
Handlung II,
Diamanten I,
Login-Diamant,
Adena I,
Adena II,
Update-Feier,
Abenteurer,
Ausrüstung,
Charakter,
Klan,
Reitbegleiter,
Souvenir,
