Id,TitleName
1001,Herrscher von Gludio
1002,Herrscher von Dion
1003,Herrscher von Giran
1004,Herrscher von Oren
2001,Meister der Gludin-Straße
2002,Meister der Gludio-Ebenen
2003,Meister des Windawood-Anwesens
2004,Meister der Einöde
2005,Meister der Dion-Ebenen
2006,Meister der Cruma-Marschen
2007,Meister des Gipfels des Missklangs
2008,Meister des Kreischenden Heiligtums
2009,Meister des Giran-Reiches
2010,Meister der Tödlichen Nebelküste
2011,Meister der Teufelsinsel
2012,Meister der Ruhelosen Totenstadt
2013,Meister des Drachentals
2014,Meister des Nordwindplateaus
2015,Meister der Ewigen Lande
2016,Meister des Elfenbeinturms
2017,Meister der Dolmenruinen
2018,Meister der Zerrütteten Lande
2019,Meister des Siegesobelisken
2020,Meister des Befestigten Lagers
2021,Meister der Flüsternden Wälder
2022,Meister des Ruhelosen Waldes
2023,Meister des Westlichen Spähpostens
2024,Meister der Elfenruinen
