Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Hafenmeisterin Psyche,"Willkommen. Seid Ihr das erste Mal auf der Sprechenden Insel? Wenn Ihr hier drückt, werden Quests automatisiert."
4001,,
4002,Söldnerhauptmann Douglas,Die automatisierte Quest stoppt bei Abschluss. Tippen startet die nächste Quest.
6001,@4002,Okay. Ihr habt Talent. Versuchen wir es mit noch einer Quest.
11001,Wachhauptmann Harold,Ihr findet alle Eure Gegenstände in Eurem Inventar.
11002,,
11003,@11001,Mit Auto-Ausrüsten könnt Ihr schnell und einfach die beste Ausrüstung anlegen.
11004,,
11005,@11001,"Es ist eine nützliche Funktion für neue Abenteurer wie Euch, also vergesst sie nicht."
11006,,
12001,Feldheim,<YellowBold>Seelenschüsse</> ermöglichen stärkere Angriffe.
12002,@12001,Ihr solltet Seelenschüsse zunächst automatisch einsetzen!
12003,@12001,"Seelenschüsse werden nur dann verwendet, <YellowBold>wenn Ihr angreift</>."
12004,@12001,Zu allen anderen Zeiten werden sie nicht angerührt.
12005,@12001,Ihr möchtet sie nicht automatisch benutzen? Dann tippt einfach nochmal.
12006,@12001,"<YellowBold>Seelenschüsse erhaltet Ihr im Laden</>, also legt Euch einen Vorrat zu!"
12007,,
13001,Niah,Sehen wir uns nun die Tagesdungeons an.
13002,@13001,Den Zugang findet Ihr im Dungeons-Menü.
13003,@13001,Tippt dies an.
13004,@13001,Seht Ihr all die Dungeons?
13005,@13001,"Wenn Ihr weiter übt, werdet Ihr sie Euch bald vornehmen können!"
13006,@13001,Sehen wir uns jetzt erst mal den Tagesdungeon an.
13007,@13001,In <YellowBold>Tagesdungeons</> <YellowBold>erscheinen jeden Tag andere Monster</>.
13008,@13001,"Besiegt sie, um <YellowBold>besondere Belohnungen</> zu erhalten!"
13009,@13001,"Stärkere Monster geben Euch bessere Belohnungen, also arbeitet daran, selbst auch stärker zu werden."
13010,@13001,"Los, geht mal rein!"
13011,,
13012,,
13013,,
13014,@13001,"Ihr könnt Auto-Kampf nutzen, wenn Ihr Hilfe braucht."
13015,,
13016,,
13017,,
13018,@13001,Wow! Da habt Ihr aber ein wirklich starkes Monster erledigt!
13019,,
13020,@13001,"Ihr habt nur ein paar Zutritte am Tag, aber macht Euch keine Sorgen! Die Zutritte werden <YellowBold>täglich zurückgesetzt</>."
13021,,
13022,,
13023,@13001,"<YellowBold>Es zählt nicht als Zutritt</>, wenn Ihr es nicht schafft, also traut Euch ruhig!"
13024,@13001,Ihr habt Euch richtig bemüht. Nächstes Mal klappt es!
13025,,
14001,Archon Daniel,"Zeit, einen Blick auf Eure Erfolge zu werfen und Eure Belohnungen einzufordern."
14002,@14001,Zuerst wählt Ihr die Herausforderungen.
14003,@14001,Dann geht Ihr zu den Erfolgen.
14004,@14001,Lasst Eure <YellowBold>Erfolge</> anerkennen und erhaltet <YellowBold>Belohnungen</> dafür.
14005,@14001,"Wie es aussieht, habt Ihr hart gearbeitet. Ihr habt schon einige <YellowBold>Erfolge</> abgeschlossen."
14006,@14001,"Los, holt Euch die Belohnung."
14007,,
14008,@14001,Gut gemacht. Ihr werdet <YellowBold>Titel und Fähigkeiten</> für Eure verdienstvollen Taten erhalten.
14009,@14001,"Schaut also öfter mal rein, um auf dem Laufenden zu bleiben."
14010,@14001,Arbeitet hart und Ihr werdet schnell für Eure Bemühungen belohnt werden.
14011,@14001,"Je höher Euer Erfolgslevel ist, desto stärker werden Eure Fähigkeiten - und Ihr bekommt Vorratsgegenstände als tägliche Belohnung."
