Id,LeagueName
400,Not placed
401,Bronze {LeagueStep}
402,@401
403,@401
404,Silver {LeagueStep}
405,@404
406,@404
407,Gold {LeagueStep}
408,@407
409,@407
410,Platinum {LeagueStep}
411,@410
412,@410
413,Diamond {LeagueStep}
414,@413
415,@413
416,Master
417,Grand Master
418,Legend
500,@400
501,@401
502,@401
503,@401
504,@404
505,@404
506,@404
507,@407
508,@407
509,@407
510,@410
511,@410
512,@410
513,@413
514,@413
515,@413
516,Master {LeagueStep}
517,@516
518,@516
519,Grand Master {LeagueStep}
520,@519
521,@519
522,@418
