ID,SkillName,SkillDesc
1,Target Identified,"Selects a <YellowBold>target</> from among one of the nearby players.
Because this skill is very quick,
it cannot be dodged if they are within range.

The target will be <YellowBold>stunned</> and will be unable to move."
2,Axe Throw,"Throws an axe at the target to deal <YellowBold>Fixed Damage</>.
<YellowBold>Damage dealt will be distributed</>
among all targets who were hit by the axe.
Targets hit by the axe will be affected by <YellowBold>Embers</>.

<YellowBold>Embers</> will explode after a period of time,
and <YellowBold>Knock Down</> targets affected by them.
<YellowBold>Flames</> will be created underneath the targets,
and deal additional damage."
3,Rupture,Deals damage to all targets within <YellowBold>frontal range</>.
4,Lunatic Blade,"Deals damage to all frontal targets in a fan-shape.
Attacked targets will be affected by <YellowBold>Ignition</>.

Targets affected by <YellowBold>Ignition</>
will receive <YellowBold>additional damage per 1 stack of Ignition</>
when <RedBold>Paagrio’s Ember</> <YellowBold>explodes</>.
Up to 5 Ignition stacks."
5,Downfall,"<RedBold>Ramog</> moves to the center,
then deals AoE damage <YellowBold>270 degrees around him</>.
Once used, this ability <YellowBold>activates 4 times consecutively</>.
Each time it activates, the direction is changed.
Targets hurt by Downfall are affected by <YellowBold>Ignition</>.

<YellowBold>Ignited</> targets
will receive <YellowBold>additional damage per 1 stack of Ignition</>
when <RedBold>Paagrio’s Ember</> <YellowBold>explodes</>.
Up to 5 Ignition stacks."
6,Prepare Explosion,"<RedBold>Ramog</> moves to the center,
then summons <RedBold>Paagrio’s Ember</>.

The summoned <RedBold>Paagrio’s Ember</> moves toward <RedBold>Ramog</>,
 and a great explosion occurs as soon as it comes in contact with <RedBold>Ramog</>
causing devastating damage to everything on the screen.

Targets affected by <YellowBold>Ignition</>,
<YellowBold>will be damaged proportionally to the Ignition stacks applied to them</>."
7,@1,@1
8,@2,@2
9,@3,@3
10,@4,@4
11,@5,@5
12,@6,@6
13,@1,@1
14,@2,"Throws an axe at the target to deal <YellowBold>Fixed Damage</>.
<YellowBold>Damage dealt will be distributed</>
among all targets who were hit by the axe.
Targets hit by the axe will be affected by <YellowBold>Embers</>.

<YellowBold>Embers</> will explode after a period of time,
and <YellowBold>Knock Down</> targets affected by them.
<YellowBold>Flames</> will be created underneath the targets,
and deal additional damage.

<YellowBold>- There is a small chance</>
that he will throw his axe <YellowBold>2 consecutive times</>."
15,@3,@3
16,@4,@4
17,@5,"<RedBold>Ramog</> moves to the center,
then deals AoE damage <YellowBold>270 degrees around him</>.
Once used, this ability <YellowBold>activates 4 times consecutively</>.
Each time it activates, the direction is changed.
Targets hurt by Downfall are affected by <YellowBold>Ignition</>.

<YellowBold>Ignited</> targets
will receive <YellowBold>additional damage per 1 stack of Ignition</>
when <RedBold>Paagrio’s Ember</> <YellowBold>explodes</>.
Up to 5 Ignition stacks.

<YellowBold>- Depending on Ramog’s health</>,
<YellowBold>Ramog’s attack use a greater variety angles.</>"
