Id,NpcName,DialogMessage
1001,,
1002,,
2001,,
2002,,
3001,,
3002,Port Master Psyche,"Welcome. Is this your first time on Talking Island? If you press here, then the quest will be automated."
4001,,
4002,Mercenary Captain Douglas,The automated quest stops once the quest is complete. Tap to begin the next quest.
6001,@4002,Okay. You're a natural. Let's try another quest.
11001,Guard Captain Harold,All of your items can be found in your Inventory.
11002,,
11003,@11001,Auto Equip is a quick and easy way to equip your best equipment.
11004,,
11005,@11001,"It’s a useful feature for new adventurers like yourself, so make good use of it."
11006,,
12001,Feldheim,<YellowBold>Soulshots</> allow for stronger attacks.
12002,@12001,You should start by using Soulshots automatically!
12003,@12001,Soulshots are only used <YellowBold>when you attack</>.
12004,@12001,They stay safe and sound with you at all other times.
12005,@12001,Don’t want to use them automatically? Just tap again.
12006,@12001,"<YellowBold>Soulshots are available in the Shop</>, so stay well stocked!"
12007,,
13001,Niah,Let’s learn about Daily Dungeons.
13002,@13001,You can find the entrance in the Dungeons menu.
13003,@13001,See all the different dungeons?
13004,@13001,"If you keep up with your training, you’ll be able to tackle them soon!"
13005,@13001,"For now, let’s check out the Daily Dungeon."
13006,@13001,"In <YellowBold>Daily Dungeons</>, <YellowBold>different monsters appear every day</>."
13007,@13001,Defeat them to acquire <YellowBold>special rewards</>!
13008,@13001,"Stronger monsters drop better rewards, so work on becoming stronger yourself."
13009,@13001,Go on - head inside!
13010,,
13011,,
13012,,
13013,@13001,Auto-Battle is available if you need help.
13014,,
13015,,
13016,,
13017,@13001,Wow! That was one powerful monster you knocked out!
13018,,
13019,@13001,"You can only enter a few times per day, but don’t worry! The count <YellowBold>resets daily</>."
13020,,
13021,,
13022,@13001,"<YellowBold>It won’t count as an entry</> if you fail, so don’t be afraid to challenge yourself!"
13023,@13001,That was a solid effort. Better luck next time!
13024,,
14001,Archon Daniel,Time to check your achievements and claim rewards.
14002,@14001,The first step is to enter Challenges.
14003,@14001,That will lead you to Achievements.
14004,@14001,Have your <YellowBold>achievements</> acknowledged and receive <YellowBold>rewards</> for them.
14005,@14001,It seems you’ve been working hard. You’ve already completed some <YellowBold>achievements</>.
14006,@14001,Go ahead and claim this reward.
14007,,
14008,@14001,Well done. You will acquire <YellowBold>titles and abilities</> based on your meritorious deeds.
14009,@14001,So stop by often to stay updated.
14010,@14001,"Keep working hard, and your efforts will be quickly rewarded."
14011,@14001,"The higher your achievement level, the stronger your abilities - and you’ll receive supply items as daily rewards."
14012,@14001,"Be mindful of <YellowBold>the different kinds of achievements</> to complete, and don’t ignore any of them."
14013,,
15001,Merchant Anais,The Shop is full of helpful supplies.
15002,@15001,Like this one right here. Remember what it looks like - it’ll come in handy later on!
15003,@15001,What are you waiting for? Open it up!
15004,,
15005,@15001,Wow! That’s a fantastic piece of equipment!
15006,@15001,Do you know how to make equipment stronger? You <YellowBold>level it up</>!
15007,@15001,"You’ll get <YellowBold>one free High-grade Equipment Box daily</>, so don’t forget to stop by!"
15008,,
16001,Ferron the Blacksmith,You came to the right man if you want to <YellowBold>level up</> equipment. I’m the best blacksmith on Talking Island!
16002,@16001,"Here, take this equipment. It should be useful for you."
16003,@16001,Let’s take a look at the equipment you received.
16004,@16001,It should be in the armor tab.
16005,@16001,Go on and select the equipment I gave you.
16006,@16001,You can level up equipment at the Forge. Follow me.
16007,@16001,There are <YellowBold>various ways to strengthen equipment</> using the Forge.
16008,@16001,Select Level Up.
16009,@16001,<YellowBold>Level up</> uses other equipment as material to <YellowBold>improve</> the equipment you primarily use.
