Index,Name
1,Stun
2,Burn
3,Soulshot Test
4,@2
5,Poison
6,@5
7,Overheat
8,Level Up Effect
9,Yes Test
10,Currency Test
11,HP Test
12,Mana Shield Test
13,No Test
14,Curse Test
15,Bleed Test
16,Burn Test
17,Stun Test
18,Provoke Test
19,Absolute Shield
20,Invincibility Buff
21,Durability Buff
22,Smart Buff
23,Ratel Speed
24,Ratel Extraction Speed
25,Ratel Extraction Amount
26,Garden Sentry
27,Soulshot Start-up Effect
28,HP Potion Usage Effect
29,MP Potion Usage Effect
30,Class Transfer Effect
31,@30
32,Field Sanctuary Buff 1
33,Field Sanctuary Buff 2
34,Field Sanctuary Buff 3
35,Field Sanctuary Buff 4
36,Field Sanctuary Buff 5
37,Varcarlo Shield
38,Berserk Varcarlo
39,Berserk Varcarlo (Weapon)
40,"Lord’s Favor 1 (HP, MP)"
41,"Lord’s Favor 2 (Exp., Core)"
42,"Lord’s Favor 3 (Adena, Item)"
43,Lord’s Favor Camera
44,Max MP Increase
45,Max HP Increase
46,Def. Increase
47,Speed Increase
48,Atk. Spd. Increase
49,Atk. Increase
50,Berserk Queen Ant
51,Ant Time Bomb 1
52,Ant Time Bomb 2
53,Ant Time Bomb 3
54,Ant Time Bomb 4
55,Ant Time Bomb 5
56,Ant Time Bomb 6
57,Cruma Core: Poison
58,Cruma Core: Silence
59,Cruma Core: Mind Control
60,Queen Ant Barrier
61,Crystal of Unity: Basic
62,Crystal of Unity: Lv. 1
63,Crystal of Unity: Lv. 2
64,Crystal of Unity: Lv. 3
65,Mount/Unmount Effect
66,Marsha’s Skill Effect
67,Clan Hall Potion Usage Effect
68,Clan Hall Potion: Morale Increase Potion
69,Clan Hall Potion: Ice Storm Potion
70,Clan Hall Potion: HP Regen Increase Potion
71,Clan Hall Potion: Anti-Magic Potion
72,Binding
73,Melee Damage Aura (Timer)
74,Water Crystal Barrier
75,Party of Fury
76,Overpower
77,Increase Skill Damage
78,@73
79,@74
80,@75
81,@76
82,Pierced Wound
83,Marlox_Demon’s Fatigue
84,Poison Strike
