AchievementLevel,Name
0,Aspirante a aventurero
1,Aventurero novato
2,Aventurero común
3,Aventurero diligente
4,Aventurero de voluntad férrea
5,Aventurero potente
6,Mercenario común
7,Mercenario tenaz
8,Mercenario valiente
9,Mercenario persistente
10,Mercenario con agallas
11,Soldado orgulloso
12,Soldado valiente
13,Soldado de élite robusto
14,Luchador resistente
15,Guerrero habilidoso
16,Luchador avispado
17,Luchador feroz
18,Luchador robusto
19,Caballero tranquilo
20,Caballero decidido
21,Caballero honorable
22,Barón sabio
23,Barón inteligente
24,Barón altanero
25,Barón atrevido
26,Barón duro
27,Barón temerario
28,Marqués silencioso
29,Marqués poderoso
30,Marqués noble
31,Rastreador implacable
32,Custodio avispado
33,Contrincante honorable
34,Vencedor radiante
35,Comandante tempestad
36,Señor demostrado
37,Salvador de Aden
38,Destructor explosivo
39,Carnicero mortal
40,Guardián sincero
41,Finalizador poderoso
42,Conquistador glorioso
43,Salvador indomable
44,Juez honrado
45,Destructor castigador
46,Gobernador del continente
47,Experto extremo
48,Inmortal cruel
49,Superación de límite legendaria
50,Dios del campo de batalla
