Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Isla Parlante Oriental,{ReplaceString1} Reconocimiento,Isla Parlante Oriental,Derrota {ReplaceString2} monst.,Derrota a {TaskCount} monstruo(s) en Isla Parlante Oriental.
2,Isla Parlante Occidental,@1,Isla Parlante Occidental,@1,Derrota a {TaskCount} monstruo(s) en Isla Parlante Occidental.
3,Carretera de Gludin,@1,Carretera de Gludin,@1,Derrota a {TaskCount} monstruo(s) en la Carretera de Gludin.
4,Llanuras de Gludio,@1,Llanuras de Gludio,@1,Derrota a {TaskCount} monstruo(s) en las Llanuras de Gludio.
5,Casa Windawood,@1,Casa Windawood,@1,Derrota a {TaskCount} monstruo(s) en la Casa Windawood.
6,Erial,@1,Erial,@1,Derrota a {TaskCount} monstruo(s) en el Erial.
7,Llanuras de Dion,@1,Llanuras de Dion,@1,Derrota a {TaskCount} monstruo(s) en las Llanuras de Dion.
8,Pantano de Cruma,@1,Pantano de Cruma,@1,Derrota a {TaskCount} monstruo(s) en el Pantano de Cruma.
9,Cima de disonancia,@1,Cima de disonancia,@1,Derrota a {TaskCount} monstruo(s) en la Cima de disonancia.
10,Sepulcros agonizantes,@1,Sepulcros agonizantes,@1,Derrota a {TaskCount} monstruo(s) en los Sepulcros agonizantes.
11,Dominios de Giran,@1,Dominios de Giran,@1,Derrota a {TaskCount} monstruo(s) en los Dominios de Giran.
12,Orillas de niebla sepulcral,@1,Orillas de niebla sepulcral,@1,Derrota a {TaskCount} monstruo(s) en las Orillas de niebla sepulcral.
13,Isla del Diablo,@1,Isla del Diablo,@1,Derrota a {TaskCount} monstruo(s) en la Isla del Diablo.
14,@13,@1,@13,@1,@13
15,Necrópolis encantada,@1,Necrópolis encantada,@1,Derrota a {TaskCount} monstruo(s) en la Necrópolis encantada.
16,@15,@1,@15,@1,@15
101,Ruinas élficas 1,Autocompletar {ReplaceString1},Ruinas élficas 1,@1,Derrota a {TaskCount} monstruo(s) en Ruinas élficas 1.
102,Ruinas élficas 2,@101,Ruinas élficas 2,@1,Derrota a {TaskCount} monstruo(s) en Ruinas élficas 2.
103,Hormiguero 1,@101,Hormiguero 1,@1,Derrota a {TaskCount} monstruo(s) en Hormiguero 1.
