Id,Name
1,Torre de la insolencia
2,Mazmorra de extracción
4,Santuario de los recuerdos sellados
5,@4
6,@4
7,@4
8,Misiones diarias
9,Misiones semanales
10,Ruinas élficas 1
11,Ruinas élficas 2
12,Hormiguero 1
13,Hormiguero 2
14,Torre de Cruma 2
15,Torre de Cruma 3
16,Torre de marfil 1
17,Torre de marfil 2
18,Mazmorra de adenas
19,@18
20,@18
21,@18
22,Templo guardián
23,@22
24,@22
25,@22
26,Mazmorra de experiencia
27,@26
28,@26
29,@26
32,Círculo de invocación 
33,Torre de marfil 3
34,@32
35,@32
36,@32
39,@22
40,@26
41,Laboratorio de Torre de marfil
42,Espesura del bosque de los secretos
43,Sotobosque del bosque de los secretos
44,Lugar de matanza del bosque de los secretos
