Id,Text
1,Caza
2,Misión
3,Fabricar elixir
4,Fabricar Pergamino olvidado
5,Logro
6,Recompensa de descanso
7,Completar ahora
8,Tienda de Puntos de amistad
9,Invocar tienda
10,T. cons.
11,Tienda de adenas
12,Tienda de topacios
13,Tienda de lotes
14,Tienda de puntos de lealtad
15,Recargar diamantes
16,Diamantes diarios
17,Lote de conexión
18,Lote de refuerzo
19,Mazmorra de élite
20,Mazmorra diaria
21,Torre de la insolencia
22,Mazmorra de extracción
23,Arena
24,Amigo
25,Tienda del clan
26,Tienda de regalos del clan
27,Logro del clan
28,Tienda de diamantes azules
29,Donación al clan
30,Saludar a miembros de clan
31,Actividades diarias
32,Batalla de honor
33,Campo de batalla osado
34,Campo de batalla antiguo
35,Misión de sala del clan
36,"Normal, Destacado"
37,Jefe de mundo
38,Jefe de campo
39,@20
40,Unir
41,Salvar
42,Templo guardián
43,Mazmorra de adenas
44,Círculo de invocación 
45,Reliquia de sala del clan
46,Cofre del tesoro
47,Conquista
48,Festival de asedio al castillo
49,Tienda de pergaminos
50,Eventos
51,Evento de viaje
52,Evento web
53,Recomp. por conexión
54,Echa una mano
55,Asedio al castillo
56,Asedio a la fortaleza
57,Rescatar corazón
58,Cristal de alma
59,Intercambiar
60,Asedio abierto
61,Grieta Temporal
62,정복자의 전당
63,Mazmorra de clan
