Id,NpcName,Message
101,Aymel,"¡Te damos la bienvenida! ¿Qué tal va ese entrenamiento?<p>Entrenar a solas es aburrido y probablemente no sepas por dónde empezar. En Aden, los aventureros se juntan en grupos llamados clanes.<p>¡Viaja con otros aventureros, dona a tu clan y compra en la tienda del clan! ¿Qué te parece?"
102,@101,"¡Has alcanzado el grado B! Aun así solo es el principio.<p>Ese zopenco, Russel, ¡ha llegado al grado A!"
103,Russel,Parece que vas un poco atrasado. ¡Vuelve al trabajo y consigue llegar a mi nivel! ¡Jajaja!
104,@101,"¡Has alcanzado el grado A! ¡Ahora estás en el mismo nivel que ese cabeza de chorlito! ¡No te detengas aquí, sigue!"
105,@101,¡Has alcanzado el grado S! Parece que la rivalidad te estimula.
106,@103,¿¡Cómo!? ¿Ya has llegado al grado S? Yo sigo en el A...<p>Just you wait! ¡Te pillaré! ¡Ya lo verás!
107,@101,¡Has llegado al grado R!<p>Pues no te relajes. ¡Aún te queda el grado SR por alcanzar!
108,Theodore,"Solo has llegado al grado R, sigue trabajando duro."
109,@101,"¡Has llegado al grado SR! ¡Has dejado a ese zopenco de Russel a la altura del betún!<p>¡Ahora tienes que alcanzar a Theodore, que tiene grado UR! ¡Solo un poco más!"
110,@101,"¡Has llegado al grado UR!<p>¿Seguro que no te estás exigiendo demasiado? Bueno, Theodore ya ha terminado y se ha largado. Ese zopenco todavía está muy atrás, así que tómatelo con calma."
111,@101,"¡Has llegado al grado UR! ¡Solo te ha superado Theodore!<p>Es sorprendente, esos zopencos están a punto de rendirse.<p>Ahora tienes que esperar a que los demas terminen. ¿Por qué no intentas empezar desde el principio?"
112,@101,¡Vaya! ¡Cuánto tiempo sin vernos! Estás mucho más fuerte que antes.<p>Pero sigue sin ser suficiente. Theodore es mucho más fuerte que tú.<p>¡Pero no te preocupes! Te he creado otro manual de entrenamiento. ¡Aunque es un poco más duro que el último! ¡No te quedes atrás!<p>¡No le des demasiada importancia! ¡Lo harás genial!
113,@101,"¡Estupendo, progresas adecuadamente! ¡Has conseguido el grado B en un periquete!<p>¡Russel! ¿En qué grado estás, Russel?"
114,@103,¡Ya estoy en el grado A! ¡Esta vez no perderé!
115,@101,@104
116,@101,¡Has alcanzado el grado S! Parece que la rivalidad con este tontaina es un estímulo perfecto.
117,@103,¿¡Cómo!? ¿Ya has llegado al grado S? Sigo en el grado A...<p>¡Ahhh! ¿Esto no es lo que pasó la última vez?
118,@101,@107
119,@108,@108
120,@101,¡Felicidades por el grado SR! ¡Ahora el cabeza hueca de Russel no podrá cogerte ni en sus sueños!<p>
100011,,Bienvenido a Isla Parlante.
100021,,¡Isla Parlante es el lugar perfecto para hacerte fuerte!
100041,,¡Cuidado con los monstruos que aparecen aquí y allá!
101171,,¡Defendemos Isla Parlante!
101181,,¡Otro fantástico día de comercio!
101191,,¡Un buen equipamiento te salvará la vida!
101201,,¡Escucha! ¡Pronto se abrirá una subasta de especialidades de Gludio!
101211,,¡Cómprame a mí los billetes a Gludio!
101231,,¡Visita el Obelisco de la victoria en Isla Parlante!
101241,,¡Un puerto solo es un puerto cuando está abarrotado de gente!
101261,,Isla Parlante se ha llenado de turistas recientemente.
101301,,"¿Orcos? ¿Qué quieres decir con ""orcos""?"
101311,,"El barco a Gludio zarpará pronto, así que embarca rápido."
101331,,¿Has visto a esos turistas? ¡Algunos me han hecho tilín!
101341,,"¡Ah, un día perfecto para navegar!"
101381,,¡Cuidado con los orcos!
101391,,¡No bajes la guardia!
101441,,@101391
101451,,¡Hay que resistir!
101461,,@101381
101471,,@101391
101501,,"Je, je. Me pregunto si me licenciarán del ejército..."
101541,,¡Aquí tengo las especialidades de Isla Parlante! ¡Tenemos piel dorada!
101542,,"Solo puede vivir aquí, en Isla Parlante."
101543,,Necesitas uno de estos para visitar Isla Parlante de verdad.
101544,,"¡Bienvenido, bienvenido!"
101545,,¿Necesitas pociones?
101551,,"Je, je. ¡Nuestro adorado hijo ya tiene 3 años!"
101571,,Los aventureros arriesgan su vida a lo loco solo por dinero...
101611,,Pescar en Isla Parlante es lo mejor que hay. ¡Este pez es enorme!
101621,,¿Crees que es verdad que han visto orcos al norte de la ciudad?
101771,,¡Pendientes! ¡Pendientes con buenos parámetros!
101811,,Usa este punto para desplazarte a otras regiones.
101821,,¡Únete a un clan! ¡Los camaradas son una ayuda estupenda!
101831,,¡Mejora el equipamiento para acabar fácilmente con tus enemigos!
101841,,¡Vendo Refuerzos de alma que infligen más daños a los monstruos!
101911,,Nos ocuparemos de los orcos.
101921,,Defendemos la ciudad.
101931,,La ciudad de la Isla parlante ahora está segura.
101941,,¡Bienvenido!
101961,,Están pasando cosas raras por aquí...
101971,,"Cuanto antes salgas de la isla, mejor."
101981,,He oído que hay más de 10 000 orcos al norte.
102011,,¡Se han visto orcos en el norte!
102221,,¡No te preocupes! Te licenciarás sano y salvo.
102501,,¡Malditos orcos! ¡Vengaré a mis camaradas!
102511,,No podemos perder esta batalla. Mi familia está escondida en la ciudad.
102551,,Estos orcos atacaron justo antes de mi licenciamiento...
102561,,"Si no consigo derrotar a los orcos, llegarán a la ciudad."
103001,,"Por ahora, mantenemos a los orcos a raya con magia, pero..."
103011,,*Inhala*... *Exhala*... Estoy agotado.
103021,,¿Orcos? ¡No me dan miedo!
111671,,¡Alístate en los rangers de sangre de Isla Parlante!
111691,,¿Has venido a unirte a la tropa de caza?
111851,,¡Estaré vigilando para ver si pasa algo raro!
111861,,¡No tengas piedad!
111891,,¡Acaba con ellos de un solo tajo!
111971,,¡Dale una lección a esos orcos!
111981,,¡Gracias! ¡Tenía mucho miedo!
210011,,¡Los Refuerzos de alma es justo lo que necesitas para luchar contra los gólems!
280811,,Mátame...
280821,,Dolor... Acaba con esto...
300171,,¡Habría peleado si tuviera mi bastón!
300181,,¡Antes estabas llorando y escondiéndote!
304081,,Einhasad me dijo que te enviaría.
304111,,¡He visto tu increíble actuación! ¡Muchas gracias!
305851,,¿Qué es todo esto? ¡Ni siquiera es la era de los piratas!
307781,,Ahh... Sabía que no debía venir...
307791,,¡Tú! ¡Tranquilízate!
309371,,Billetes al Puerto de la Isla Parlante por aquí.
309391,,¿No te alistarás como soldado de Gludin?
309411,,"La, la, la... ¿Dónde estarán mis amigos...?"
309441,,"La próxima vez, ¡el héroe seré yo!"
309451,,"Bienvenido, estás en la ciudad de Puerto de Gludin."
309791,,Así que eres el enviado de Einhasad.
309801,,Usa este punto para viajar a donde quieras.
309811,,Regístrate aquí para participar en Asedio al castillo.
309831,,Vendo Refuerzos de alma como afición.
309841,,Almacena objetos si tu inventario está lleno.
309851,,¡Uy! ¡Me he vuelto a resbalar!
309861,,"Madre mía, menudo jaleo. Quiero vivir y pescar en paz."
309871,,¡Te haré un descuento porque eres el héroe local!
309891,,Nos han encomendado la protección de este lugar.
309901,,*Suspiro*... ¿Cuándo acabará nuestro turno...?
309921,,@309891
309951,,¡Es miembro de los Merc. de la luz plateada! ¡Bienvenido!
309961,,La reciente emboscada fue desbaratada por un Mercenario de la luz plateada.
309971,,¿Sí? ¡Eso es un mercenario!
310331,,¡Hurra por los Mercenarios de la luz plateada!
310341,,Ni por asomo me iré a una isla. Estoy hecho para la vida en ciudad.
310441,,¡Hola!
318221,,"¡Ah, aquellos días en que viajábamos en barco!"
318231,,¡Gracias! ¡Mis pasajeros están seguros gracias a ti!
318241,,"Derrotaste a esos piratas, ¿verdad? ¡Es increíble!"
322561,,Cuidado. Ahí fuera hay Ol Mahums.
322611,,¿Te estás alistando para cazar Ol Mahums?
322701,,La seguridad de los rehenes es nuestra máxima prioridad. ¿Está claro?
322711,,¿Estás loco? ¡Yo no entraría en el cementerio!
322981,,¡Necesitas pociones para cazar Ol Mahums!
392751,,¡Oye! ¡Haz algo con ellos!
392781,,Es mucho esfuerzo después de haber venido hasta aquí.
350151,,"No seas tacaño. ¡Dame más, mezquino!"
350152,,¡No he visto gato artista más estafador!
350161,,"¡Para cazar a los No muertos, no hay nada mejor que los Refuerzos de alma!"
350162,,"¡Oye, aventurero! Deberías comprar algunas pociones."
350163,,¡La preparación es básica en el combate! Así que deberías comprar algunas...
350181,,"Ay, todos esos no muertos están complicando el negocio..."
350182,,¡Eh! ¡Adelántate y encarga un ataúd! ¡Ja!
350191,,¿No tienes miedo?
350192,,"Deberías tener cuidado, porque por aquí hay fantasmas. Ja, ja."
350201,,¡De verdad! ¡Que vi un fantasma! ¡Créeme!
350202,,¡Sin duda era una elfa rubia fantasma!
350211,,"¡Deja de mentir, trolero!"
350212,,¡Di algo creíble! Por favor.
350221,,¿En serio? ¿Has visto a un caótico?
350222,,"No me mientes, ¿verdad? ¡Pareces un poco sospechoso también!"
350231,,¡Te digo la verdad! ¿Qué te dice que yo sea un caótico?
350232,,¡Estoy seguro de que hasta aquella persona es más fuerte que tú!
350241,,Ten cuidado por Gludio; habrá caóticos.
350242,,¿Has venido a investigar el incidente?
350261,,¡Mira a ese tipo! Se dice que es un Mercenario de la luz plateada.
350262,,Si hubiera podido unirme a los Mercenarios de la luz plateada...
350281,,Me han pedido que investigara la desaparición...
350282,,¿Es que no hay tareas fáciles?
350311,,"Como se espera de una ciudad con puerto, ¡rebosa energía!"
350312,,¿No hay nada que ver?
350321,,¡Deprisa! ¡Vamos para allá también!
350322,,¡Vaya! ¡Qué espacioso!
350331,,Uf. ¿Puedes ir un poco más despacio?
350332,,"Más despacio, ¿quieres? Me duelen las piernas."
309911,,¡Te ofrezco esto a un precio estupendo!
309912,,¡Antes me convierto en un gato esfinge!
309931,,Hay numerosos forajidos. Ten cuidado.
309932,,"No tendrás ningún bien de contrabando, ¿verdad?"
401151,,Maldita sea... Ya verás como sobrevivo.
401152,,Sobreviviré y veré a mi familia.
410421,,¿Sabes si te ha seguido algún hombre lagarto?
410422,,¡Es impresionante atravesar la Granja devastada!
410331,,¿Eres el mercenario que caza monstruos? ¡Tómate un respiro!
410332,,¡Mi espada es perfecta para acabar con los lagartos!
400131,,¿Te unirás al escuadrón de caza?
400132,,¡No sirve de nada quedarse ahí sentado! ¡Date prisa y únete!
409511,,¡Hay que ser estúpido para subestimar a los goblones por su bajo intelecto!
409512,,Mantener a los miembros desaparecidos a salvo es nuestra máxima prioridad.
410391,,Los monstruos están cerca... Espero que todo salga bien.
410392,,"Oh, Einhasad... Mantén Gludio a salvo..."
410521,,Eh... Me pregunto cuándo podré volver a casa...
410522,,¿Cuántos monstruos más tendremos que matar?
410541,,Esto parece no acabar nunca...
410542,,Mamá... Quiero ver a mi mamá...
410571,,Esto es peligroso. Regresa si no eres combatiente.
410572,,Preséntate ante el capitán para unirte al escuadrón de caza.
418501,,No montes ningún escándalo en la ciudad.
418502,,Únete al escuadrón de caza si necesitas un empleo.
418561,,¡No podemos dejar que sigan viniendo hombres lagarto!
418562,,Los malditos lagartos están siempre buscando oportunidades.
400401,,¡No me puedo creer que esos malditos lagartos hayan saqueado nuestra ciudad...!
400402,,¿Por qué no envía refuerzos el gobernador?
450471,,Mmm... ¿Debería unirme para cazar monstruos?
450472,,¿Tendremos problemas por nuestro nivel?
450481,,¡A por ello! Dudo que muramos.
450482,,¡Haremos pinchitos con esos goblones!
450491,,Oí que Sir Vaughn dirigiría la operación de recuperación.
450492,,Pronto asistiremos al renacimiento de Windawood...
450501,,Tenemos que recuperar Windawood pronto.
450502,,Las tragedias de Windawood deben acabar pronto. Psss...
450531,,¿He oído que el ataque en Castillo de Gludio comenzará pronto?
450532,,"¡Ah, me encantaría participar en un Asedio al castillo!"
450541,,¡Acabaría con mis enemigos de una vez!
450542,,¡Buuu! ¡Va a haber un Asedio al castillo sin mí...!
450551,,"Reclutando participantes para el Asedio al castillo de Gludio, ¿no?"
450552,,¡Una elfa gobernando un reino humano no suena tan mal!
450561,,¡Espero que no tengas ideas raras de pedir unirte al clan del castillo!
450562,,¡Estoy decidido a convertirme en un hermoso caballero del clan del castillo!
499711,,¡Estos Refuerzos de alma son lo mejor para cazar hombres lagarto!
506751,,¡Mantened la formación lista mientras hacemos los preparativos!
506752,,¿Es posible que hayas visto más soldados desperdigados?
508741,,¿Es que los Ol Mahums se han vuelto locos?
508742,,¿Por qué a los bandidos les interesan los cristales?
512641,,¡No me creo que los no muertos se hayan descontrolado de repente!
512642,,¡Todos! ¡Centraos para no dispersarnos!
514601,,¡Casi hemos logrado la recuperación total de Windawood! ¡Adelante!
514602,,¡Es hora de expulsar a los orcos de nuestro hogar!
550011,,La hermosa Windawood ha caído en el caos...
550012,,Malditos Orcos. ¡Me vengaré!
550021,,Todos los árboles han muerto...
550022,,He oído gritos procedentes de los alrededores...
550031,,Oompra algunas pociones antes de ir a ver a los Orcos.
550032,,No tienes suficientes Refuerzos de alma para derrotar a los orcos.
607241,,"Oh... Oh, oh... Parece que faltan algunos objetos."
607251,,¿Cuándo moveré todo esto...?
607261,,¿Por qué? ¿Ha pasado algo?
607521,,¡En guardia! ¡Ningún problema!
607541,,@607521
607551,,¿Puedes ocupar mi puesto...?
612811,,¿Cuándo llegarán los suministros del mercader?
612812,,"Mmm, nos estamos quedando sin bienes."
630251,,"Lamentablemente, te falta preparación. ¡Compra algunas pociones!"
630252,,Estos Refuerzos de alma servirán cuando te enfrentes a hormigas.
650061,,¡Arg! ¡Malditas hormigas!
650062,,¿Qué podría haber hecho que crearan esa hormiga?
650071,,Hay una reina gigante en el Hormiguero subterráneo.
650072,,¿La reina hormiga? ¡Cómo será de hermosa!
650081,,¿He escuchado que los hechiceros de la Torre de marfil murieron misteriosamente?
650082,,¿Quién podría haber matado a los hechiceros de la Torre de marfil?
650121,,Al sur se encuentra el Territorio de Dion. ¿No serás tú a quién buscan?
650122,,Asegúrate de identificarte antes de dirigirte a Dion.
650181,,¡No me dejan pasar al Territorio de Dion!
650182,,¡Estoy harto de este desierto!
650191,,¿Tienes sed? ¡Aquí tienes unas pociones!
650192,,¡Llévate algo del campamento contigo!
650231,,Ten cuidado. ¡He oído que Kazir aparece justo delante!
650232,,¡He oído hablar de Kazir! ¿Es el depredador del desierto?
699711,,¡Necesitarás pociones para atravesar el agreste Erial!
706031,,¡Oye! ¡Tu espada está oxidada!
706041,,¡Guardaremos tus objetos para que estén seguros!
706051,,No debería estar vendiendo objetos ahora mismo...
706061,,¿Has visto a ese niño de antes?
706071,,"¡Si necesitas mi ayuda, solo dímelo!"
706101,,"Ja, ja, ja. Me pregunto si Gus estará llevando bien el negocio."
706111,,¡Parece que Sara me volverá a regañar!
706121,,"Ah, un niño. ¿No necesitas un medicamento para ser más alto?"
706122,,¡Crecerás como un goblón si tomas esto!
706131,,"¡Uf! Pero ¿por qué eres tan pequeño, Sr. Gato?"
706132,,"Eh, ¡menudo mentiroso! ¡No existe ningún medicamento que haga eso!"
706141,,No puedo salir por los monstruos.
706151,,Ah... Tengo que recoger Hierbas...
706171,,¿Beberemos hoy también?
706181,,¡Genial! ¡Nos vemos cuando acabemos el turno!
706191,,Bienvenido. Esta es la ciudad de Dion.
706201,,¡Déjanos la seguridad a nosotros!
706211,,¿Has visto a esa niña?
706221,,"¡Por supuesto! Parecía misteriosa, ¿no?"
706231,,¡Dicen que las arañas se comen a los humanos!
706241,,¡Dicen que hay montones de arañas al norte!
799711,,¡Ah! ¡Es peligroso! ¡Compra estos Refuerzos de alma!
780471,,¡Ajá! ¡Por ahí!
780481,,¡Esta vez no te dejaré escapar!
780491,,¡Coge la llave!
780911,,¡No puedes huir de nosotros!
780921,,¡Tras ellos! ¡Vamos!
780951,,¡Muere! ¡Muere!
780981,,Este hechizo os engullirá a todos.
781001,,¡Agarradlos!
781021,,¡Capturadlos vivos!
720091,,¡No saldrás de este sitio con vida!
750051,,Madre mía. ¡Te digo la verdad!
750052,,¡Yo golpearé personalmente al capitán orco en la cabeza!
750061,,¿Los orcos han conseguido llegar al Castillo de Dion?
750062,,Tenemos que darnos prisa y dar apoyo al Castillo de Dion. ¡Está en peligro!
750081,,¡Pffff! ¿Que has derrotado al capitán orco? ¿Tú? ¿Con qué ejército?
750082,,"¡Tus mentiras son imposibles de creer! ¡Ja, ja, ja!"
750501,,"Cuidado, el Área agrícola está llena de hombres lagarto."
750502,,Nos aseguramos de que los hombres lagarto no pudieran ir a ninguna parte.
750521,,La Torre de Cruma ha estado emitiendo energía.
750522,,La Torre de Cruma... ¡Me gusta el reto!
750531,,¿La Torre de los gigantes inferiores? ¡Quiero descubrir sus secretos!
750532,,He oído que la Hermandad oscura está detrás de la Torre de Cruma...
750551,,"Je, je. ¡Atrápame si puedes!"
750552,,"¡Carro va! Piii, piii."
750561,,¡El ataque al Castillo de Dion hace que me hierva la sangre!
750562,,¡Me pregunto quién será el gobernador del Territorio de Dion!
750601,,Ah... ¡Me encantaría estar en un clan tan estupendo como el clan del castillo!
750602,,Mmm. ¿Debería pedir que me admitieran en el clan del castillo?
750591,,No tenemos suficiente pasión para conseguirlo... *solloza*...
750592,,"Si lo haces, ¡yo también lo haré!"
750621,,¡Están buscando clanes para el Asedio al castillo de Dion!
750622,,¿Es que no hay tareas sencillas en alguna parte? Como capturar a un gato...
750651,,¡Shhh! ¡Ese gato aún no nos ha visto! ¡Cógelo!
750652,,¡Vamos a coger uno o dos gatos sarnosos de esos!
750661,,¡Ahora! ¡El niño lo está entreteniendo!
750662,,¿Quieres unirte? Tú también serás cómplice.
750681,,¡Mira! Ese gato artista estafador timará a más gente.
750682,,¿Estás pensando en estafar a ese niño también? ¡Ahí va!
800381,,¿Has venido a ver la Torre de Cruma?
800382,,¡La torre de los gigantes inferiores me tiene como loco!
803881,,"Mmm... Como era de esperar en un pantano, hace frío."
803882,,¿Puedes encender una hoguera más grande?
804101,,"Uno, dos... ¿eh? Parece que faltan algunos."
804102,,¡No me puedo creer que ande investigando bienes a esta edad!
804131,,¡Bienvenido al Campamento de investigación de la Unidad de excavación Feldheim!
804132,,¿Has traído suministros?
850641,,¿Mi magia no se hará más fuerte?
850642,,¡He oído que hay montones de formas de vida mágicas en Cruma!
850661,,Uff... ¿Por qué siempre tengo que organizar los documentos?
850662,,Deberías organizarlos periódicamente. ¡Mira qué desastre!
850671,,Ten cuidado ahí delante... ¡hay muchos cadáveres!
850672,,"Si encuentras a alguien con quien hayamos perdido el contacto, ¡tráelo aquí!"
899711,,¿Qué se necesita en este peligroso lugar? ¡Esta poción!
998711,,¡La raza no es importante en los negocios!
1019911,,"Compra más Refuerzos de alma para los Sepulcros agonizantes, ¿vale?"
1050001,,"Oye, ¿no vas a ayudar en la operación?"
1050002,,Este no es un buen sitio para aventureros.
1050021,,Uff... Me duelen los huesos.
1050022,,¿Te estás preparando bien para combatir contra los no muertos?
1050031,,Que la Bendición de Einhasad sea contigo.
1050032,,Rezo por que les des descanso.
1050061,,Es peligroso salir fuera del Horno.
1050062,,Hemos venido a observar al ejército de la agonía.
1050051,,Verlos me pone triste.
1050052,,Ten cuidado si no quieres acabar como ellos.
1050201,,¿Eres un aventurero? Los accesos a Giran están cerrados.
1050202,,Los accesos a Giran están cerrados hasta que los Sepulcros agonizantes se calmen.
1050231,,No puedes ir a Giran ahora.
1050232,,El gobernante ha ordenado que se prohíba la entrada.
1106931,,"¡Hola, hermosura! ¿Necesitas armas?"
1106932,,"¡Con un vestido tan bonito, ten cuidado con las colecciones de Gorgon!"
1106933,,"¡Ven! ¡Ya que tienes los bolsillos llenos, compra equipamiento!"
1191421,,¿Quién eres? ¿Has visto a alguien sospechoso?
1191422,,¿Está relacionado con este incidente?
1191431,,¿Viste a un espía de Oren?
1191461,,Seguro que la maldita gente de Oren envió a un espía.
1150411,,¡Bienvenido a la Ciudad de Giran!
1150412,,"¡Bienvenido a Giran, el centro del comercio!"
1117001,,¡No bajes la guardia con tanta gente alrededor!
1117002,,No sigas a extraños aunque te ofrezcan comida.
1117003,,¿Recuerdas el camino de vuelta a casa?
1117021,,¡Entra un momento y tómate un vaso de delicioso ron!
1117022,,"Buenas, aventurero. Pasa un momento."
1117023,,¿No estás cansado de viajar? ¡Entra y descansa!
1170041,,¿Qué quieres? ¿Quieres pelear?
1170042,,"Date la vuelta antes de salir herido, ¿vale?"
1170043,,¿Qué estás mirando? ¡Largo!
1170081,,¿Has oído que la relación entre Giran y Oren ha empeorado?
1170082,,"Estoy nervioso... No habrá una guerra, ¿verdad?"
1170083,,Me gustaría visitar Oren alguna vez...
1170091,,La aventura y esas cosas... Los niños de hoy en día... ay...
1170092,,Tendré que establecer contacto cuando lleguen los enviados.
1170111,,¡Entra y disfruta de un plato de sopa caliente!
1170112,,¿Eres de fuera de la ciudad? ¡Pasa la noche aquí!
1170113,,Pareces agotado. Ven y descansa un poco.
1170121,,¿No vas a comprarte este anillo?
1170122,,¡No podrás encontrarlo en ninguna parte!
1170123,,¡Por tan solo 10 millones de adenas! ¡Es un robo!
1170151,,Cuenta y asegúrate de que es la cantidad exacta.
1170152,,Mantente en guardia; el mercader llegará pronto.
1170153,,Estamos haciendo trueques por materiales mágicos. Estate atento.
1170161,,Mmm... ¿No deberíamos probarlo para ver si se está cocinando bien?
1170162,,Le falta algo... ¿Serviría un poco de GMS mágico?
1170163,,"Eh, ¿qué estás mirando? ¿Robando nuestros secretos?"
1170181,,¡Verduras! ¡Compra verduras a buen precio!
1170182,,¡Me hice con esto en Dion y rodeé los Sepulcros agonizantes!
1170183,,¡Pruébalo! ¡El sabor de las llanuras!
1170221,,¡Te digo que Mischa me miró!
1170222,,¡Seguro que Gerard está interesado en mí!
1170223,,¿Qué debería hacer? ¿Debería acercarme a hablarle?
1170241,,¿Qué? ¿Es la primera vez que ves un gato?
1170242,,"¡Si me subestimas, te llevarás una paliza, gamberro!"
1170243,,Quédate por aquí y saldrás escarmentado.
1170311,,¿Debería unirme a la caza de Gorgon? Sería una buena experiencia...
1170312,,No quiero convertirme en uno de los juguetes de Medusa...
1170313,,Soy muy joven y de buen ver para morir... ¡Cazar o no cazar...!
1170291,,¿Por qué esa bruja Medusa da tanto miedo?
1170292,,¡Unámonos a la caza! ¿Qué es lo peor que podría pasar?
1170293,,¡No es una oportunidad cualquiera!
1160101,,Los esbirros se juntan aquí. Procura no entrar.
1160102,,"Si avanzas un poco más, la cosa se pondrá peligrosa. Date la vuelta."
1160161,,¿Listo para dirigirte al Jardín de flores de Gorgon?
1160162,,Entrega tu testamento cuando termines de escribirlo.
1160163,,Nunca mires a Medusa a los ojos. ¿Está claro?
1170341,,¡Bébete esto! ¡Serás inmune a la mirada de Medusa!
1170342,,¿Con miedo de ir a Oren? ¡Compra este artilugio de engaño!
1170343,,¡Este fluoroscopio ayuda a atrapar a espías y ganar recompensas!
1170371,,"Oye, ¿eres Mercenario de la luz plateada? Qué envidia."
1170372,,Todos los aventureros quieren ingresar en los Mercenarios de la luz plateada.
1170373,,Seré un hechicero como Lucien de los Mercenarios de la luz plateada.
1170381,,"Bonito, ¿verdad? No les quites la hierba o les harás daño."
1170382,,"Esta es la Plaza Einhasad. Rezaremos más tarde, ¿vale?"
1170383,,"Vamos a estar callados porque hay mucha gente, ¿vale?"
1170501,,Einhasad cuidará de ti.
1170502,,Einhasad ama incondicionalmente y no espera nada a cambio.
1170503,,Ama a tus vecinos como si todos fueran Einhasad.
1170531,,Shh. Silencio. El sacerdote está hablando.
1170532,,"Oh, Einhasad, rezo para que mi hermano regrese sano y salvo..."
