Key,Value
1,La versión de paquete no es compatible con el servidor. Reinicia la aplicación.
2,Reinicia el juego para actualizar.
3,Error del servidor (BD)
4,Error del servidor (LUA)
5,Error de tabla de Excel
6,Error del servidor (Parámetro)
7,Error del servidor (Lógica)
8,Error del servidor
9,No has iniciado sesión.
10,Ya has iniciado sesión.
11,No hay objetivos que expulsar.
12,Autenticación incorrecta
13,Identificador de personaje incorrecto
14,Información de clase incorrecta
15,Género incorrecto
16,Nombre incorrecto
17,Información de PNJ incorrecta
18,Identificador de jugador incorrecto
19,Información de raza incorrecta
20,Habilidad incorrecta
21,Objetivo de habilidad incorrecto
22,Estado incorrecto
23,Ya no puedes entrar.
24,No hay identificador de dispositivo.
25,Ya se está utilizando este nombre.
26,Ya se está utilizando la habilidad.
27,No puedes moverte.
28,No estás muerto.
29,No tienes suficientes PM
30,No tienes suficientes adenas
31,No has seleccionado un jugador.
32,No tienes suficientes diamantes.
33,El nivel del personaje no es suficiente.
34,No se puede transferir la clase al mismo identificador.
35,No se puede transferir a esta clase.
36,No puedes transferir la clase porque no tienes nivel suficiente.
37,Código de seguridad incorrecto.
38,Identificador de jugador incorrecto.
39,Identificador de efecto potenciador incorrecto.
40,Identificador de información de tienda incorrecto.
41,El hash de paquete no coincide. Es posible que el juego no funcione correctamente.
42,Identificador de efecto de habilidad incorrecto.
43,Identificador de logro incorrecto.
44,Nivel de runa no válido.
45,No tienes suficientes fragmentos de runa.
46,Información de runa no válida.
47,No se ha podido subir el nivel de la runa.
48,La runa ya está al máximo nivel.
49,El nivel de la runa anterior no es suficiente.
50,Supera la capacidad máxima de adenas.
51,Supera la capacidad máxima de topacios.
52,Supera la capacidad máxima de diamantes.
53,@NotEnoughFreeDiamondStorage
54,No tienes suficientes topacios.
55,No tienes suficientes puntos de lealtad para invocar.
56,Estás muerto.
57,"Solo se permiten de 4 a 16 caracteres.
(De 2 a 8 en caso de incluir coreano/chino)"
58,"No puede haber ningún espacio.
Introduzca otro nombre."
59,PH insuficientes.
60,Tu capacidad de adenas está llena.
61,Tu capacidad de moneda de clan está a su valor máximo.
62,Llena más la páginas de runas anterior.
63,No tienes suficientes puntos de amistad.
64,Tipo de recompensa no válido.
65,Aturdido.
66,La batalla está en curso.
67,Esta clase no se puede seleccionar durante la creación de personajes.
68,Se ha superado la capacidad de puntos de lealtad.
69,Esperando en cola.
70,No puedes usar artefactos.
71,Ahora no puedes usar el código de seguridad pertinente.
72,"Este contenido está restringido.
No puede entrar."
73,Valor de clase básico incorrecto.
74,"Este personaje es el líder de un clan.
Puedes eliminar al personaje líder del clan tras transferir el liderazgo o abandonar el clan."
75,No tienes suficientes diamantes azules.
76,No tienes suficientes diamantes rojos.
77,Objetivo restringido.
78,El chat está prohibido en este momento.
79,No puedes entrar porque hay una restricción en el número de jugadores participantes.
80,Insuficientes piedras de estrella rojas de clan.
81,Disponible tras transferencia de clase.
82,"El apodo ya esta prerregistrado.
Salta a los pasos de verificación si te has prerregistrado."
83,Apodo no válido.
84,Este jugador se ha eliminado.
85,Mundo oculto.
86,Valor de cuenta vacío.
87,Valor de distintivo vacío.
100,Se te ha desconectado por mantenimiento en el servidor.
101,"Esperando revivir.
No puedes revivir todavía."
102,El canal está lleno.
103,Restricción de cambio de hora.
201,No se puede completar el logro.
202,No hay logros.
203,Ya has recogido la recompensa de nivel de logro.
251,Mensaje de chat no válido.
252,Identificador de mensaje de chat incorrecto.
253,Identificador de información adicional de chat incorrecto.
254,Tipo de publicidad de chat incorrecto.
255,Restricción de recarga.
256,En la lista de expulsados del chat.
257,Fuera de la lista de expulsados del chat.
258,Registrado en la lista de expulsados del chat.
259,El destinatario te ha bloqueado.
301,Este es el tiempo de recarga de habilidades.
302,Crear primera cuenta
303,No se ha podido encontrar la habilidad usada anteriormente.
370,Información de conexión incorrecta.
