Id,Name,Description,EffectDescription,SkillDialogue
1101,Combo 1 de espada humana,Un ataque básico con una espada y un escudo.,,
1102,Combo 2 de espada humana,@1101,,
1103,Combo 3 de espada humana,@1101,,
1104,Combo 4 de espada humana,@1101,,
1105,Combo 5 de espada humana,@1101,,
1106,Combo 6 de espada humana,@1101,,
1201,Combo 1 de espada élfica,@1101,,
1202,Combo 2 de espada élfica,@1101,,
1203,Combo 3 de espada élfica,@1101,,
1204,Combo 4 de espada élfica,@1101,,
1205,Combo 5 de espada élfica,@1101,,
1206,Combo 6 de espada élfica,@1101,,
1301,Combo 1 de espada élfica oscura,@1101,,
1302,Combo 2 de espada élfica oscura,@1101,,
1303,Combo 3 de espada élfica oscura,@1101,,
1304,Combo 4 de espada élfica oscura,@1101,,
1305,Combo 5 de espada élfica oscura,@1101,,
1306,Combo 6 de espada élfica oscura,@1101,,
1401,Combo 1 de espada enana,@1101,,
1402,Combo 2 de espada enana,@1101,,
1403,Combo 3 de espada enana,@1101,,
1404,Combo 4 de espada enana,@1101,,
1405,Combo 5 de espada enana,@1101,,
1406,Combo 6 de espada enana,@1101,,
2101,Combo 1 de lanza humana,Un ataque básico con una lanza.,,
2102,Combo 2 de lanza humana,@2101,,
2103,Combo 3 de lanza humana,@2101,,
2104,Combo 4 de lanza humana,@2101,,
2105,Combo 5 de lanza humana,@2101,,
2106,Combo 6 de lanza humana,@2101,,
2201,Combo 1 de lanza élfica,@2101,,
2202,Combo 2 de lanza élfica,@2101,,
2203,Combo 3 de lanza élfica,@2101,,
2204,Combo 4 de lanza élfica,@2101,,
2205,Combo 5 de lanza élfica,@2101,,
2206,Combo 6 de lanza élfica,@2101,,
2301,Combo 1 de lanza élfica oscura,@2101,,
2302,Combo 2 de lanza élfica oscura,@2101,,
2303,Combo 3 de lanza élfica oscura,@2101,,
2304,Combo 4 de lanza élfica oscura,@2101,,
2305,Combo 5 de lanza élfica oscura,@2101,,
2306,Combo 6 de lanza élfica oscura,@2101,,
2401,Combo 1 de lanza enana,@2101,,
2402,Combo 2 de lanza enana,@2101,,
2403,Combo 3 de lanza enana,@2101,,
2404,Combo 4 de lanza enana,@2101,,
2405,Combo 5 de lanza enana,@2101,,
2406,Combo 6 de lanza enana,@2101,,
3101,Combo 1 de doble espada humana,Un ataque básico con una doble espada.,,
3102,Combo 2 de doble espada humana,@3101,,
3103,Combo 3 de doble espada humana,@3101,,
3104,Combo 4 de doble espada humana,@3101,,
3105,Combo 5 de doble espada humana,@3101,,
3106,Combo 6 de doble espada humana,@3101,,
3107,Combo 7 de doble espada humana,@3101,,
3108,Combo 8 de doble espada humana,@3101,,
3201,Combo 1 de doble espada élfica,@3101,,
3202,Combo 2 de doble espada élfica,@3101,,
3203,Combo 3 de doble espada élfica,@3101,,
3204,Combo 4 de doble espada élfica,@3101,,
3205,Combo 5 de doble espada élfica,@3101,,
3206,Combo 6 de doble espada élfica,@3101,,
3207,Combo 7 de doble espada élfica,@3101,,
3208,Combo 8 de doble espada élfica,@3101,,
3301,Combo 1 de doble espada élfica oscura,@3101,,
3302,Combo 2 de doble espada élfica oscura,@3101,,
3303,Combo 3 de doble espada élfica oscura,@3101,,
3304,Combo 4 de doble espada élfica oscura,@3101,,
3305,Combo 5 de doble espada élfica oscura,@3101,,
3306,Combo 6 de doble espada élfica oscura,@3101,,
3307,Combo 7 de doble espada élfica oscura,@3101,,
3308,Combo 8 de doble espada élfica oscura,@3101,,
3401,Combo 1 de doble espada enana,@3101,,
3402,Combo 2 de doble espada enana,@3101,,
3403,Combo 3 de doble espada enana,@3101,,
3404,Combo 4 de doble espada enana,@3101,,
3405,Combo 5 de doble espada enana,@3101,,
3406,Combo 6 de doble espada enana,@3101,,
3407,Combo 7 de doble espada enana,@3101,,
3408,Combo 8 de doble espada enana,@3101,,
4101,Combo 1 de daga humana,Un ataque básico con una daga.,,
4102,Combo 2 de daga humana,@4101,,
4103,Combo 3 de daga humana,@4101,,
4104,Combo 4 de daga humana,@4101,,
4105,Combo 5 de daga humana,@4101,,
4106,Combo 6 de daga humana,@4101,,
4201,Combo 1 de daga élfica,@4101,,
4202,Combo 2 de daga élfica,@4101,,
4203,Combo 3 de daga élfica,@4101,,
4204,Combo 4 de daga élfica,@4101,,
4205,Combo 5 de daga élfica,@4101,,
4206,Combo 6 de daga élfica,@4101,,
4301,Combo 1 de daga élfica oscura,@4101,,
4302,Combo 2 de daga élfica oscura,@4101,,
4303,Combo 3 de daga élfica oscura,@4101,,
4304,Combo 4 de daga élfica oscura,@4101,,
4305,Combo 5 de daga élfica oscura,@4101,,
4306,Combo 6 de daga élfica oscura,@4101,,
4401,Combo 1 de daga enana,@4101,,
4402,Combo 2 de daga enana,@4101,,
4403,Combo 3 de daga enana,@4101,,
4404,Combo 4 de daga enana,@4101,,
4405,Combo 5 de daga enana,@4101,,
4406,Combo 6 de daga enana,@4101,,
5101,Combo 1 de arco humano,Un ataque básico con un arco.,,
5102,Combo 2 de arco humano,@5101,,
5103,Combo 3 de arco humano,@5101,,
5104,Combo 4 de arco humano,@5101,,
5201,Combo 1 de arco élfico,@5101,,
5202,Combo 2 de arco élfico,@5101,,
5203,Combo 3 de arco élfico,@5101,,
5204,Combo 4 de arco élfico,@5101,,
5301,Combo 1 de arco élfico oscuro,@5101,,
5302,Combo 2 de arco élfico oscuro,@5101,,
5303,Combo 3 de arco élfico oscuro,@5101,,
5304,Combo 4 de arco élfico oscuro,@5101,,
5401,Combo 1 de arco enano,@5101,,
5402,Combo 2 de arco enano,@5101,,
5403,Combo 3 de arco enano,@5101,,
5404,Combo 4 de arco enano,@5101,,
6101,Combo 1 de bastón humano,Un ataque básico con un bastón.,,
6102,Combo 2 de bastón humano,@6101,,
6103,Combo 3 de bastón humano,@6101,,
6104,Combo 4 de bastón humano,@6101,,
6201,Combo 1 de bastón élfico,@6101,,
6202,Combo 2 de bastón élfico,@6101,,
6203,Combo 3 de bastón élfico,@6101,,
6204,Combo 4 de bastón élfico,@6101,,
6301,Combo 1 de bastón élfico oscuro,@6101,,
6302,Combo 2 de bastón élfico oscuro,@6101,,
6303,Combo 3 de bastón élfico oscuro,@6101,,
6304,Combo 4 de bastón élfico oscuro,@6101,,
6401,Combo 1 de bastón enano,@6101,,
6402,Combo 2 de bastón enano,@6101,,
6403,Combo 3 de bastón enano,@6101,,
6404,Combo 4 de bastón enano,@6101,,
11111,Explosión de energía,"<SkillTitle>[Cualquier arma]</>
Crea una concentración de energía delante que explota y causa daño a los enemigos.",Daño: {[Use34Param]1%}% de ATQ +{1},
11112,Golpe de poder,"<SkillTitle>[Solo espada y escudo, lanza o doble espada]</>
Traza un arco grande con el arma que inflige daño y derriba a los enemigos.","Daño: {[Use34Param]1%}% de ATQ +{1}
Derriba objetivos durante 2 s.",
11113,Impacto de ráfaga,"<SkillTitle>[Solo espada y escudo, lanza o doble espada]</>
Se abalanza contra los enemigos para golpearlos y derribarlos.",@11112,
11121,@11111,@11111,@11111,
11122,Golpe mortal,"<SkillTitle>[Solo daga]</>
Se carga, ataca a toda potencia y derriba al enemigo.",@11112,
11123,Impulso de potencia,"<SkillTitle>[Solo daga]</>
Pasa entre los enemigos mientras los daña y los aturde brevemente.","Daño: {[Use34Param]1%}% de ATQ +{1}
Aturde objetivos durante 2 s.",
11124,Disparo de poder,"<SkillTitle>[Solo arco]</>
Dispara una flecha que causa daño y derriba al enemigo.","Daño: {[Use34Param]1-1%}% de ATQ +{1-1}
Derriba objetivos durante 2 s.",
11125,Doble disparo,"<SkillTitle>[Solo arco]</>
Dispara dos flechas que causan gran daño a los enemigos que están delante.",Daño: {[Use34Param]1-1%}% de ATQ +{1-1} por cada 2 disparos.,
11131,Impacto de energía,"<SkillTitle>[Cualquier arma]</>
Lanza una bola de energía que inflinge daño a los enemigos que están delante.",Daño: {[Use34Param]1-1%}% de ATQ +{1-1},
11132,Golpe de llama,"<SkillTitle>[Solo bastón]</>
Lanza una bola de fuego que causa un daño importante y derriba a los enemigos.",@11124,
11133,Golpe de viento,"<SkillTitle>[Solo bastón]</>
Crea una ráfaga de viento que avanza entre los enemigos en línea recta.",@11131,
12111,@11111,@11111,@11111,
12112,@11112,@11112,@11112,
12113,@11113,@11113,@11112,
12121,@11111,@11111,@11111,
12122,@11122,@11122,@11112,
12123,@11123,@11123,@11123,
12124,@11124,@11124,@11124,
12125,@11125,@11125,@11125,
12131,@11131,@11131,@11131,
12132,@11132,@11132,@11124,
12133,@11133,@11133,@11131,
13111,@11111,@11111,@11111,
13112,@11112,@11112,@11112,
13113,@11113,@11113,@11112,
13121,@11111,@11111,@11111,
13122,@11122,@11122,@11112,
13123,@11123,@11123,@11123,
13124,@11124,@11124,@11124,
13125,@11125,@11125,@11125,
13131,@11131,@11131,@11131,
13132,@11132,@11132,@11124,
13133,@11133,@11133,@11131,
14111,@11111,@11111,@11111,
14112,@11112,@11112,@11112,
14113,@11113,@11113,@11112,
14121,@11111,@11111,@11111,
14122,@11122,@11122,@11112,
14123,@11123,@11123,@11123,
14124,@11124,@11124,@11124,
14125,@11125,@11125,@11125,
