AchievementLevel,Name
0,Aspirant aventurier
1,Aventurier débutant
2,Aventurier ordinaire
3,Aventurier appliqué
4,Aventurier déterminé
5,Aventurier robuste
6,Mercenaire ordinaire
7,Mercenaire robuste
8,Mercenaire courageux
9,Mercenaire tenace
10,Mercenaire hardi
11,Soldat fier
12,Soldat courageux
13,Soldat élite fort
14,Combattant résistant
15,Guerrier expérimenté
16,Combattant affirmé
17,Combattant féroce
18,Combattant fort
19,Chevalier calme
20,Chevalier déterminé
21,Chevalier honorable
22,Baron avisé
23,Baron intelligent
24,Baron hautain
25,Baron audacieux
26,Baron rude
27,Baron téméraire
28,Marquis discret
29,Marquis puissant
30,Marquis noble
31,Traqueur agité
32,Contrôleur vif d'esprit
33,Concurrent honorable
34,Vainqueur étincelant
35,Commandant tempétueux
36,Seigneur établi
37,Sauveur d'Aden
38,Destructeur explosif
39,Boucher de la mort
40,Gardien sincère
41,Bourreau puissant
42,Conquérant glorieux
43,Sauveur indomptable
44,Juge vertueux
45,Destructeur punitif
46,Dirigeant du continent
47,Expert de l'extrême
48,Immortel cruel
49,Revalorisateur légendaire
50,Dieu du champ de bataille
