Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1,Île du discours de l'Est,Reconnaissance – {ReplaceString1},Île du discours de l'Est,Vainc. {ReplaceString2} mons.,Tuez {TaskCount} monstre(s) sur l'Île du discours de l'Est.
2,Île du discours de l'Ouest,@1,Île du discours de l'Ouest,@1,Tuez {TaskCount} monstre(s) sur l'Île du discours de l'Ouest.
3,Grand chemin de Gludin,@1,Grand chemin de Gludin,@1,Tuez {TaskCount} monstre(s) sur le Grand chemin de Gludin.
4,Plaines de Gludio,@1,Plaines de Gludio,@1,Tuez {TaskCount} monstre(s) dans les Plaines de Gludio.
5,Manoir de Windawood,@1,Manoir de Windawood,@1,Tuez {TaskCount} monstre(s) dans le Manoir de Windawood.
6,Terres désolées,@1,Terres désolées,@1,Tuez {TaskCount} monstre(s) sur les Terres désolées.
7,Plaines de Dion,@1,Plaines de Dion,@1,Tuez {TaskCount} monstre(s) dans les Plaines de Dion.
8,Marais de Cruma,@1,Marais de Cruma,@1,Tuez {TaskCount} monstre(s) au Marais de Cruma.
9,Sommet de la dissonance,@1,Sommet de la dissonance,@1,Tuez {TaskCount} monstre(s) au Sommet de la dissonance.
10,Terres de clameur,@1,Terres de clameur,@1,Tuez {TaskCount} monstre(s) sur les Terres de clameur.
11,Domaine de Giran,@1,Domaine de Giran,@1,Tuez {TaskCount} monstre(s) au Domaine de Giran.
12,Rivages de brume mortelle,@1,Rivages de brume mortelle,@1,Tuez {TaskCount} monstre(s) sur les Rivages de brume mortelle.
13,Île du diable,@1,Île du diable,@1,Tuez {TaskCount} monstre(s) sur l'Île du diable.
14,@13,@1,@13,@1,@13
15,Nécropole hantée,@1,Nécropole hantée,@1,Tuez {TaskCount} monstre(s) à la Nécropole hantée.
16,@15,@1,@15,@1,@15
101,Ruines elfiques 1,Pillage auto. – {ReplaceString1},Ruines elfiques 1,@1,Tuez {TaskCount} monstre(s) aux Ruines elfiques 1.
102,Ruines elfiques 2,@101,Ruines elfiques 2,@1,Tuez {TaskCount} monstre(s) aux Ruines elfiques 2.
103,Nid de fourmis 1,@101,Nid de fourmis 1,@1,Tuez {TaskCount} monstre(s) au Nid de fourmis 1.
104,Nid de fourmis 2,@101,Nid de fourmis 2,@1,Tuez {TaskCount} monstre(s) au Nid de fourmis 2.
105,Tour de Cruma 2,@101,Tour de Cruma 2,@1,Tuez {TaskCount} monstre(s) à la Tour de Cruma 2.
