Id,Name
1,Massacre
2,Chasse
3,Bravoure
4,Annihilez
5,Manœuvre défensive
6,Patience
7,Protection
8,Mur en fer
9,Ténacité
10,Méditation
11,Enjouement
12,Austère
13,Rapide
14,Calme
15,Scintillement
16,Perçage
17,Égide
101,Forteresse du Grand chemin de Gludin
102,Forteresse du Manoir de Windawood
103,Terres éternelles
104,Forteresse du Domaine de Giran
105,Forteresse de l'Île du diable
106,Territoire conquis de la Tour d'ivoire
107,Forteresse du Plateau du mistral
108,Forteresse conquise de la Tour d'ivoire
109,Forteresse de la Vallée draconique
110,Forteresse des Terres éternelles
111,Forteresse des Plaines de Gludio
112,Forteresse des Terres désolées
113,Forteresse des Plaines de Dion
114,Forteresse du Sommet de la dissonance
115,Forteresse du Marais de Cruma
116,Forteresse des Terres de clameur
117,Forteresse des Rivages de brume mortelle
118,Forteresse de la Nécropole hantée
201,Responsable des potions de la Salle du clan
202,@201
203,@201
204,Potion d'attribut
205,@204
206,@204
301,Héros du champ de bataille
