Key,Value
1,La version du paquet ne coïncide pas avec le serveur. Relancez l'application.
2,Relancez le jeu pour effectuer la mise à jour.
3,Erreur serveur (base de données)
4,Erreur serveur (LUA)
5,Erreur du tableau Excel
6,Erreur serveur (paramètre)
7,Erreur serveur (logique)
8,Erreur serveur
9,Vous n'avez pas réussi à vous connecter.
10,Vous êtes déjà connecté(e).
11,Aucune cible à exclure.
12,Authentification incorrecte
13,Identifiant de personnage incorrect
14,Infos de la classe incorrectes
15,Sexe incorrect
16,Nom incorrect
17,Infos du PNJ incorrectes
18,Identifiant joueur incorrect
19,Infos de la race incorrectes
20,Compétence incorrecte
21,Cible de la compétence incorrecte
22,État incorrect
23,Vous ne pouvez plus entrer.
24,Aucun identifiant d'appareil.
25,Ce nom est déjà utilisé.
26,Cette compétence est déjà utilisée.
27,Vous ne pouvez pas vous déplacer.
28,Vous n'avez pas péri.
29,PM insuffisants
30,Adena insuffisante
31,Vous n'avez pas sélectionné de joueur.
32,Diamants insuffisants.
33,Le niveau du personnage est trop bas.
34,Impossible d'effectuer un transfert de classe vers le même identifiant.
35,Impossible d'effectuer un transfert vers cette classe.
36,Votre niveau est trop bas pour effectuer un transfert de classe.
37,Code de sécurité incorrect.
38,Identifiant joueur incorrect.
39,Identifiant d'effet de buff incorrect.
40,Identifiant d'infos du magasin incorrect.
41,Les éléments du paquet ne coïncident pas. Le jeu pourrait ne pas fonctionner correctement.
42,Identifiant d'effet de compétence incorrect.
43,Identifiant de succès incorrect.
44,Niveau de rune non valide.
45,Fragments de runes insuffisants.
46,Infos de rune non valides.
47,Échec de développement de rune.
48,La rune est déjà au niveau max.
49,Le niveau de la rune précédente est trop bas.
50,Capacité max. d'Adena dépassée.
51,Capacité max. de Topazes dépassée.
52,Capacité max. de Diamants dépassée.
53,@NotEnoughFreeDiamondStorage
54,Topazes insuffisantes.
55,Points de loyauté de tirage insuffisants.
56,Vous avez péri.
57,"Le nom doit faire entre 4 et 16 caractères.
(2 à 8 si le coréen/chinois est inclus)"
58,"Vous ne pouvez pas entrer d'espaces.
Veuillez saisir un autre nom."
59,PC insuffisants.
60,Capacité max. d'Adena atteinte.
61,Capacité max. de Pièces de clan atteinte.
62,Remplissez davantage la page de runes précédente.
63,Points d'amitié insuffisants.
64,Type de récompense non valide.
65,Actuellement étourdi(e).
66,Le combat est en cours.
67,Cette classe ne peut pas être sélectionnée pendant la création de personnage.
68,Capacité de points de loyauté dépassée.
69,Dans la file d'attente.
70,Vous ne pouvez pas utiliser de gadgets.
71,Vous ne pouvez pas utiliser le code de sécurité approprié pour l'instant.
72,"Ce contenu est restreint.
Accès impossible."
73,Valeur de classe de base incorrecte.
74,"Ce personnage est un chef de clan.
Ce personnage pourra être supprimé quand vous aurez nommé un autre chef de clan ou quitté votre clan."
75,Diamants bleus insuffisants.
76,Diamants rouges insuffisants.
77,Cible restreinte.
78,La discussion est actuellement interdite.
79,Accès impossible en raison de la restriction du nombre de participants.
80,Météorites rouges de clan insuffisantes.
81,Disponible après transfert de classe.
82,"Ce pseudo a été réservé.
Effectuez les étapes de vérification si vous vous êtes préinscrit(e)."
83,Pseudo non valide.
84,Ce joueur a été supprimé.
85,Monde caché.
86,Valeur de compte vide.
87,Valeur de jeton vide.
100,Vous avez été déconnecté(e) en raison d'une maintenance du serveur.
101,"En attente de résurrection.
Vous ne pouvez pas encore ressusciter."
102,Le canal est plein.
103,Restriction de changement d'heure.
201,Le succès ne peut pas être terminé.
202,Aucun succès.
203,Vous avez déjà récupéré la récompense de niveau de succès.
251,Message de discussion non valide.
252,Identifiant de message de discussion incorrect.
253,Identifiant d'infos supplémentaires de discussion incorrect.
254,Type de discussion incorrect.
255,Restriction de temps de recharge.
256,Déjà dans la liste noire de la discussion.
257,Absent de la liste noire de la discussion.
258,Inscrit dans la liste noire de la discussion.
259,Le destinataire vous a bloqué(e).
301,Voici le temps de recharge de la compétence.
302,Création du premier compte
303,Compétence précédemment utilisée introuvable.
370,Infos d'enregistrement incorrectes.
371,Identifiant d'infos d'enregistrement incorrectes.
372,Identifiant de récompense d'enregistrement incorrect.
373,Vous vous êtes déjà enregistré(e).
374,Vous avez déjà récupéré la récompense.
375,Aucune période de récompense d'enregistrement hebdomadaire active.
401,Identifiant d'objet incorrect.
402,@InvalidItemInfoId
403,Cet objet ne peut pas être perfectionné.
404,Débris insuffisants.
405,Pas assez d'objets.
406,Fusions et améliorations disponibles à partir du niv. 5.
407,Parchemins de perfectionnement insuffisants.
408,"Perfectionnement impossible, à présent."
409,Échec de perfectionnement de l'équipement.
410,"L'équipement a été scellé.
L'équipement scellé ne peut pas être perfectionné."
411,Seul l'équipement scellé peut être descellé.
412,Cet objet est déjà équipé.
413,Cet objet n'est pas équipé.
414,Pas assez de place dans l'inventaire.
415,L'objet équipé ne peut pas être utilisé.
-1,Cet équipement ne peut pas être descellé.
417,Cet équipement ne peut pas être amélioré.
418,Cet équipement ne peut plus être amélioré.
419,Cet équipement ne peut plus être fusionné.
420,Impossible d'utiliser les objets dans les favoris.
421,"Les matériaux à fusionner sont de types différents.
Vous pouvez seulement fusionner des équipements du même type."
422,"Les matériaux à fusionner sont de qualités différentes.
Vous pouvez seulement fusionner des équipements de même qualité."
423,Index de stat extra incorrect.
424,Cet objet est inutilisable.
425,Cet équipement ne peut plus être enchanté.
426,Ceci n'est pas un équipement.
427,Matériaux insuffisants pour effectuer l'amélioration.
428,Impossible d'agrandir davantage l'inventaire.
429,Identifiant de matériau incorrect.
430,Ceci n'est pas un Parchemin de perfectionnement.
431,L'identifiant d'infos d'objet est différent.
432,Revalorisation de l'objet impossible.
433,Il n'est plus possible de revaloriser cet objet.
434,Ceci n'est pas un Cristal d'âme.
435,Index d'emplacement d'objet insuffisant.
436,Un Cristal d'âme de ce type est déjà équipé.
437,L'objet est déjà au niveau max.
438,Cet objet ne dispose d'aucunes stats extra.
439,Cet objet ne dispose d'aucun attribut.
440,Les attributs ne coïncident pas.
441,Échec de perfectionnement de l'attribut d'objet.
442,Impossible d'utiliser plus d'élixirs.
443,Groupe ou type de fabrication d'objet incorrect.
444,Matériaux insuffisants pour fabriquer l'objet.
445,Cristaux d'égide insuffisants.
446,Type d'équipement incorrect.
447,Index de deck incorrect.
448,Ce deck d'équipement est déjà utilisé.
449,Le serveur est différent du deck.
450,Échec de création de l'objet. Espace dans l'inventaire insuffisant.
451,Impossible d'utiliser les infos du tableau.
452,Ce codex de monstres a déjà été terminé.
453,Vous n'avez aucun cœur de monstre non lié dans votre inventaire.
454,Identifiant de groupe incorrect.
455,Ce groupe de codex de monstres a déjà été complété.
456,Il n'y a aucun codex de monstres à remplir.
457,Type de récompense de halte incorrect.
458,Points de halte insuffisants.
459,Le type de monnaie utilisée est différent.
460,Type de stat extra de Parchemin oublié incorrect.
461,Ceci n'est pas un Parchemin oublié.
462,Impossible d'utiliser des Parchemins oubliés.
463,La compétence est déjà au niveau max.
464,Nombre incorrect de matériaux.
465,Le type de Parchemin de perfectionnement est différent.
466,Impossible d'utiliser l'objet. Vos PV sont au max.
467,Impossible d'utiliser l'objet. Vos PM sont au max.
468,"Fabrication impossible, à présent."
469,Parchemins d'évasion insuffisants.
470,La Boîte surprise est vide.
471,Aucun Cristal d'âme équipé.
472,L'élixir ne peut pas être utilisé.
473,Le niveau d'attribut de l'équipement est au max.
474,Cet objet n'est pas de type Mégaphone.
475,Type d'effet de Cristal d'âme incorrect.
476,Identifiant d'infos de butin d'objets incorrect.
477,Vous avez atteint le seuil quotidien max. autorisé.
478,Utilisation impossible pendant le temps de recharge.
479,Votre classe ne vous permet pas d'équiper cet objet.
480,Téléportation.
481,Les armes ne peuvent pas être retirées. Replacez-les par d'autres armes.
482,Niveau max. déjà atteint.
483,Un Trait d'âme du même type est déjà activé.
484,Dans l'Arène.
485,Impossible d'invoquer une Pierre d'invocation maléfique ici.
486,Utilisation impossible. La valeur chaotique a atteint 0.
487,"Obtention impossible, à présent."
488,Vous ne pouvez pas vendre autant d'objets en une seule fois.
489,Emplacement de stat extra incorrect.
