Id,Name,Desc,Desc2
1001,20 000 Adena,Obtenez 20 000 Adena.,
1002,42 000 Adena,Obtenez 40 000 Adena (+ 2 000 Adena bonus).,
1003,88 000 Adena,Obtenez 80 000 Adena (+ 8 000 Adena bonus).,
1004,184 000 Adena,Obtenez 160 000 Adena (+ 24 000 Adena bonus).,
1005,384 000 Adena,Obtenez 320 000 Adena (+ 64 000 Adena bonus).,
1006,800 000 Adena,(Obtenez 640 000 Adena + 160 000 Adena bonus).,
3001,1 Boîte d'équipement spécial,"Obtenez de l'équipement S - SR !
De l'équipement rare peut être obtenu !",
3002,Parch. béni : arme,"Parch. béni : arme
Sert à améliorer une arme de 1 à 3 niv.",
3003,Parch. béni : armure,"Parch. béni : armure
Utilisé pour améliorer une armure de 1 à 3 niv.",
3004,Parch. béni : acc.,"Parch. béni : acc.
Sert à améliorer un accessoire de 1 à 3 niv.",
3005,Protection de Maphr,Évite de perdre des niveaux de perfectionnement en cas d'échec de perfectionnement.,
3006,Pierre de rev. SR,Sert à revaloriser un équipement de qualité SR.,
3007,Pierre d'attribut de qualité S,Sert à perfectionner l'attribut d'un équipement.,
3008,Pierre d'attribut de qualité R,@3007,
3009,Pierre d'attribut de qualité SR,@3007,
3011,1 Boîte d'accessoire spécial,Obtenez un accessoire (S - SR) !,
4001,20 Potions de PV,Restaure une petite quantité de PV.,
4002,-10 % ! 200 Potions de PV,@4001,
4005,20 Potions de PM,Restaure une petite quantité de PM.,
4006,-10 % ! 200 Potions de PM,@4005,
4009,500 Traits d'âme,Bénit l'arme de la lumière spirituelle pour infliger plus de dégâts.,
4010,-10 % ! 5 000 Traits d'âme,@4009,
4013,1 Mégaphone,Objet servant à parler dans la discussion mondiale.,
4014,10 Mégaphones,@4013,
4018,@4013,@4013,
4019,@4014,@4013,
4100,Crucifix du regret,"Sert à réduire la valeur chaotique de 30.
Vous pouvez en utiliser 3 par jour.",
4101,50 Parchemins d'évasion,Sert à se téléporter.,
4105,Feux d'artifice nocturnes,"Feux d'artifice capables d'éclairer le ciel nocturne, même en pleine journée.",
4106,Feux d'artifice Lumargents,Feux d'artifice qui brillent comme les étoiles dans le ciel.,
4107,Feux d'artifice de prospérité,Feux d'artifice qui symbolisent l'envie de prospérité.,
4108,Feux d'artifice d'amour,Feux d'artifice spéciaux pour une demande en mariage réussie.,
5002,1 Équipement haute qualité,"Obtenez un équipement (A - SR) !
De l'équipement rare peut être obtenu !",
5003,10 Équipements haute qualité (+1 bonus),"Obtenez un équipement (A - SR) !
Au moins 1 équipement de qualité S ou supérieure garanti !
De l'équipement rare peut être obtenu !",
5014,@5002,"Obtenez un équipement (A - SR) !
De l'équipement rare et de l'équipement échangeable peut être obtenu !",
5015,@5003,"Obtenez un équipement (A - SR) !
Au moins 1 équipement de qualité S ou supérieure garanti !
De l'équipement rare et de l'équipement échangeable peut être obtenu !",
